otu	species
Otu0001	OTU1_Lactobacillus_faecis
Otu0003	OTU3_Bacteroides_caecimuris
Otu0005	OTU5_Muribaculum_intestinale
Otu0006	OTU6_Turicibacter_sanguinis
Otu0007	OTU7_Porphyromonas_pasteri
Otu0009	OTU9_Barnesiella_viscericola 
Otu0015	OTU15_Akkermansia_muciniphila 
Otu0017	OTU17_Arthrobacter_soli
Otu0019	OTU19_Bacteroides_vulgatus
Otu0020	OTU20_Olsenella_profusa
Otu0024	OTU24_Prevotella_copri
Otu0032	OTU32_Barnesiella_intestinihominis
Otu0037	OTU37_Blautia_wexlerae
Otu0038	OTU38_Oscillibacter_ruminantium
Otu0049	OTU49_Faecalibacterium_prausnitzii
Otu0050	OTU50_Lactobacillus_hominis
Otu0068	OTU68_Enterococcus_pallens
Otu0086	OTU86_Citrobacter_sedlakii
Otu0095	OTU95_Bacteroides_cellulosilyticus
Otu0107	OTU107_Streptococcus_thermophilus
Otu0108	OTU108_Alistipes_putredinis
Otu0192	OTU192_Ruminococcus_obeum
