mouse	cage	treatment	cfu_vegetative	cfu_spore
1	1	conventional	0	0
2	1	conventional	0	0
3	1	conventional	0	0
1	2	conventional	0	0
2	2	conventional	0	0
3	2	conventional	0	0
1	3	conventional	0	0
2	3	conventional	0	0
3	3	conventional	0	0
1	1	cefoperazone	60000000	0
2	1	cefoperazone	50000000	60000
3	1	cefoperazone	80000000	930000
1	2	cefoperazone	50000000	0
2	2	cefoperazone	50000000	0
3	2	cefoperazone	100000000	720000
1	3	cefoperazone	10000000	0
2	3	cefoperazone	50000000	1000
3	3	cefoperazone	20000000	650000
1	4	cefoperazone	0	0
2	4	cefoperazone	0	0
3	4	cefoperazone	0	0
1	5	cefoperazone	0	0
2	5	cefoperazone	0	0
3	5	cefoperazone	0	0
1	6	cefoperazone	0	0
2	6	cefoperazone	0	0
3	6	cefoperazone	0	0
1	1	clindamycin	44000000	610000
2	1	clindamycin	84000000	10000
3	1	clindamycin	34000000	17000
1	2	clindamycin	77000000	310000
2	2	clindamycin	42000000	24000
3	2	clindamycin	47000000	10000
1	3	clindamycin	12000000	127000
2	3	clindamycin	30000000	142000
3	3	clindamycin	38000000	151000
1	4	clindamycin	0	0
2	4	clindamycin	0	0
3	4	clindamycin	0	0
1	5	clindamycin	0	0
2	5	clindamycin	0	0
3	5	clindamycin	0	0
1	6	clindamycin	0	0
2	6	clindamycin	0	0
3	6	clindamycin	0	0
1	1	streptomycin	120000000	670000
2	1	streptomycin	10000000	600000
3	1	streptomycin	70000000	220000
1	2	streptomycin	300000000	64000
2	2	streptomycin	270000000	36000
3	2	streptomycin	180000000	50000
1	3	streptomycin	10000000	0
2	3	streptomycin	20000000	60000
3	3	streptomycin	30000000	7000
1	4	streptomycin	0	0
2	4	streptomycin	0	0
3	4	streptomycin	0	0
1	5	streptomycin	0	0
2	5	streptomycin	0	0
3	5	streptomycin	0	0
1	6	streptomycin	0	0
2	6	streptomycin	0	0
3	6	streptomycin	0	0
1	1	germfree	50000000	980000
2	1	germfree	80000000	570000
3	1	germfree	70000000	1160000
1	2	germfree	80000000	1250000
2	2	germfree	190000000	660000
3	2	germfree	180000000	2110000
1	3	germfree	120000000	2030000
2	3	germfree	100000000	1460000
3	3	germfree	80000000	2880000
