simplified	pathway
Other	Other
Xenobiotics_biodegradation_and_metabolism	Nitrotoluene_degradation:Xenobiotics_biodegradation_and_metabolism|Methane_metabolism:Energy_metabolism:Energy_metabolism|Carbon_fixation_pathways_in_prokaryotes:Energy_metabolism|Microbial_metabolism_in_diverse_environments|Carbon_metabolism
Carbohydrate_metabolism	Citrate_cycle_(TCA_cycle):Carbohydrate_metabolism|Oxidative_phosphorylation:Energy_metabolism|Toluene_degradation:Xenobiotics_biodegradation_and_metabolism|Butanoate_metabolism:Carbohydrate_metabolism|Carbon_fixation_pathways_in_prokaryotes:Energy_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Microbial_metabolism_in_diverse_environments|Carbon_metabolism
Carbohydrate_metabolism	Citrate_cycle_(TCA_cycle):Carbohydrate_metabolism|Oxidative_phosphorylation:Energy_metabolism|Toluene_degradation:Xenobiotics_biodegradation_and_metabolism|Butanoate_metabolism:Carbohydrate_metabolism|Carbon_fixation_pathways_in_prokaryotes:Energy_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Microbial_metabolism_in_diverse_environments|Carbon_metabolism|Two-component_system:Signal_transduction
Energy_metabolism	Nitrogen_metabolism:Energy_metabolism|Microbial_metabolism_in_diverse_environments|Two-component_system:Signal_transduction
Energy_metabolism	Sulfur_metabolism:Energy_metabolism|Microbial_metabolism_in_diverse_environments
Energy_metabolism	Oxidative_phosphorylation:Energy_metabolism|Metabolic_pathways
Nucleotide_metabolism	Pyrimidine_metabolism:Nucleotide_metabolism|Alanine,_aspartate_and_glutamate_metabolism:Amino_acid_metabolism|Metabolic_pathways
Cell_growth_and_death	Apoptosis:Cell_growth_and_death
Membrane_transport	ABC_transporters:Membrane_transport
Membrane_transport	ABC_transporters:Membrane_transport|Two-component_system:Signal_transduction
Energy_metabolism	Sulfur_metabolism:Energy_metabolism|ABC_transporters:Membrane_transport
Lipid_metabolism	Fatty_acid_biosynthesis:Lipid_metabolism|Tetracycline_biosynthesis:Metabolism_of_terpenoids_and_polyketides|Pyruvate_metabolism:Carbohydrate_metabolism|Propanoate_metabolism:Carbohydrate_metabolism|Carbon_fixation_pathways_in_prokaryotes:Energy_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Microbial_metabolism_in_diverse_environments|Carbon_metabolism|Fatty_acid_metabolism
Signal_transduction	Two-component_system:Signal_transduction|Cell_cycle_-_Caulobacter:Cell_growth_and_death
Environmental_adaptation	Plant-pathogen_interaction:Environmental_adaptation
Cell_motility	Flagellar_assembly:Cell_motility
Signal_transduction	Two-component_system:Signal_transduction
Signal_transduction	Two-component_system:Signal_transduction|Flagellar_assembly:Cell_motility|Plant-pathogen_interaction:Environmental_adaptation
Cell_motility	Bacterial_chemotaxis:Cell_motility|Flagellar_assembly:Cell_motility
Carbohydrate_metabolism	Glyoxylate_and_dicarboxylate_metabolism:Carbohydrate_metabolism|Biosynthesis_of_secondary_metabolites
Membrane_transport	Bacterial_secretion_system:Membrane_transport
Amino_acid_metabolism	Histidine_metabolism:Amino_acid_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Biosynthesis_of_amino_acids
Signal_transduction	Two-component_system:Signal_transduction|Bacterial_chemotaxis:Cell_motility|Flagellar_assembly:Cell_motility
Energy_metabolism	Nitrogen_metabolism:Energy_metabolism|Microbial_metabolism_in_diverse_environments
Energy_metabolism	Nitrogen_metabolism:Energy_metabolism
Cell_growth_and_death	Cell_cycle:Cell_growth_and_death|Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death
Amino_acid_metabolism	Phenylalanine_metabolism:Amino_acid_metabolism|Microbial_metabolism_in_diverse_environments
Carbohydrate_metabolism	Galactose_metabolism:Carbohydrate_metabolism|Phosphotransferase_system_(PTS):Membrane_transport
Carbohydrate_metabolism	Glycolysis_/_Gluconeogenesis:Carbohydrate_metabolism|Phosphotransferase_system_(PTS):Membrane_transport
Membrane_transport	Phosphotransferase_system_(PTS):Membrane_transport
Carbohydrate_metabolism	Amino_sugar_and_nucleotide_sugar_metabolism:Carbohydrate_metabolism|Phosphotransferase_system_(PTS):Membrane_transport
Carbohydrate_metabolism	Fructose_and_mannose_metabolism:Carbohydrate_metabolism|Metabolic_pathways|Phosphotransferase_system_(PTS):Membrane_transport
Carbohydrate_metabolism	Galactose_metabolism:Carbohydrate_metabolism|Metabolic_pathways|Phosphotransferase_system_(PTS):Membrane_transport
Carbohydrate_metabolism	Glycolysis_/_Gluconeogenesis:Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism:Carbohydrate_metabolism|Phosphotransferase_system_(PTS):Membrane_transport
Carbohydrate_metabolism	Fructose_and_mannose_metabolism:Carbohydrate_metabolism|Phosphotransferase_system_(PTS):Membrane_transport
Carbohydrate_metabolism	Glycolysis_/_Gluconeogenesis:Carbohydrate_metabolism|Starch_and_sucrose_metabolism:Carbohydrate_metabolism|Phosphotransferase_system_(PTS):Membrane_transport
Carbohydrate_metabolism	Fructose_and_mannose_metabolism:Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism:Carbohydrate_metabolism|Metabolic_pathways|Phosphotransferase_system_(PTS):Membrane_transport
Carbohydrate_metabolism	Starch_and_sucrose_metabolism:Carbohydrate_metabolism|Phosphotransferase_system_(PTS):Membrane_transport
Translation	Ribosome:Translation
Nucleotide_metabolism	Purine_metabolism:Nucleotide_metabolism|Pyrimidine_metabolism:Nucleotide_metabolism|Metabolic_pathways|RNA_polymerase:Transcription
Folding,_sorting_and_degradation	Protein_export:Folding,_sorting_and_degradation|Bacterial_secretion_system:Membrane_transport
Folding,_sorting_and_degradation	Protein_export:Folding,_sorting_and_degradation
Replication_and_repair	DNA_replication:Replication_and_repair|Mismatch_repair:Replication_and_repair|Homologous_recombination:Replication_and_repair
Translation	RNA_transport:Translation
Transcription	Basal_transcription_factors:Transcription
Metabolism_of_cofactors_and_vitamins	Thiamine_metabolism:Metabolism_of_cofactors_and_vitamins|Metabolic_pathways
Metabolism_of_cofactors_and_vitamins	Thiamine_metabolism:Metabolism_of_cofactors_and_vitamins|Metabolic_pathways|Sulfur_relay_system:Folding,_sorting_and_degradation
Translation	RNA_transport:Translation|mTOR_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction
Signal_transduction	Two-component_system:Signal_transduction|Bacterial_chemotaxis:Cell_motility
Cell_motility	Bacterial_chemotaxis:Cell_motility
Carbohydrate_metabolism	Ascorbate_and_aldarate_metabolism:Carbohydrate_metabolism|Metabolic_pathways|Microbial_metabolism_in_diverse_environments|Phosphotransferase_system_(PTS):Membrane_transport
Cell_growth_and_death	Cell_cycle_-_Caulobacter:Cell_growth_and_death
Replication_and_repair	Homologous_recombination:Replication_and_repair
Replication_and_repair	Mismatch_repair:Replication_and_repair
Folding,_sorting_and_degradation	RNA_degradation:Folding,_sorting_and_degradation
Metabolism_of_cofactors_and_vitamins	Folate_biosynthesis:Metabolism_of_cofactors_and_vitamins|Metabolic_pathways|Sulfur_relay_system:Folding,_sorting_and_degradation
Metabolism_of_cofactors_and_vitamins	Ubiquinone_and_other_terpenoid-quinone_biosynthesis:Metabolism_of_cofactors_and_vitamins|Metabolic_pathways|Biosynthesis_of_secondary_metabolites
Replication_and_repair	Nucleotide_excision_repair:Replication_and_repair
Glycan_biosynthesis_and_metabolism	Peptidoglycan_biosynthesis:Glycan_biosynthesis_and_metabolism
Lipid_metabolism	Glycerophospholipid_metabolism:Lipid_metabolism
Carbohydrate_metabolism	Glycolysis_/_Gluconeogenesis:Carbohydrate_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Microbial_metabolism_in_diverse_environments
Folding,_sorting_and_degradation	Protein_processing_in_endoplasmic_reticulum:Folding,_sorting_and_degradation|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Plant-pathogen_interaction:Environmental_adaptation
Signaling_molecules_and_interaction	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
Folding,_sorting_and_degradation	Protein_processing_in_endoplasmic_reticulum:Folding,_sorting_and_degradation
Digestive_system	Mineral_absorption:Digestive_system
Signal_transduction	Ras_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction
Signal_transduction	Rap1_signaling_pathway:Signal_transduction|Phagosome:Transport_and_catabolism|Hippo_signaling_pathway:Signal_transduction|Hippo_signaling_pathway_-_fly:Signal_transduction|Focal_adhesion:Cell_communication|Adherens_junction:Cell_communication|Tight_junction:Cell_communication|Regulation_of_actin_cytoskeleton:Cell_motility
Cell_motility	Regulation_of_actin_cytoskeleton:Cell_motility|Salivary_secretion:Digestive_system|Gastric_acid_secretion:Digestive_system|Pancreatic_secretion:Digestive_system|Bile_secretion:Digestive_system
Signal_transduction	Hedgehog_signaling_pathway:Signal_transduction
Signal_transduction	PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Focal_adhesion:Cell_communication|ECM-receptor_interaction:Signaling_molecules_and_interaction
Signal_transduction	MAPK_signaling_pathway:Signal_transduction|Calcium_signaling_pathway:Signal_transduction|Oocyte_meiosis:Cell_growth_and_death|Apoptosis:Cell_growth_and_death|Wnt_signaling_pathway:Signal_transduction|VEGF_signaling_pathway:Signal_transduction
Folding,_sorting_and_degradation	SNARE_interactions_in_vesicular_transport:Folding,_sorting_and_degradation
Replication_and_repair	Mismatch_repair:Replication_and_repair|Fanconi_anemia_pathway:Replication_and_repair
Metabolism_of_cofactors_and_vitamins	Biotin_metabolism:Metabolism_of_cofactors_and_vitamins|Metabolic_pathways
Membrane_transport	ABC_transporters:Membrane_transport|Bacterial_chemotaxis:Cell_motility
Replication_and_repair	Nucleotide_excision_repair:Replication_and_repair|Ubiquitin_mediated_proteolysis:Folding,_sorting_and_degradation
Replication_and_repair	DNA_replication:Replication_and_repair|Nucleotide_excision_repair:Replication_and_repair|Mismatch_repair:Replication_and_repair
Replication_and_repair	Base_excision_repair:Replication_and_repair
Replication_and_repair	Non-homologous_end-joining:Replication_and_repair
Transcription	Spliceosome:Transcription
Carbohydrate_metabolism	Glyoxylate_and_dicarboxylate_metabolism:Carbohydrate_metabolism|Metabolic_pathways|Biosynthesis_of_secondary_metabolites|Microbial_metabolism_in_diverse_environments
Folding,_sorting_and_degradation	Sulfur_relay_system:Folding,_sorting_and_degradation
Environmental_adaptation	Circadian_rhythm_-_fly:Environmental_adaptation
Transport_and_catabolism	Endocytosis:Transport_and_catabolism
Metabolism_of_terpenoids_and_polyketides	Biosynthesis_of_siderophore_group_nonribosomal_peptides:Metabolism_of_terpenoids_and_polyketides
Membrane_transport	Bacterial_secretion_system:Membrane_transport|Plant-pathogen_interaction:Environmental_adaptation
Metabolism_of_other_amino_acids	Selenocompound_metabolism:Metabolism_of_other_amino_acids
Transport_and_catabolism	Peroxisome:Transport_and_catabolism
Signal_transduction	MAPK_signaling_pathway:Signal_transduction|Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction|Cell_cycle:Cell_growth_and_death|Endocytosis:Transport_and_catabolism|TGF-beta_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
Membrane_transport	ABC_transporters:Membrane_transport|Plant-pathogen_interaction:Environmental_adaptation
Digestive_system	Gastric_acid_secretion:Digestive_system
Digestive_system	Protein_digestion_and_absorption:Digestive_system
Translation	RNA_transport:Translation|mRNA_surveillance_pathway:Translation
Translation	mRNA_surveillance_pathway:Translation
Translation	Ribosome_biogenesis_in_eukaryotes:Translation
Signaling_molecules_and_interaction	Cell_adhesion_molecules_(CAMs):Signaling_molecules_and_interaction
