KO_code	Compound_codes
K02112	
K01955	C00169,C00169,C00169
K02018	
K02400	
K03615	
K02118	
K03169	
K00609	C00438,C00438,C00169
K01649	C02504,C02504,C00141,C00024,C00141,C02504,C02504
K01938	C00234,C00234,C00234,C00058,C00234,C00234
K03735	C00084
K08384	
K03043	C00046,C00046,C00046,C00044,C00046,C00046,C00046,C00046
K06147	
K00839	
K06996	
K00134	C00236,C00118,C00236,C00236,C00236,C00236,C00236
K04759	
K06894	
K08303	
P-type_1	
K07467	
K02881	
K01953	C00152,C00049,C00049
K00174	C00091,C00026,C00026
K03737	C00022,C00022,C00024,C00024,C00022,C00022,C00024,C00022,C00022
K07814	
K03925	
K00789	C00019,C00019,C00073,C00019
K01990	
K02438	C01083,C01083,C01083
CTn3-Orf3	
K15726	
K05311	
K03884	
K04041	C00085,C00085,C00354,C00085,C00085,C05345,C05345,C05345,C05378,C05378,C05378,C05345
Tn1549-like	
K01751	
K02412	
K07586	
CTn1-Orf1	
K01104	
K09384	
K01778	C00680,C00666,C00680,C00680,C00680
K07035	
K03088	
K02757	
K01869	C02047
K06333	
K03878	
K08302	C00118,C00111,C00118
K06334	
K03798	
K03521	
K01881	C02702
K09955	
K03406	
K03438	
K02988	
K12997	
