KO_code	Compound_codes
K03637	C18239,C18239
K17686	C00008
K03147	C01279,C01279
K03630	
K00180	
K11105	
K03149	C04327
K03148	C15813,C15810,C15815,C15814
K03639	C18239,C18239
K02315	
K02314	
K10112	
K06166	C20422
K06167	C01151
K02313	
K06165	C20422
K06283	
K03631	
K06168	
K12942	
K06287	
K08483	
K00260	C00026,C00014,C00014,C00026,C00026,C00014,C00025
K02773	C06311,C06311
K00266	C00025,C00025,C00025,C00026,C00064,C00025,C00025,C00025,C00026,C00064,C00025,C00026,C00014,C00014,C00026,C00014,C00025
K01118	
K05845	
K05847	
K04083	
K06962	
K02437	C00014,C00014,C00014,C00143
K01687	C00141,C00141,C00141,C00141,C00141,C00141,C00671,C00671,C00671,C00671,C00671
K01992	
K01990	
K11755	C02741,C02741,C02741,C02741,C04896,C04896,C04896,C04896
K04749	
K01515	C00117
K01104	
K11753	C00016,C00061,C00061,C00061
K00981	C00269,C00269,C00269
K05592	
K00868	C00018,C00018,C00627,C00627,C00647,C00534
K02407	
K07010	
K02406	
K01295	
K00864	C00093,C00116
K01297	
K03977	
K01193	C02336,C00267,C00267,C02336,C05402,C05404,C02336,C00668
K05601	C00014
K01126	C00093,C00114,C00189,C00093
K06163	C20440
K03437	
K01198	C00181,C00181,C00181
K14540	
K14231	
K00215	C03972,C03972,C03972,C20258,C03972,C03972,C03972,C03972,C20258,C03972
K02619	C00568
K01035	C00246,C00136,C00164,C16273,C16273
K01034	C00246,C00136,C00164,C16273,C16273
K04517	C01179,C01179,C00254,C01179,C01179
K01740	C00155,C00155,C00097
K06164	C20422
K02030	
K02031	
K01749	C01024,C01024,C01024
K02033	
K02034	
K02035	
K02036	
K02037	
K01585	C00179,C00179
K16962	
K16961	
K01586	C00047,C00680,C00047,C00047,C00047
K07095	
K00604	C00101,C00101,C03294
K00606	C00966,C00966,C00966
K00609	C00438,C00438,C00169
K07098	
K01420	
K07507	
K00919	C11436,C11435,C11436
K01588	C04751,C04751,C04751
K01424	C00049,C00049,C00049,C00049
K01425	C00025,C00014,C00014,C00014,C00025,C00064,C00064,C00217,C00819
K07560	
K07567	
K02011	
K07568	
K14665	
K13652	
K13653	
K04019	C00084
K01449	
K11198	
K07729	
K10440	
K14534	C00877,C02331,C00877,C00877,C02331,C02331,C02331
K07391	
K07646	
K03594	
K03595	
K03596	
K03458	
K03592	
K02518	
K02108	
K15986	
K03980	
K01736	C00251,C01269,C00251,C00251
K01929	C04702,C04702,C04882,C04882
K01735	C00944,C00944,C00944,C00944
K01733	C00188,C01102,C00188,C00188,C06056
K01639	C00645
K01923	C04823,C04823,C04823
K02411	
K01921	C00993,C00993,C00993
K12267	
K01633	C00266,C01300,C01300
K01926	
K01738	C00097,C00097,C00033,C00097,C00097,C00033,C00033,C00097,C00097,C00097
K01924	C01212,C01212,C01050
K07024	
K07025	
K07089	
K07027	
K03856	C04691,C04691,C04691,C04691
K00043	C00232
K00042	C01146,C01146,C01146,C01146
K07029	
K07533	
K03521	
K02422	
K03523	
K03522	
K03525	C01134,C03492,C03492,C04352
K06941	
K03527	C00129,C00129,C00129,C00235,C00235,C00129,C00129,C00129,C00235,C00235
K06411	
K03529	
K06949	
K07141	
K02886	
K03671	
K07460	
K06015	
K08998	
K09761	
K02358	
K01814	C04916,C04916,C04916,C04916
K05808	
K01811	
K01810	C01172,C01172,C01172,C01172,C01172,C05345,C05345,C05345,C05345,C00668,C05345,C05345,C05345,C05345,C01172,C05345,C05345
K00532	C00282
K02405	
K06042	C06399,C06399,C05773,C05773
K02355	
K02357	
K02356	
K13275	
K00134	C00236,C00118,C00236,C00236,C00236,C00236,C00236
K00133	C00441,C00441,C00441,C00441,C03082,C03082,C00441,C00441
K04042	C00043,C04501,C00043,C04501,C06156
K00131	C00197,C00197,C00197
K01956	C00169,C00169,C00169
K01955	C00169,C00169,C00169
K01952	C04640,C04640,C04640
K01953	C00152,C00049,C00049
K01951	C00144,C00144,C00144,C00144,C16619
K03299	
K00783	
K00784	
K07736	
K07737	
K00788	C01081,C01081
K00789	C00019,C00019,C00073,C00019
K03296	
K00030	C00026,C00311,C00026,C00026,C00026,C00026,C00026
K03294	
K03073	
K03531	
K03070	
K01259	C00148
K01258	
K03075	
K01809	C05345,C05345,C05345,C05345
K01255	C00097,C00037,C00097,C00037,C00037,C05726
K11636	
K01624	C00118,C00111,C00354,C00118,C00111,C00118,C00354,C00111,C00118,C00118,C00118,C00118,C00111,C00111,C00118,C00118,C00111,C00118,C00111,C00118,C00111,C00447,C00447,C00111,C00279,C00447,C00577,C00111,C00111
K07321	
K03177	
K05896	
K05895	C06319,C06320,C11543,C11543
K00088	C00655,C00655,C00655,C16618
K06131	C05980,C05980,C05980,C05980
K03488	
K01625	C00048,C00022,C00048,C00022,C05946,C00022,C00118,C04442,C00118,C00022,C00022,C00118
K00554	
K09748	
K12574	
K00558	C00021,C00019
K12573	
K01179	C00185,C00760,C00185
K16850	C00204,C00817
K07217	
K06023	
K00812	C00036,C00036,C00049,C00049,C00036,C00036,C00025,C00049,C00025,C00036,C00079,C00079,C00166,C00166,C00166,C00079,C00079,C01179,C01179,C01179,C01179,C01179,C01179,C01179,C00082,C00082,C00957,C00097,C05528,C05527,C00606,C05946,C05947
K00817	C00079,C00079,C00166,C00166,C00166,C00079,C00079,C01179,C01179,C01179,C01179,C01179,C01179,C01179,C00082,C00082,C01267,C01100,C01267,C01100
K00951	C04494
K00950	C04807,C04807
K03500	
K00954	C00882,C00882
K07219	
K08301	
K08302	C00118,C00111,C00118
K08303	
K09747	
K08309	
K01552	
K05795	
K05796	
K06183	
K05792	
K06187	
K01493	C00365,C00239
K09903	C00015,C00105
K02600	
K01890	C03511
K02970	
K01495	C05922,C05922,C04895,C04895,C05923,C05923,C06148,C06148
K02419	
K01677	C00122,C00122,C00149,C00122,C00122,C00122
K02412	
K03551	
K02410	
K01678	C00122,C00122,C00149,C00122,C00122,C00122
K02416	
K02417	
K02414	
K02415	
K11068	
K01778	C00680,C00666,C00680,C00680,C00680
K01779	C00402
K03470	
K02782	C01096
K02783	C01096
K01770	C11453,C11436,C11453
K02781	C01096
K01776	C00217,C00217
K01777	C00763,C00763
K01775	C00133,C00133
K07106	C16698
K07105	
K02899	
K16950	C00283,C00094,C00283,C00094,C00283,C00094
K16951	C00283,C00094,C00283,C00094,C00283,C00094
K00674	C04462,C03972,C04462,C04462
K00676	
K02777	C00668,C00668,C00689,C02995,C06188,C06187,C16698
K02775	C06311,C06311
K01784	C00052,C00052,C00029,C00052
K01783	C00231,C00231,C00199,C00199,C00231,C00231,C00231,C00231
K14155	C00022,C00097,C00155,C00155,C00155,C00155,C01962,C05698
K03629	
K02770	C01094,C01094
K07699	
K02071	
K02072	
K01788	C00357
K02526	
K02398	
K02520	
K02112	
K03305	
K02397	
K02396	
K02111	
K02528	
K02392	
K06925	
K01916	C00003,C00003
K06012	
