compound_code	compound_name	cd630_cefoperazone_score	bacteroides_630_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-7.581	-5.392	0.219	233.464	-5.678	90.0
C00149	(S)-Malate	1.222	-5.184	0.064	38.686	-1.312	60.0
C00944	3-Dehydroquinate	-3.7	2.322	0.385	17.996	-2.792	60.0
C02430	L-Methionyl-tRNA	-5.129	-4.459	0.629	56.987	-5.163	80.0
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-7.011	-3.322	0.078	138.98	-3.43	70.0
C14819	Fe3+	-7.794	-2.807	0.032	228.934	-2.852	60.0
C14818	Fe2+	7.794	2.807	0.36	228.934	6.365	90.0
C00437	N-Acetylornithine	1.0	2.115	0.473	6.332	1.582	60.0
C00438	N-Carbamoyl-L-aspartate	-4.358	1.737	0.163	23.84	-1.954	50.0
C00826	L-Arogenate	3.807	2.585	0.679	19.997	3.763	70.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	5.833	-3.907	0.263	72.005	-4.244	80.0
C01185	Nicotinate_D-ribonucleotide	5.7	-4.273	0.372	71.317	-4.729	80.0
C00794	D-Sorbitol	5.385	-1.0	0.048	43.788	-1.067	60.0
C00506	L-Cysteate	7.581	4.426	0.584	212.969	6.958	90.0
C00227	Acetyl_phosphate	2.041	-0.469	0.336	5.499	-0.887	60.0
C00221	beta-D-Glucose	4.858	-6.63	0.293	128.045	-5.229	80.0
C00385	Xanthine	-5.245	3.663	0.334	50.59	-4.079	70.0
C05223	Dodecanoyl-[acyl-carrier_protein]	6.755	5.869	0.869	166.453	7.176	90.0
C00229	Acyl-carrier_protein	6.943	6.651	0.958	223.538	7.742	90.0
C00546	Methylglyoxal	-6.087	-4.209	0.272	86.472	-4.556	80.0
C01801	Deoxyribose	1.585	1.0	0.631	5.0	1.657	70.0
C00364	dTMP	-5.585	-1.485	0.058	50.8	-1.567	50.0
C00365	dUMP	4.242	-1.939	0.203	22.756	-2.205	50.0
C00363	dTDP	-4.0	5.087	0.471	49.989	-4.557	80.0
C00008	ADP	-7.557	-3.624	0.065	200.644	-3.715	70.0
C00006	NADP+	-5.322	2.585	0.15	46.002	-2.787	60.0
C00003	NAD+	-0.415	0.737	0.8	3.0	-1.263	60.0
C00002	ATP	-2.639	7.597	0.032	199.838	-2.685	50.0
C00369	Starch	4.409	3.737	0.848	34.578	4.873	80.0
C05703	Methaneselenol	-8.416	-3.644	0.037	354.062	-3.696	70.0
C16619	6-Thioguanosine_monophosphate	-6.615	-4.907	0.306	128.022	-5.292	80.0
C16618	6-Thioxanthine_5'-monophosphate	-5.954	-3.0	0.129	69.992	-3.175	60.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-6.229	-5.129	0.467	110.003	-5.681	90.0
C16614	6-Methylmercaptopurine	6.229	5.129	0.823	110.003	6.501	90.0
C00099	beta-Alanine	2.807	0.585	0.208	8.498	0.825	60.0
C00310	D-Xylulose	-4.17	-2.807	0.389	24.999	-3.281	60.0
C01931	L-Lysyl-tRNA	-7.615	-5.087	0.173	230.029	-5.318	80.0
C01528	Hydrogen_selenide	-9.412	-3.544	0.017	692.895	-3.568	70.0
C00091	Succinyl-CoA	5.625	4.06	0.722	66.03	5.575	80.0
C00092	D-Glucose_6-phosphate	-7.534	-5.214	0.2	222.453	-5.477	90.0
C00093	sn-Glycerol_3-phosphate	6.131	4.644	0.757	95.086	6.17	90.0
C00095	D-Fructose	-4.858	0.585	0.052	30.5	-0.658	60.0
C00097	L-Cysteine	5.269	-2.97	0.203	46.394	-3.237	60.0
C06311	Galactitol_1-phosphate	-5.503	-4.807	0.617	73.342	-5.501	90.0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	5.129	3.7	0.721	47.989	5.113	80.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-6.331	-3.322	0.124	90.505	-3.491	70.0
C00166	Phenylpyruvate	4.807	3.316	0.69	37.952	4.71	80.0
C00167	UDP-glucuronate	-6.209	-2.807	0.095	80.975	-2.937	60.0
C02988	L-Histidyl-tRNA(His)	-6.17	-2.322	0.069	77.004	-2.419	50.0
C00163	Propanoate	8.19	4.0	0.488	308.036	7.233	90.0
C02984	L-Aspartyl-tRNA(Asp)	-6.87	-5.755	0.462	170.975	-6.303	90.0
C02987	L-Glutamyl-tRNA(Glu)	-6.044	-3.644	0.189	78.483	-3.894	70.0
C03263	Coproporphyrinogen_III	6.022	2.322	0.386	69.984	4.754	80.0
C02047	L-Leucyl-tRNA	-6.476	-5.7	0.584	141.001	-6.364	90.0
C03082	4-Phospho-L-aspartate	4.548	2.04	0.449	27.505	3.625	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-5.322	-5.044	0.825	72.993	-5.912	90.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	5.755	6.17	0.933	126.008	6.877	90.0
C00860	L-Histidinol	-4.755	0.585	0.056	28.502	-0.663	60.0
C02962	D-Allose_6-phosphate	7.055	6.209	0.88	206.951	7.509	90.0
C00864	Pantothenate	6.15	-1.0	0.028	73.012	-1.04	60.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	-0.7	-3.615	0.133	13.877	-0.88	60.0
C01419	Cys-Gly	7.397	5.087	0.688	202.535	7.122	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-6.459	-7.17	0.611	231.981	-7.147	90.0
C03406	N-(L-Arginino)succinate	-4.807	4.17	0.643	45.994	-4.886	80.0
C07648	Thioguanine	6.229	5.129	0.823	110.003	6.501	90.0
C01962	Thiocysteine	-4.322	-2.807	0.35	26.999	-3.24	60.0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-5.209	-2.807	0.189	43.987	-3.057	60.0
C18096	D-Allulose_6-phosphate	-7.055	-6.209	0.556	206.951	-6.847	90.0
C00269	CDP-diacylglycerol	-4.285	-4.81	0.695	47.546	-5.046	80.0
C16219	3-Oxostearoyl-[acp]	-6.883	-5.755	0.458	172.033	-6.299	90.0
C00263	L-Homoserine	-0.415	0.115	0.812	2.416	-0.973	60.0
C00262	Hypoxanthine	-4.841	-3.222	0.326	37.991	-3.629	70.0
C16217	3-Hydroxyoctadecanoyl-CoA	-7.435	-5.459	0.254	217.031	-5.786	90.0
C16216	3-Oxostearoyl-CoA	7.435	5.459	0.734	217.031	7.316	90.0
C00267	alpha-D-Glucose	4.365	2.243	0.514	25.34	3.703	70.0
C00266	Glycolaldehyde	-5.833	-4.34	0.355	77.256	-4.779	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-4.807	-3.0	0.286	35.993	-3.363	70.0
C00460	dUTP	4.858	-4.248	0.655	48.001	-4.975	80.0
C00286	dGTP	-7.725	-2.443	0.026	217.009	-2.48	50.0
C00283	Hydrogen_sulfide	1.652	4.0	0.413	19.143	2.983	70.0
C00288	HCO3-	7.984	-2.585	0.024	259.177	-2.619	50.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-1.0	3.585	0.167	14.0	-1.222	60.0
C02218	Dehydroalanine	-5.426	-2.322	0.116	47.992	-2.481	50.0
C01209	Malonyl-[acyl-carrier_protein]	6.151	6.182	0.995	143.667	7.159	90.0
C00217	D-Glutamate	4.346	-2.322	0.246	25.337	-2.639	50.0
C00212	Adenosine	6.879	1.585	0.23	120.702	4.798	80.0
C00606	3-Sulfino-L-alanine	-5.658	-4.989	0.629	82.25	-5.693	90.0
C00036	Oxaloacetate	4.102	6.439	0.637	103.935	6.049	80.0
C00037	Glycine	-5.082	2.143	0.13	38.288	-2.32	50.0
C00035	GDP	-5.984	0.536	0.023	64.744	-0.569	60.0
C00033	Acetate	7.99	-1.363	0.01	256.804	-1.378	50.0
C00031	D-Glucose	2.433	7.86	0.31	237.725	6.201	90.0
C00134	Putrescine	3.298	3.322	0.993	19.836	4.3	70.0
