Compound_code	Metabolite_name	Importance_score	p_value
C00025	L-Glutamate	0.0	n.s.
C01909	Dethiobiotin	0.0	n.s.
C00027	Hydrogen_peroxide	0.0	n.s.
C03508	L-2-Amino-3-oxobutanoic_acid	0.0	n.s.
C00021	S-Adenosyl-L-homocysteine	0.0	n.s.
C00024	Acetyl-CoA	0.0	n.s.
C00143	5,10-Methylenetetrahydrofolate	0.0	n.s.
C00140	N-Acetyl-D-glucosamine	0.0	n.s.
C00148	L-Proline	0.0	n.s.
C00144	GMP	0.0	n.s.
C04133	N-Acetyl-L-glutamate_5-phosphate	0.0	n.s.
C01100	L-Histidinol_phosphate	0.0	n.s.
C06754	Chloroacetaldehyde	0.0	n.s.
C00105	UMP	0.0	n.s.
C00944	3-Dehydroquinate	0.0	n.s.
C05400	Epimelibiose	0.0	n.s.
C05401	3-beta-D-Galactosyl-sn-glycerol	0.0	n.s.
C05402	Melibiose	0.0	n.s.
C02430	L-Methionyl-tRNA	0.0	n.s.
C02888	Sorbose_1-phosphate	0.0	n.s.
C02670	D-Glucuronolactone	0.0	n.s.
C00433	2,5-Dioxopentanoate	0.0	n.s.
C01242	S-Aminomethyldihydrolipoylprotein	0.0	n.s.
C02538	Estrone_3-sulfate	0.0	n.s.
C01222	GDP-4-dehydro-6-deoxy-D-mannose	0.0	n.s.
C04895	7,8-Dihydroneopterin_3'-triphosphate	0.0	n.s.
C00531	Itaconyl-CoA	0.0	n.s.
C00022	Pyruvate	0.0	n.s.
C04411	(2R,3S)-3-Isopropylmalate	0.0	n.s.
C06126	Digalactosylceramide	0.0	n.s.
C02504	alpha-Isopropylmalate	0.0	n.s.
C06125	Sulfatide	0.0	n.s.
C03684	6-Pyruvoyltetrahydropterin	0.0	n.s.
C00705	dCDP	0.0	n.s.
C01181	4-Trimethylammoniobutanoate	0.0	n.s.
C01346	dUDP	0.0	n.s.
C01345	dITP	0.0	n.s.
C01344	dIDP	0.0	n.s.
C00234	10-Formyltetrahydrofolate	0.0	n.s.
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.0	n.s.
C06006	(S)-2-Aceto-2-hydroxybutanoate	0.0	n.s.
C15812	[Enzyme]-S-sulfanylcysteine	0.0	n.s.
C00158	Citrate	0.0	n.s.
C15811	[Enzyme]-cysteine	0.0	n.s.
C00014	Ammonia	0.0	n.s.
C00015	UDP	0.0	n.s.
C05796	Galactan	0.0	n.s.
C00155	L-Homocysteine	0.0	n.s.
C02835	Imidazole-4-acetate	0.0	n.s.
C00468	Estrone	0.0	n.s.
C00794	D-Sorbitol	0.0	n.s.
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	0.0	n.s.
C00954	Indole-3-acetate	0.0	n.s.
C06613	trans-3-Chloroallyl_aldehyde	0.0	n.s.
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	0.0	n.s.
C01134	Pantetheine_4'-phosphate	0.0	n.s.
C00109	2-Oxobutanoate	0.0	n.s.
C05345	beta-D-Fructose_6-phosphate	0.363	<0.05
C04146	all-trans-Octaprenyl_diphosphate	0.0	n.s.
C06037	Digalactosyl-diacylglycerol	0.0	n.s.
C03512	L-Tryptophanyl-tRNA(Trp)	0.0	n.s.
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	0.0	n.s.
C02170	Methylmalonate	0.0	n.s.
C00229	Acyl-carrier_protein	0.0	n.s.
C16391	Trinitrotoluene	0.0	n.s.
C16392	4-Hydroxylamino-2,6-dinitrotoluene	0.0	n.s.
C03287	L-Glutamyl_5-phosphate	0.0	n.s.
C00718	Amylose	0.0	n.s.
