Compound_code	Metabolite_name	Importance_score	p_value
C16471	5-Methyl-3-oxo-4-hexenoyl-CoA	-8.364	n.s.
C05335	L-Selenomethionine	-8.079	n.s.
C16477	5-Fluoromuconolactone	9.101	n.s.
C16476	4-Fluoromuconolactone	9.101	n.s.
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-7.435	n.s.
C00027	Hydrogen_peroxide	-7.392	n.s.
C00942	3',5'-Cyclic_GMP	-9.155	n.s.
C00026	2-Oxoglutarate	9.139	<0.05
C05356	5(S)-HPETE	8.253	n.s.
C02430	L-Methionyl-tRNA	10.217	n.s.
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-9.574	n.s.
C14818	Fe2+	8.109	n.s.
C00430	5-Aminolevulinate	0.0	n.s.
C05267	3-Oxooctanoyl-CoA	0.0	n.s.
C00828	Menaquinone	-8.52	n.s.
C01451	Salicin	6.57	n.s.
C01024	Hydroxymethylbilane	-7.492	n.s.
C00530	Hydroquinone	-8.134	n.s.
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	0.0	n.s.
C06126	Digalactosylceramide	12.443	<0.05
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-6.17	n.s.
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	-6.883	n.s.
C01185	Nicotinate_D-ribonucleotide	8.391	n.s.
C06790	Trichloroethene	10.165	n.s.
C01187	3-Deoxy-D-manno-octulosonate	0.0	n.s.
C15812	[Enzyme]-S-sulfanylcysteine	7.687	n.s.
C15813	C15813	0.0	n.s.
C15814	C15814	0.0	n.s.
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-10.196	<0.05
C00029	UDP-glucose	4.895	n.s.
C05796	Galactan	10.363	n.s.
C00493	Shikimate	0.0	n.s.
C05752	Octanoyl-[acp]	10.17	n.s.
C00555	4-Aminobutyraldehyde	4.322	n.s.
C00794	D-Sorbitol	-12.275	<0.05
C03921	2-Dehydro-3-deoxy-D-glucarate	-10.393	n.s.
C00144	GMP	5.863	n.s.
C00791	Creatinine	7.989	n.s.
C16219	3-Oxostearoyl-[acp]	10.621	<0.05
C14865	2-(S-Glutathionyl)acetyl_chloride	0.0	n.s.
C00227	Acetyl_phosphate	-8.713	n.s.
C00226	Primary_alcohol	11.009	<0.05
C00224	Adenylyl_sulfate	-9.896	n.s.
C01236	D-Glucono-1,5-lactone_6-phosphate	4.7	n.s.
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	12.443	<0.05
C00385	Xanthine	-6.07	n.s.
C00387	Guanosine	-8.399	n.s.
C02504	alpha-Isopropylmalate	0.0	n.s.
C00229	Acyl-carrier_protein	7.349	n.s.
C00882	Dephospho-CoA	8.006	n.s.
C14868	S-(1,2-Dichlorovinyl)glutathione	-10.165	n.s.
C16392	4-Hydroxylamino-2,6-dinitrotoluene	-8.29	n.s.
C16393	2-Hydroxylamino-4,6-dinitrotoluene	-8.29	n.s.
C00894	Propenoyl-CoA	0.0	n.s.
C00288	HCO3-	-8.647	n.s.
C04593	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate	-10.212	n.s.
C00546	Methylglyoxal	-6.7	n.s.
C05766	Uroporphyrinogen_I	8.124	n.s.
C01368	3'-UMP	-8.243	n.s.
C00508	L-Ribulose	-4.087	n.s.
C00366	Urate	-9.967	n.s.
C01801	Deoxyribose	8.845	n.s.
C00364	dTMP	7.489	n.s.
C00365	dUMP	-7.426	n.s.
C00362	dGMP	0.0	n.s.
C00363	dTDP	7.508	n.s.
C00360	dAMP	8.454	n.s.
C00008	ADP	-8.687	n.s.
C00007	Oxygen	7.392	n.s.
C00006	NADP+	6.897	n.s.
C00005	NADPH	5.7	n.s.
C00003	NAD+	-8.335	n.s.
C00002	ATP	8.725	n.s.
C00369	Starch	6.077	n.s.
C00376	Retinal	-7.435	n.s.
C03582	Resveratrol	7.267	n.s.
C16619	6-Thioguanosine_monophosphate	-8.622	n.s.
C04652	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	-9.536	n.s.
C00130	IMP	-5.529	n.s.
C03741	(S)-4-Amino-5-oxopentanoate	7.002	n.s.
C16614	6-Methylmercaptopurine	8.622	n.s.
C00645	N-Acetyl-D-mannosamine	-8.196	n.s.
C00099	beta-Alanine	-6.769	n.s.
C00311	Isocitrate	0.0	n.s.
C00310	D-Xylulose	-7.366	n.s.
C00641	1,2-Diacyl-sn-glycerol	8.531	n.s.
C01931	L-Lysyl-tRNA	-8.57	n.s.
C00315	Spermidine	-5.406	n.s.
C01528	Hydrogen_selenide	8.919	n.s.
C00090	Catechol	-7.267	n.s.
C00091	Succinyl-CoA	9.056	n.s.
C00092	D-Glucose_6-phosphate	-8.234	n.s.
C00093	sn-Glycerol_3-phosphate	-9.444	n.s.
C00094	Sulfite	-6.167	n.s.
C00095	D-Fructose	8.6	n.s.
C02222	2-Maleylacetate	-8.967	n.s.
C14099	2-Naphthaldehyde	-11.009	<0.05
C06311	Galactitol_1-phosphate	6.989	n.s.
C07335	2-Amino-3-oxo-4-phosphonooxybutyrate	0.0	n.s.
C14090	1-Naphthaldehyde	-11.009	<0.05
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	-8.285	n.s.
C00077	L-Ornithine	-7.468	n.s.
C11941	Pinocarveol	-7.267	n.s.
C04732	5-Amino-6-(1-D-ribitylamino)uracil	9.574	n.s.
C06193	Guanosine_3'-phosphate	-8.243	n.s.
C11945	trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA	8.364	n.s.
C05172	Selenophosphoric_acid	-6.285	n.s.
C11947	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA	-8.364	n.s.
C04738	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine	-8.904	n.s.
C17560	2-Polyprenyl-6-methoxy-1,4-benzoquinone	8.52	n.s.
C17561	2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone	-8.52	n.s.
C00437	N-Acetylornithine	-2.773	n.s.
C06427	(9Z,12Z,15Z)-Octadecatrienoic_acid	0.0	n.s.
C05775	alpha-Ribazole	8.267	n.s.
C03069	3-Methylcrotonyl-CoA	-8.364	n.s.
C00979	O-Acetyl-L-serine	-6.69	n.s.
C05778	Sirohydrochlorin	0.0	n.s.
C03063	2-Oxohept-3-enedioate	-1.874	n.s.
C05762	3-Oxohexadecanoyl-[acp]	10.206	<0.05
C00166	Phenylpyruvate	-5.177	n.s.
C00167	UDP-glucuronate	7.044	n.s.
C02988	L-Histidyl-tRNA(His)	-9.185	n.s.
C00163	Propanoate	9.852	n.s.
C02984	L-Aspartyl-tRNA(Asp)	-9.32	n.s.
C03267	beta-D-Fructose_2-phosphate	9.678	n.s.
C00575	3',5'-Cyclic_AMP	-9.155	n.s.
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	-8.957	n.s.
C03263	Coproporphyrinogen_III	-6.392	n.s.
C02047	L-Leucyl-tRNA	-9.157	n.s.
C14787	(1S,2R)-Naphthalene_1,2-oxide	10.165	n.s.
C14786	(1R,2S)-Naphthalene_1,2-oxide	10.165	n.s.
C03082	4-Phospho-L-aspartate	-8.119	n.s.
C20253	Aminoacrylate	6.845	n.s.
C20396	Methylphosphonate	6.15	<0.05
C00341	Geranyl_diphosphate	0.0	n.s.
C00861	L-Rhamnulose	6.443	n.s.
C01063	6-Carboxyhexanoyl-CoA	7.209	n.s.
C02962	D-Allose_6-phosphate	6.409	<0.05
C00864	Pantothenate	-8.468	n.s.
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	8.224	n.s.
C00534	Pyridoxamine	0.0	n.s.
C01419	Cys-Gly	9.22	n.s.
C03360	4-Nitrophenyl_phosphate	6.883	n.s.
C04932	Lipid_A_disaccharide	-7.913	n.s.
C01146	2-Hydroxy-3-oxopropanoate	5.781	n.s.
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	7.14	n.s.
C12448	Ecgonine_methyl_ester	8.134	n.s.
C06510	Adenosine-GDP-cobinamide	5.644	n.s.
C03561	(R)-3-Hydroxybutanoyl-CoA	-8.364	n.s.
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-7.629	n.s.
C04242	5-Fluorodeoxyuridine_monophosphate	-7.426	n.s.
C03406	N-(L-Arginino)succinate	-6.443	n.s.
C05512	Deoxyinosine	-8.48	n.s.
