KO_code	Compound_codes
K03631	
K03630	
K02314	
K02316	
K06167	C01151
K02313	
K06168	
K06287	
K03388	C03576,C04628,C04628,C04628,C03576,C04628,C03576
K01491	C00445,C00143,C00143,C00445,C00143,C00234,C00445,C00445,C00234,C00445
K00262	C00026,C00014,C00014,C00026,C00014,C00025
K00266	C00025,C00025,C00025,C00026,C00064,C00025,C00025,C00025,C00026,C00064,C00025,C00026,C00014,C00014,C00026,C00014,C00025
K06041	
K03439	
K01686	C00204,C00204
K02437	C00014,C00014,C00014,C00143
K12343	C03681,C03917,C18040,C00674
K12340	
K01992	
K01993	
K01990	
K02015	
K11754	C09332,C00415,C00415
K01104	
K11753	C00016,C00061,C00061,C00061
K00981	C00269,C00269,C00269
K07240	
K02871	
K01190	C00124,C00124,C00267,C00267,C00124,C01190,C01190
K02926	
K03437	
K07085	
K09793	
K09797	
K04516	C00254,C00251,C00254,C00254
K01744	C00122,C00049
K06861	
K01585	C00179,C00179
K00600	C00065,C00065,C00065,C00101,C00101,C00065,C00143,C00037,C00143,C00065,C00101,C00065,C00065,C04377,C04377
K01428	C00011,C00014,C00011,C00011,C00011,C00014,C00011
K00602	C00130,C04734,C04734,C04734,C00101,C00234,C04734,C04734
K00605	C00014,C00014,C00014,C00143,C03479,C00014,C00143,C02972,C00143,C00143,C00143
K00604	C00101,C00101,C03294
K00606	C00966,C00966,C00966
K00609	C00438,C00438,C00169
K07098	
K00919	C11436,C11435,C11436
K01588	C04751,C04751,C04751
K01424	C00049,C00049,C00049,C00049
K07560	
K07567	
K07566	
K07568	
K00556	
K07391	
K07397	
K03594	
K03595	
K03596	
K03590	
K02519	
K03593	
K02517	C00229,C06251,C06025
K10716	
K03453	
K01736	C00251,C01269,C00251,C00251
K01737	C03684,C03684,C20239,C20239
K01734	C00546
K01928	C04877,C04877
K02503	
K01923	C04823,C04823,C04823
K01921	C00993,C00993,C00993
K01633	C00266,C01300,C01300
K01926	
K01925	C00692,C00692,C00692
K01924	C01212,C01212,C01050
K07025	
K00048	C00266,C00266,C00424
K00041	C00817,C00817
K07029	
K03521	
K03522	
K03525	C01134,C03492,C03492,C04352
K03524	C05921,C05921,C06250,C06250
K06942	
K03526	C11811,C11811,C11811
K05349	C00221,C00221,C00561,C00561,C00221,C00221,C00844,C00267,C05838,C05838,C03742,C18796,C02659
K02428	C00144,C00105,C00075,C00130,C00362,C00365,C00365,C00655,C06196
K02856	
K06949	
K00639	C03508
K03770	
K03771	
K06941	
K03775	
K03778	C00022
K02881	
K12373	G08421,G08421
K09761	
K09760	
K01813	C00861
K01812	C00905,C00191,C00558,C00558
K00929	C02527,C00246
K05807	
K02355	
K02357	
K02356	
K00134	C00236,C00118,C00236,C00236,C00236,C00236,C00236
K04043	
K04041	C00085,C00085,C00354,C00085,C00085,C05345,C05345,C05345,C05378,C05378,C05378,C05345
K01956	C00169,C00169,C00169
K01955	C00169,C00169,C00169
K01952	C04640,C04640,C04640
K01950	C00003,C00003
K01951	C00144,C00144,C00144,C00144,C16619
K00783	
K00784	
K07737	
K00789	C00019,C00019,C00073,C00019
K03070	
K03077	C00231,C00231,C00231,C00231
K01258	
K03075	
K01809	C05345,C05345,C05345,C05345
K04084	
K01251	C00155,C00021
K03270	C01187,C04478
K03177	
K06131	C05980,C05980,C05980,C05980
K03187	
K00554	
K01322	
K03183	C05814,C05814,C00828,C00828,C00828,C02059,C02059,C02059,C02059,C17561,C17561,C17561
K00558	C00021,C00019
K03189	
K12573	
K01079	C00065,C00065,C00065,C00065,C00065,C00065
K01173	
K16053	
K07217	
K00812	C00036,C00036,C00049,C00049,C00036,C00036,C00025,C00049,C00025,C00036,C00079,C00079,C00166,C00166,C00166,C00079,C00079,C01179,C01179,C01179,C01179,C01179,C01179,C01179,C00082,C00082,C00957,C00097,C05528,C05527,C00606,C05946,C05947
K02536	C04652,C06022
K00951	C04494
K00950	C04807,C04807
K00954	C00882,C00882
K08307	
K08301	
K08303	
K06180	
K11717	C01528,C00041,C01528,C00041,C05703
K06187	
K01493	C00365,C00239
K09903	C00015,C00105
K02600	
K01495	C05922,C05922,C04895,C04895,C05923,C05923,C06148,C06148
K03558	
K03559	
K01676	C00122,C00122,C00149,C00122,C00122,C00122
K07588	
K03550	
K03551	
K03553	
K03555	
