C01077	K01740
K00610	C00438
C00077	K00611
K11717	C01528
C00049	K11358
C00075	K03043
K00611	C00327
C00020	K00760
C05757	K11533
C00459	K02338
K00790	C04631
C00117	K01807
K01902	C00091
C00342	K00526
C00647	K00868
C00208	K05343
C00352	K01443
K01595	C00036
C11907	K01790
C00221	K00886
C00097	K11358
C05756	K11533
C00141	K01649
C00016	K11753
K14155	C00022
K00925	C02876
K01803	C00118
C00022	K01653
K01653	C06010
K00526	C00705
K00690	C00095
K02434	C06112
C01346	K00943
C00251	K01657
C00036	K11358
C00130	K00760
C00015	K09903
K13787	C00448
K16147	C00718
C04631	K00075
K00949	C00068
C00109	K00052
C00250	K00868
K00760	C00147
K01756	C03794
K00981	C00269
C00002	K00527
C05576	K04072
K02343	C00039
K00324	C00006
C05689	K11717
K13788	C02876
C01102	K00872
C00655	K01951
C00357	K01443
K00766	C00119
C00631	K15634
K00765	C00119
C00085	K00820
K01834	C00631
K03524	C05921
C00020	K00939
C00011	K01673
K00873	C00286
C05404	K07407
C03688	K00997
K00873	C00074
C00957	K00016
C00063	K01494
C11811	K03527
K01182	C00267
C00251	K04092
K01754	C00109
C00043	K00790
K01805	C00310
K00053	C06007
C06010	K01653
C00197	K00865
K11533	C05744
K14260	C00022
C00229	K11533
K01938	C00234
K01897	C00154
K01934	C00445
C00226	K04072
C05749	K11533
C00100	K13788
C01250	K00145
K01193	C02336
K00266	C00026
K11533	C04620
K01703	C06032
C00263	K00872
C01094	K01624
K03527	C00235
K01903	C00091
K01657	C00108
K02341	C00039
C04327	K14153
C00002	K03040
K01754	C00065
K01201	C00195
K01950	C00003
C00993	K01929
C16614	K00760
C00342	K00525
C01212	K01925
K00939	C00360
C00101	K08289
C00024	K01647
K01744	C00122
K05349	C03742
K11533	C05761
C00255	K11753
K04517	C00254
C00096	K00721
K02335	C00039
C00458	K01494
K11358	C05946
K01885	C02987
C00074	K00873
C03402	K02434
C00119	K00764
K00963	C00029
C00058	K01938
K02428	C00362
C00254	K04092
C00081	K02428
K11533	C05223
C00141	K14260
K00615	C00231
C06007	K01687
C00112	K00526
C05143	K05350
K01443	C00357
K07407	C03692
C00026	K00262
C03939	K11533
C06037	K07407
K01703	C04411
C00957	K11358
C04688	K11533
K01873	C02554
C04246	K11533
K01079	C00065
K00265	C00026
K00602	C00130
K00610	C00169
C00163	K00925
K01649	C02504
C18902	K00384
K00949	C00378
C00058	K00656
C04302	K01817
C11437	K00099
C00197	K00058
C00446	K00965
C05756	K00059
C04631	K00790
C04691	K13829
C00039	K02338
C00760	K05350
C00269	K00995
K00721	C00096
K00384	C00342
K00939	C00020
C00025	K11358
K03527	C00129
K01442	C02528
C00725	K03800
C16688	K01193
C00301	K01515
K00527	C00458
C00044	K02428
C02380	K00760
C00049	K00610
K00286	C00148
K01858	C04006
C00021	K00558
K01689	C00074
K08289	C00234
C00183	K14260
K00939	C00206
C00263	K00651
C00337	K00226
C00035	K00525
C00668	K01810
K01653	C06006
C06032	K01704
K02338	C00131
K01928	C04877
C03089	K01243
K03526	C11811
C00158	K01647
K00761	C00106
C00417	K01681
C01613	K07407
K00873	C00035
K07407	C00124
K05349	C02659
C02291	K14155
K00872	C00263
K00962	C00112
C05755	K11533
C05345	K00615
K00266	C00064
K07407	C05402
C00131	K02341
K00831	C03232
K02428	C06196
C00025	K00266
K00059	C05747
C00064	K01956
C04556	K00941
C00342	K00527
C04619	K00059
C00103	K00973
C05763	K11533
C05382	K00616
C00111	K01803
C07648	K00760
C00195	K01201
K00286	C01157
C00169	K00610
C00491	K14155
K11533	C05756
K11533	C16221
C00360	K00939
K08281	C00253
C00921	K11754
K00384	C01528
K03816	C00655
K08969	C01180
C00022	K00016
K00215	C20258
K01190	C00267
C08325	K05349
C05946	K11358
K01439	C00666
K01256	C05726
C00252	K01182
C04501	K04042
C03912	K00286
K01190	C00124
K05349	C00561
K00059	C05753
K00655	C00681
C00024	K13788
K01714	C20258
K00133	C00441
C05839	K05350
C00046	K03046
K00525	C00206
K00973	C00842
C00063	K03043
K11358	C00097
K00077	C00522
C00089	K01193
C15973	K00382
C11437	K01662
C00234	K00602
C00170	K01243
C00021	K01243
C05746	K11533
C00459	K02342
K01652	C00900
C00123	K01869
C03090	K01945
K00602	C04734
C01179	K04517
C04556	K14153
C00035	K00873
K01902	C00042
K01835	C00668
C00459	K02341
K01515	C00117
K13787	C00235
C00199	K06215
K01810	C00668
K01778	C00680
K01488	C00294
C00798	K01577
K04042	C04501
K01193	C05404
C00029	K00965
K00943	C00365
K11533	C04619
K04072	C16348
K00013	C00135
K01653	C00900
C00857	K01950
K03816	C00144
K00075	C01050
K00033	C00199
C05796	K12308
K00560	C00364
K01129	C00330
K00286	C04281
K08281	C00153
K01937	C00063
C05764	K11533
K01239	C00262
K00886	C00668
C01172	K01810
C05751	K11533
K01876	C02984
K03688	C05811
K01868	C02992
C00458	K02335
C02637	K00014
C00120	K03524
K00527	C00286
K01770	C11436
C00074	K01595
K01921	C00993
K09903	C00105
K01620	C00037
C02504	K01649
C16618	K01951
C05400	K07407
K01591	C00105
C00242	K00760
C00024	K01649
K00059	C04619
K01925	C00692
K00226	C00337
K00919	C11436
K03587	C04574
C00105	K02428
C00025	K01915
K01190	C01190
K00760	C16619
K01239	C00147
C00043	K04042
K05349	C18796
K01945	C03838
C00341	K13787
K01000	C04851
C00078	K01867
C03506	K01696
K11533	C03939
K01652	C06010
K04092	C00251
K14155	C00097
K03800	C16238
K00927	C00197
C00243	K01190
K00262	C00025
K00604	C00101
K11358	C00025
C00008	K00526
C00131	K00873
C00118	K06215
C00130	K01939
C05839	K05349
K00059	C05757
K01256	C00097
C03082	K00133
K13829	C00944
K02337	C00039
C01179	K11358
C00463	K01696
C00844	K05350
C00286	K02343
C00681	K00655
K01589	C15667
C06055	K00831
K14153	C04556
C00606	K11358
C00267	K01182
K01488	C05512
C00101	K11754
C00286	K02337
C16348	K04072
K04042	C06156
K00878	C04327
C00002	K17686
C04877	K01929
C02612	K01703
K03426	C00455
K00941	C04752
K01673	C00288
C00313	K01577
K01704	C06032
C00075	K03046
C05223	K02517
K00873	C00206
K00760	C00655
K00058	C03232
K00845	C00267
C00105	K09903
C16221	K11533
C01101	K01786
K02517	C00229
C02282	K02433
C00416	K00655
K00003	C00263
C05401	K07407
C00199	K01783
K00948	C00119
K03040	C00046
C04272	K01687
C00129	K13787
C00415	K00287
K04072	C06612
K09903	C00015
K00852	C00117
C00084	K04072
C00033	K00925
K00760	C00385
C00446	K00849
K00616	C05345
C04272	K00053
K01624	C00447
C00063	K03046
K02438	C01083
K00382	C15972
K01835	C00117
C00860	K00013
K00962	C00008
K01759	C00546
C16216	K00059
C00197	K00927
C00133	K01921
K11533	C04633
K00760	C00144
K00943	C01346
C00416	K00981
K00965	C00103
C00008	K00873
C00231	K01783
C05335	K01874
C06251	K02517
K00868	C00534
C00188	K01754
K00868	C00627
C01118	K00651
C02876	K13788
C00025	K01919
K05350	C02659
C02226	K01704
K02428	C00144
K13829	C00493
C03972	K00674
K00991	C11435
C06006	K00053
C02282	K02434
C01290	K01190
K01740	C00097
C00024	K00656
K00615	C00279
C00040	K00655
K01697	C02291
K14260	C00041
C02474	K01209
K02517	C06025
C00049	K01940
K01626	C04691
C00109	K01652
C00885	K02551
K00382	C00091
C02504	K01703
C00185	K05350
C04411	K01703
K01520	C00365
C00002	K00873
C00760	K05349
K00790	C00043
K01624	C00354
K00760	C04646
K00215	C03972
C00019	K00558
K01176	C00721
C04494	K01524
C00364	K00943
K05364	C04574
C00015	K00525
C16238	K03800
C06032	K00052
K01703	C02631
C00459	K02343
K00831	C06055
C16219	K11533
K01494	C00460
K04072	C05576
C00197	K15634
K01866	C02839
C05762	K11533
K00133	C03082
K04072	C14090
K01624	C00577
C00361	K00873
K01869	C02047
