compound_code	compound_name	alistipes_mock_score	lachnospiraceae_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	5.618	1.08	0.192	51.226	3.3	70.0
C00026	2-Oxoglutarate	-6.017	-0.652	0.024	66.33	-0.687	60.0
C06481	L-Seryl-tRNA(Sec)	-6.768	-1.585	0.028	111.986	-1.624	70.0
C00020	AMP	1.585	-0.678	0.533	4.6	-1.295	60.0
C00352	D-Glucosamine_6-phosphate	-5.728	1.322	0.047	55.503	-1.388	60.0
C00022	Pyruvate	6.239	-2.435	0.072	80.939	-2.535	80.0
C00143	5,10-Methylenetetrahydrofolate	-5.215	0.131	0.029	38.238	-0.173	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-4.392	-0.907	0.089	22.871	-1.03	50.0
C00144	GMP	-6.229	-0.893	0.025	76.866	-0.928	50.0
C01103	Orotidine_5'-phosphate	-3.7	-3.369	0.795	23.328	-4.213	90.0
C05528	3-Sulfopyruvate	-6.658	-1.0	0.02	102.985	-1.028	50.0
C00944	3-Dehydroquinate	5.392	-1.0	0.048	43.991	-1.067	50.0
C03838	5'-Phosphoribosylglycinamide	-6.741	-1.0	0.019	108.965	-1.027	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	6.34	2.0	0.315	85.008	4.745	80.0
C02430	L-Methionyl-tRNA	-5.044	1.0	0.061	34.991	-1.085	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.382	-0.893	0.178	12.282	-1.129	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-7.071	-1.322	0.019	136.957	-1.349	60.0
C00627	Pyridoxine_phosphate	-6.629	-1.0	0.02	100.976	-1.029	50.0
C05754	trans-Dec-2-enoyl-[acp]	-5.7	1.0	0.038	53.984	-1.054	50.0
C00438	N-Carbamoyl-L-aspartate	3.858	-2.0	0.276	18.5	-2.351	80.0
C00101	Tetrahydrofolate	4.512	-1.0	0.088	24.816	-1.121	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-7.484	-1.585	0.017	182.023	-1.609	60.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-7.435	-3.322	0.058	183.045	-3.403	90.0
C00234	10-Formyltetrahydrofolate	-3.229	0.598	0.161	10.89	-0.814	60.0
C01931	L-Lysyl-tRNA	-6.931	-1.0	0.016	124.022	-1.023	50.0
C00010	CoA	-6.755	-1.0	0.019	110.008	-1.026	50.0
C00011	CO2	7.581	4.966	0.655	222.728	7.189	90.0
C00014	Ammonia	-4.031	-0.459	0.084	17.722	-0.575	60.0
C00015	UDP	-3.907	-3.087	0.566	23.498	-3.734	90.0
C00065	L-Serine	5.185	-0.355	0.035	37.657	-0.405	60.0
C05796	Galactan	6.248	2.807	0.449	83.002	5.221	80.0
C01528	Hydrogen_selenide	-6.812	1.0	0.018	114.361	-1.025	50.0
C00155	L-Homocysteine	-1.379	-2.222	0.557	7.266	-2.018	80.0
C05752	Octanoyl-[acp]	6.498	-1.585	0.033	93.384	-1.632	70.0
C05746	3-Oxohexanoyl-[acp]	6.34	2.0	0.315	85.008	4.745	80.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.907	-1.0	0.067	32.002	-1.093	50.0
C00091	Succinyl-CoA	-6.522	-1.585	0.033	94.901	-1.631	70.0
C00506	L-Cysteate	6.658	1.0	0.15	102.985	3.951	70.0
C01131	L-Rhamnulose_1-phosphate	5.833	-2.0	0.07	61.004	-2.098	80.0
C05345	beta-D-Fructose_6-phosphate	5.811	3.763	0.648	69.718	5.497	90.0
C16633	5-Fluorouridine	7.748	1.585	0.205	217.971	5.479	90.0
C02051	Lipoylprotein	-4.585	-1.585	0.125	27.001	-1.755	70.0
C00221	beta-D-Glucose	3.215	-1.064	0.225	11.376	-1.357	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	6.752	-1.585	0.028	110.784	-1.625	70.0
C00229	Acyl-carrier_protein	7.257	-1.0	0.013	154.959	-1.019	50.0
C00882	Dephospho-CoA	-2.807	1.585	0.429	9.998	-2.1	80.0
C00655	Xanthosine_5'-phosphate	-2.773	0.369	0.189	8.127	-0.619	60.0
C00118	D-Glyceraldehyde_3-phosphate	4.754	6.136	0.775	97.31	6.236	90.0
C05759	3-Oxotetradecanoyl-[acp]	6.34	2.0	0.315	85.008	4.745	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-6.845	-2.322	0.043	119.961	-2.383	80.0
C01172	beta-D-Glucose_6-phosphate	-3.322	-1.585	0.3	13.001	-1.964	80.0
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate	7.435	3.322	0.447	183.045	6.354	90.0
C05838	cis-2-Hydroxycinnamate	-7.435	-3.322	0.058	183.045	-3.403	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-8.358	-1.585	0.009	331.102	-1.598	60.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	6.34	2.0	0.315	85.008	4.745	80.0
C00008	ADP	-2.336	-2.415	0.947	10.382	-3.297	90.0
C00006	NADP+	-6.322	1.0	0.025	82.004	-1.036	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	6.629	-1.0	0.02	100.976	-1.029	50.0
C00002	ATP	6.959	2.524	0.363	130.165	5.561	90.0
C00369	Starch	2.644	0.893	0.338	8.108	1.453	70.0
C15972	Enzyme_N6-(lipoyl)lysine	-6.907	-1.585	0.025	123.009	-1.621	70.0
C00760	Cellulose	7.435	2.663	0.358	179.378	6.006	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-7.071	-1.322	0.019	136.957	-1.349	60.0
C16619	6-Thioguanosine_monophosphate	-7.129	-1.0	0.014	141.973	-1.02	50.0
C16618	6-Thioxanthine_5'-monophosphate	-2.0	1.0	0.5	6.0	-1.585	60.0
C00251	Chorismate	3.0	-0.297	0.154	9.229	-0.503	60.0
C00255	Riboflavin	-4.807	2.322	0.179	32.993	-2.559	90.0
C05336	Selenomethionyl-tRNA(Met)	-6.741	-1.0	0.019	108.965	-1.027	50.0
C05143	Dhurrin	7.435	3.322	0.447	183.045	6.354	90.0
C00259	L-Arabinose	8.262	-1.0	0.007	308.98	-1.009	50.0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-7.077	-1.0	0.015	137.017	-1.021	50.0
C16614	6-Methylmercaptopurine	7.077	1.0	0.141	137.017	4.275	70.0
C03742	(S)-4-Hydroxymandelonitrile	-7.435	-3.322	0.058	183.045	-3.403	90.0
C00312	L-Xylulose	7.055	2.0	0.283	136.974	5.279	90.0
C00491	L-Cystine	6.129	3.0	0.489	77.986	5.254	80.0
C00493	Shikimate	2.988	0.341	0.114	9.2	0.07	70.0
C00886	L-Alanyl-tRNA	-6.7	-1.585	0.029	106.968	-1.626	70.0
C00092	D-Glucose_6-phosphate	-7.589	-3.459	0.057	203.535	-3.539	90.0
C00093	sn-Glycerol_3-phosphate	7.347	-1.893	0.023	166.519	-1.926	80.0
C00095	D-Fructose	-7.827	-2.0	0.018	231.071	-2.025	80.0
C00154	Palmitoyl-CoA	-8.651	-1.0	0.005	403.986	-1.007	50.0
C00097	L-Cysteine	-7.224	0.415	0.009	150.833	-0.428	60.0
C00078	L-Tryptophan	6.409	0.585	0.091	86.477	2.981	70.0
