compound_code	compound_name	alistipes_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	5.618	3.851	0.685	63.542	5.445	70.0
C09332	Tetrahydrofolyl-[Glu](2)	-6.426	-3.17	0.105	94.985	-3.314	50.0
C00148	L-Proline	7.18	2.536	0.353	150.809	5.735	80.0
C00026	2-Oxoglutarate	-6.017	3.981	0.244	80.549	-4.296	70.0
C06481	L-Seryl-tRNA(Sec)	-6.768	-6.615	0.899	207.006	-7.541	90.0
C00020	AMP	1.585	3.771	0.42	16.652	2.807	70.0
C00352	D-Glucosamine_6-phosphate	-5.728	6.155	0.744	124.262	-6.53	90.0
C00022	Pyruvate	6.239	-5.362	0.544	116.658	-5.989	90.0
C00143	5,10-Methylenetetrahydrofolate	-5.215	-1.356	0.069	39.702	-1.452	60.0
C02972	Dihydrolipoylprotein	-6.15	7.6	0.366	265.024	-6.6	90.0
C00029	UDP-glucose	4.17	-6.268	0.234	95.066	-4.473	70.0
C00147	Adenine	-2.755	2.121	0.644	11.1	-2.839	50.0
C00144	GMP	-6.229	3.241	0.126	84.464	-3.412	60.0
C02876	Propanoyl_phosphate	-7.238	-1.807	0.023	154.457	-1.84	60.0
C01101	L-Ribulose_5-phosphate	5.661	2.865	0.506	57.883	4.873	70.0
C01103	Orotidine_5'-phosphate	-3.7	1.222	0.179	15.329	-1.46	60.0
C05223	Dodecanoyl-[acyl-carrier_protein]	6.752	-2.322	0.046	112.784	-2.387	50.0
C03838	5'-Phosphoribosylglycinamide	-6.741	-2.807	0.065	113.964	-2.898	50.0
C02430	L-Methionyl-tRNA	-5.044	3.585	0.364	44.991	-4.033	70.0
C03939	Acetyl-[acyl-carrier_protein]	3.051	-2.515	0.69	14.004	-3.272	50.0
C05729	R-S-Cysteinylglycine	8.618	2.322	0.269	397.895	6.744	90.0
C14818	Fe2+	7.15	2.322	0.325	147.025	5.577	70.0
C03232	3-Phosphonooxypyruvate	3.766	2.678	0.711	20.004	3.83	70.0
C00627	Pyridoxine_phosphate	-6.629	-8.055	0.372	364.923	-7.085	90.0
C05684	Selenite	6.943	6.966	0.997	248.06	7.95	90.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-3.459	1.874	0.333	14.662	-2.289	50.0
C00438	N-Carbamoyl-L-aspartate	3.858	-1.585	0.207	17.5	-1.856	60.0
C00101	Tetrahydrofolate	4.512	1.485	0.329	25.616	3.076	70.0
C05122	Taurocholate	6.17	6.907	0.893	192.013	7.422	90.0
C05726	S-Substituted_L-cysteine	-8.618	-2.322	0.013	397.895	-2.34	50.0
C00700	XTP	7.484	6.209	0.83	253.0	7.714	90.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-7.484	-3.322	0.056	189.023	-3.4	60.0
C00705	dCDP	-2.939	3.369	0.742	18.0	-3.74	60.0
C06250	Holo-[carboxylase]	-6.267	-3.868	0.19	91.612	-4.118	70.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-4.907	-5.209	0.811	66.991	-5.764	80.0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	6.644	-3.17	0.09	109.01	-3.294	50.0
C11736	5-Fluorodeoxyuridine	6.615	3.17	0.479	107.02	5.68	80.0
C01185	Nicotinate_D-ribonucleotide	-6.19	3.524	0.158	84.512	-3.735	60.0
C05688	L-Selenocysteine	6.741	4.17	0.619	124.966	6.272	80.0
C00491	L-Cystine	6.129	3.755	0.613	83.487	5.677	70.0
C00010	CoA	-6.755	4.841	0.265	136.669	-5.181	80.0
C00011	CO2	7.581	3.392	0.447	201.971	6.498	80.0
C00141	3-Methyl-2-oxobutanoic_acid	-4.392	2.3	0.235	25.92	-2.604	50.0
C00014	Ammonia	-4.031	-2.52	0.351	22.083	-2.954	50.0
