compound_code	compound_name	bacteroides_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-2.32	-2.134	0.879	9.383	-3.044	70.0
C00024	Acetyl-CoA	2.917	4.951	0.589	38.484	4.503	80.0
C00148	L-Proline	1.152	3.17	0.363	11.223	2.028	70.0
C00026	2-Oxoglutarate	3.322	1.415	0.426	12.667	2.432	70.0
C06481	L-Seryl-tRNA(Sec)	-4.585	-3.907	0.625	39.002	-4.607	90.0
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	5.755	1.585	0.275	57.004	3.973	80.0
C00352	D-Glucosamine_6-phosphate	4.524	1.379	0.305	25.608	2.965	70.0
C00022	Pyruvate	-3.676	-3.222	0.73	22.112	-4.013	80.0
C00143	5,10-Methylenetetrahydrofolate	-1.008	0.599	0.753	3.526	-1.409	50.0
C00029	UDP-glucose	-5.351	2.891	0.182	48.232	-3.132	70.0
C00147	Adenine	1.644	-2.17	0.694	7.626	-2.405	60.0
C00144	GMP	-4.087	-2.888	0.436	24.397	-3.41	70.0
C02876	Propanoyl_phosphate	2.807	-3.7	0.538	19.994	-3.429	70.0
C01100	L-Histidinol_phosphate	-4.935	2.0	0.131	34.59	-2.177	50.0
C00343	Thioredoxin_disulfide	-2.907	-4.585	0.313	31.501	-3.299	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	2.322	-5.044	0.152	37.991	-2.526	60.0
C00944	3-Dehydroquinate	1.0	2.0	0.5	6.0	1.585	60.0
C05400	Epimelibiose	2.322	3.585	0.648	17.001	3.461	80.0
C00344	Phosphatidylglycerol	2.585	3.585	0.721	18.0	3.698	80.0
C05402	Melibiose	1.585	-4.087	0.177	19.995	-1.82	50.0
C02430	L-Methionyl-tRNA	-5.248	-3.17	0.237	47.002	-3.477	70.0
C00020	AMP	-3.459	3.285	0.886	20.744	-4.201	90.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-1.553	0.379	0.443	4.235	-0.908	60.0
C02737	Phosphatidylserine	1.939	-0.222	0.304	5.001	-0.605	60.0
C00100	Propanoyl-CoA	-3.585	-1.585	0.25	15.0	-1.907	50.0
C12739	5'-Deoxy-5-fluorouridine	-3.322	-4.0	0.625	26.0	-4.022	80.0
C03512	L-Tryptophanyl-tRNA(Trp)	-3.322	-2.585	0.6	16.001	-3.263	70.0
C00826	L-Arogenate	4.644	2.907	0.626	32.503	4.347	80.0
C05122	Taurocholate	1.0	1.0	1.0	4.0	2.0	70.0
C06126	Digalactosylceramide	2.322	3.585	0.648	17.001	3.461	80.0
C03684	6-Pyruvoyltetrahydropterin	-3.0	-1.585	0.375	11.0	-2.044	50.0
C00231	D-Xylulose_5-phosphate	-5.032	-2.656	0.193	39.021	-2.91	60.0
C01345	dITP	-3.322	3.459	0.909	20.997	-4.255	90.0
C01185	Nicotinate_D-ribonucleotide	-4.503	-1.222	0.103	25.007	-1.363	50.0
C02637	3-Dehydroshikimate	-3.059	-1.222	0.28	10.667	-1.578	50.0
C01613	Stachyose	1.585	4.807	0.33	30.993	3.353	70.0
C01931	L-Lysyl-tRNA	-5.129	-3.907	0.429	49.994	-4.422	90.0
C00010	CoA	-1.0	2.0	0.5	6.0	-1.585	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.585	-3.585	1.0	24.001	-4.585	90.0
C00014	Ammonia	-4.471	-3.619	0.554	34.464	-4.255	90.0
C05980	Cardiolipin	-2.585	-3.585	0.5	18.0	-3.17	70.0
C02336	beta-D-Fructose	2.17	-4.7	0.173	30.492	-2.4	50.0
C00018	Pyridoxal_phosphate	-0.485	-3.807	0.1	15.396	-0.622	60.0
C00065	L-Serine	-2.452	-1.578	0.546	8.457	-2.206	50.0
C00153	Nicotinamide	-3.524	-4.807	0.411	39.497	-4.021	80.0
C01528	Hydrogen_selenide	-3.059	-3.544	0.714	19.998	-3.837	80.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	1.0	3.459	0.289	12.997	1.91	70.0
C00015	UDP	-3.0	-3.17	0.889	17.0	-3.918	80.0
C00794	D-Sorbitol	-2.322	-3.585	0.417	17.001	-2.825	60.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-2.322	1.0	0.4	7.0	-1.485	50.0
C01134	Pantetheine_4'-phosphate	-1.874	3.7	0.282	16.662	-2.232	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-2.807	1.585	0.429	9.998	-2.1	50.0
C05399	Melibiitol	2.322	3.585	0.648	17.001	3.461	80.0
C05345	beta-D-Fructose_6-phosphate	5.433	1.412	0.26	45.862	3.575	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-4.755	-3.755	0.5	40.503	-4.34	90.0
C00226	Primary_alcohol	0.585	5.17	0.113	37.502	2.085	70.0
C06037	Digalactosyl-diacylglycerol	2.322	3.585	0.648	17.001	3.461	80.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	2.322	3.585	0.648	17.001	3.461	80.0
C00221	beta-D-Glucose	-5.574	3.459	0.231	58.633	-3.759	80.0
C05382	Sedoheptulose_7-phosphate	-2.012	1.078	0.523	6.145	-1.685	50.0
C05822	3'-CMP	-6.229	-2.807	0.093	82.008	-2.936	60.0
C00385	Xanthine	2.907	2.459	0.846	12.999	3.459	70.0
C00387	Guanosine	3.0	4.807	0.624	35.993	4.489	80.0
C00229	Acyl-carrier_protein	8.583	-3.0	0.021	391.478	-3.03	70.0
C00882	Dephospho-CoA	-2.322	-3.807	0.357	18.997	-2.763	60.0
C05841	Nicotinate_D-ribonucleoside	2.807	4.807	0.584	34.991	4.353	80.0
C00655	Xanthosine_5'-phosphate	-3.575	3.115	0.727	20.581	-3.903	80.0
C00118	D-Glyceraldehyde_3-phosphate	5.338	2.4	0.45	45.726	4.362	80.0
C15996	7-Cyano-7-carbaguanine	-1.585	-0.737	0.556	4.667	-1.374	50.0
C03125	L-Cysteinyl-tRNA(Cys)	-3.585	-4.087	0.706	28.995	-4.356	90.0
C03127	L-Isoleucyl-tRNA(Ile)	-5.492	-3.322	0.222	55.005	-3.611	70.0
C00714	Pectin	3.459	4.907	0.705	40.999	4.853	90.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-2.322	-3.585	0.417	17.001	-2.825	60.0
C00364	dTMP	-1.0	1.807	0.572	5.499	-1.652	50.0
C00365	dUMP	-1.737	0.807	0.525	5.083	-1.416	50.0
C00362	dGMP	-2.322	1.585	0.6	8.0	-2.263	50.0
C00363	dTDP	4.807	-3.322	0.357	37.994	-3.763	80.0
C00361	dGDP	-2.397	4.891	0.178	34.938	-2.633	60.0
C00006	NADP+	-3.17	-2.0	0.444	13.0	-2.53	60.0
C00058	Formate	2.392	-1.17	0.429	7.499	-1.685	50.0
C00003	NAD+	-0.737	0.737	1.0	3.333	-1.737	50.0
C00002	ATP	7.296	-4.36	0.131	177.685	-4.537	90.0
C00369	Starch	5.989	0.874	0.146	65.347	3.253	70.0
C05703	Methaneselenol	-3.248	-3.585	0.792	21.501	-4.089	80.0
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-2.322	-3.0	0.625	13.0	-3.022	60.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	3.459	-3.17	0.818	19.997	-4.033	80.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-1.322	-4.492	0.111	25.002	-1.474	50.0
C01127	4-Hydroxy-2-oxoglutarate	5.248	5.209	0.993	74.99	6.218	90.0
C00021	S-Adenosyl-L-homocysteine	-5.959	-2.459	0.088	67.705	-2.581	60.0
C00253	Nicotinate	-2.0	-4.807	0.143	31.993	-2.193	50.0
C00250	Pyridoxal	0.585	3.807	0.154	15.497	1.252	60.0
C00251	Chorismate	-3.635	0.585	0.121	13.924	-0.749	60.0
C05401	3-beta-D-Galactosyl-sn-glycerol	2.322	3.585	0.648	17.001	3.461	80.0
C00254	Prephenate	1.406	0.19	0.135	3.791	-0.965	60.0
C00255	Riboflavin	-3.322	3.0	0.8	18.0	-3.848	80.0
C05336	Selenomethionyl-tRNA(Met)	-5.322	-3.585	0.3	52.002	-3.964	80.0
C00415	Dihydrofolate	0.737	1.152	0.64	3.889	1.315	60.0
C00416	Phosphatidate	3.858	0.807	0.209	16.25	1.765	60.0
C05335	L-Selenomethionine	4.459	3.585	0.804	33.994	4.772	90.0
C00310	D-Xylulose	-5.358	-3.0	0.195	49.013	-3.257	70.0
C00558	D-Tagaturonate	2.0	-2.807	0.572	10.998	-2.652	60.0
C00492	Raffinose	-1.585	4.087	0.177	19.995	-1.82	50.0
C00314	Pyridoxine	0.737	3.807	0.194	15.663	1.6	60.0
C00886	L-Alanyl-tRNA	-5.358	-3.459	0.268	52.009	-3.802	80.0
C00092	D-Glucose_6-phosphate	-6.047	-3.655	0.191	78.716	-3.907	80.0
C00093	sn-Glycerol_3-phosphate	3.0	3.256	0.921	17.553	4.016	80.0
C00095	D-Fructose	-4.492	-1.0	0.089	24.502	-1.123	60.0
C00881	Deoxycytidine	2.807	4.0	0.702	22.998	4.012	80.0
C00097	L-Cysteine	-3.534	3.907	0.772	26.585	-4.36	90.0
C14099	2-Naphthaldehyde	-0.585	-5.17	0.042	37.502	-0.644	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	2.322	1.585	0.683	8.0	2.449	70.0
C00078	L-Tryptophan	-3.298	2.585	0.61	15.836	-3.272	70.0
C00079	L-Phenylalanine	-1.068	2.807	0.3	9.095	-1.446	50.0
C00066	tRNA	3.459	3.459	1.0	21.993	4.459	80.0
