compound_code	compound_name	clostridium_mock_score	lachnospiraceae_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.243	1.08	0.225	3.297	-0.431	70.0
C00024	Acetyl-CoA	-3.848	-3.764	0.943	27.986	-4.723	90.0
C00026	2-Oxoglutarate	-4.626	-0.652	0.064	26.264	-0.741	60.0
C06481	L-Seryl-tRNA(Sec)	-3.7	-1.585	0.231	15.996	-1.885	70.0
C00020	AMP	0.415	-0.678	0.833	2.933	-1.289	50.0
C00352	D-Glucosamine_6-phosphate	0.585	1.322	0.443	4.0	0.824	70.0
C00022	Pyruvate	-3.526	-2.435	0.469	16.927	-2.99	90.0
C00143	5,10-Methylenetetrahydrofolate	1.461	0.131	0.09	3.848	-1.535	60.0
C00141	3-Methyl-2-oxobutanoic_acid	-2.0	-0.907	0.469	5.875	-1.462	50.0
C02430	L-Methionyl-tRNA	-2.322	1.0	0.4	7.0	-1.485	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-1.837	-0.893	0.52	5.43	-1.497	60.0
C00620	alpha-D-Ribose_1-phosphate	3.954	4.087	0.967	32.492	4.974	90.0
C03033	beta-D-Glucuronoside	1.0	2.0	0.5	6.0	1.585	70.0
C00100	Propanoyl-CoA	-1.7	-1.322	0.77	5.749	-2.145	80.0
C00438	N-Carbamoyl-L-aspartate	0.585	-2.0	0.375	5.5	-1.044	50.0
C00101	Tetrahydrofolate	3.933	-1.0	0.131	17.274	-1.178	50.0
C00231	D-Xylulose_5-phosphate	0.3	-3.346	0.121	11.399	-0.465	70.0
C00234	10-Formyltetrahydrofolate	-4.492	0.598	0.067	24.016	-0.692	60.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	3.459	-2.322	0.455	15.997	-2.863	90.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	1.585	1.0	6.0	2.585	90.0
C00011	CO2	6.808	4.966	0.729	143.305	6.708	90.0
C00014	Ammonia	1.053	-0.459	0.663	3.449	-1.192	50.0
C00015	UDP	-1.874	-3.087	0.431	12.163	-2.391	80.0
C00065	L-Serine	-0.787	-0.355	0.741	3.004	-1.155	50.0
C00155	L-Homocysteine	-0.322	-2.222	0.268	5.915	-0.664	60.0
C05791	D-Urobilinogen	-1.0	-2.0	0.5	6.0	-1.585	60.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	1.0	-1.0	1.0	4.0	-2.0	70.0
C00091	Succinyl-CoA	5.94	-1.585	0.049	64.393	-1.654	60.0
C05345	beta-D-Fructose_6-phosphate	-2.4	3.763	0.389	18.854	-2.874	90.0
C16633	5-Fluorouridine	2.0	1.585	0.792	7.0	2.472	90.0
C04900	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide	1.0	2.0	0.5	6.0	1.585	70.0
C02051	Lipoylprotein	0.585	-1.585	0.5	4.5	-1.17	50.0
C00655	Xanthosine_5'-phosphate	-1.524	0.369	0.449	4.167	-0.904	50.0
C05759	3-Oxotetradecanoyl-[acp]	1.0	2.0	0.5	6.0	1.585	70.0
C01172	beta-D-Glucose_6-phosphate	-2.612	-1.585	0.491	9.114	-2.161	80.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.0	-1.585	0.667	5.0	-1.737	60.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	1.0	2.0	0.5	6.0	1.585	70.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.0	-1.585	0.667	5.0	-1.737	60.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	1.0	2.0	0.5	6.0	1.585	70.0
C00008	ADP	-1.415	-2.415	0.5	8.0	-2.0	70.0
C05787	Bilirubin_beta-diglucuronide	1.0	2.0	0.5	6.0	1.585	70.0
C00002	ATP	4.465	2.524	0.565	27.837	3.976	90.0
C00369	Starch	2.402	0.893	0.372	7.142	1.409	70.0
C15972	Enzyme_N6-(lipoyl)lysine	1.585	-1.585	1.0	6.0	-2.585	90.0
C16618	6-Thioxanthine_5'-monophosphate	-2.585	1.0	0.333	8.0	-1.415	50.0
C05336	Selenomethionyl-tRNA(Met)	-2.322	-1.0	0.4	7.0	-1.485	50.0
C00259	L-Arabinose	3.17	-1.0	0.222	11.0	-1.289	50.0
