compound_code	compound_name	clostridium_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.243	3.851	0.063	15.613	-0.021	60.0
C00024	Acetyl-CoA	-3.848	-8.24	0.048	316.734	-3.915	90.0
C00026	2-Oxoglutarate	-4.626	3.981	0.639	40.483	-4.694	90.0
C06481	L-Seryl-tRNA(Sec)	-3.7	-6.615	0.133	111.016	-3.88	90.0
C00020	AMP	0.415	3.771	0.11	14.985	0.722	60.0
C00352	D-Glucosamine_6-phosphate	0.585	6.155	0.095	72.759	2.79	80.0
C00022	Pyruvate	-3.526	-5.362	0.28	52.646	-3.882	90.0
C00143	5,10-Methylenetetrahydrofolate	1.461	-1.356	0.93	5.313	-2.304	70.0
C00141	3-Methyl-2-oxobutanoic_acid	-2.0	2.3	0.812	8.925	-2.858	80.0
C00029	UDP-glucose	1.766	-6.268	0.044	80.466	-1.828	60.0
C00147	Adenine	-0.101	2.121	0.247	5.422	-0.419	60.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-0.585	-6.954	0.012	125.483	-0.602	50.0
C00100	Propanoyl-CoA	-1.7	-10.569	0.002	1522.348	-1.703	60.0
C00149	(S)-Malate	1.339	2.322	0.577	7.53	2.118	70.0
C14089	1-Hydroxymethylnaphthalene	2.954	7.639	0.387	207.077	6.323	90.0
C05400	Epimelibiose	0.585	6.954	0.084	125.483	3.4	80.0
C05401	3-beta-D-Galactosyl-sn-glycerol	0.585	6.954	0.084	125.483	3.4	80.0
C05402	Melibiose	0.222	5.7	0.039	53.151	1.05	70.0
C02430	L-Methionyl-tRNA	-2.322	3.585	0.417	17.001	-2.825	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-1.837	-5.141	0.101	38.858	-1.976	60.0
C03232	3-Phosphonooxypyruvate	1.766	2.678	0.659	9.801	2.692	80.0
C05335	L-Selenomethionine	2.322	3.459	0.671	15.997	3.425	80.0
C00438	N-Carbamoyl-L-aspartate	0.585	-1.585	0.5	4.5	-1.17	50.0
C00101	Tetrahydrofolate	3.933	1.485	0.378	18.073	2.771	80.0
C06126	Digalactosylceramide	0.585	6.954	0.084	125.483	3.4	80.0
C02051	Lipoylprotein	0.585	-7.6	0.008	195.512	-0.596	50.0
C06250	Holo-[carboxylase]	-0.322	-3.868	0.086	15.851	-0.441	60.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-1.0	-5.209	0.054	38.988	-1.076	50.0
C01185	Nicotinate_D-ribonucleotide	1.0	3.524	0.284	13.503	1.938	70.0
C00235	Dimethylallyl_diphosphate	-3.609	-1.571	0.244	15.173	-1.885	60.0
C01613	Stachyose	0.415	6.19	0.067	74.342	2.317	70.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	3.459	-3.459	1.0	21.993	-4.459	90.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	-5.0	0.094	35.0	-1.714	60.0
C00011	CO2	6.808	3.392	0.498	122.548	5.932	90.0
C00014	Ammonia	1.053	-2.52	0.362	7.811	-1.498	60.0
C00015	UDP	-1.874	-0.585	0.409	5.166	-1.08	50.0
C00065	L-Serine	-0.787	-2.677	0.27	8.121	-1.132	50.0
C00153	Nicotinamide	-0.585	-5.073	0.045	35.161	-0.648	50.0
C00152	L-Asparagine	0.778	-1.188	0.753	3.993	-1.588	60.0
C00155	L-Homocysteine	-0.322	-3.532	0.108	12.818	-0.47	60.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.0	3.17	0.222	11.0	-1.289	50.0
C00794	D-Sorbitol	-0.585	-4.524	0.065	24.507	-0.676	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	1.0	-2.0	0.5	6.0	-1.585	60.0
C00091	Succinyl-CoA	5.94	-7.6	0.316	255.405	-6.337	90.0
C00294	Inosine	0.485	5.146	0.094	36.808	1.795	70.0
C04302	N-(5-Phospho-D-ribosyl)anthranilate	-1.874	3.17	0.407	12.666	-2.367	70.0
C02876	Propanoyl_phosphate	-1.0	-1.807	0.572	5.499	-1.652	60.0
C05345	beta-D-Fructose_6-phosphate	-2.4	6.908	0.044	125.37	-2.462	70.0
C00227	Acetyl_phosphate	0.107	-6.014	0.017	65.701	-0.131	60.0
C00226	Primary_alcohol	2.954	7.639	0.387	207.077	6.323	90.0
C06037	Digalactosyl-diacylglycerol	0.585	6.954	0.084	125.483	3.4	80.0
C03511	L-Phenylalanyl-tRNA(Phe)	-1.322	-4.728	0.094	29.002	-1.452	50.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	0.585	6.954	0.084	125.483	3.4	80.0
C00385	Xanthine	-0.153	-4.313	0.056	20.988	-0.232	60.0
C00197	3-Phospho-D-glycerate	4.491	-7.88	0.095	258.055	-4.623	90.0
C00387	Guanosine	0.485	5.3	0.092	40.796	1.9	70.0
C03539	S-Ribosyl-L-homocysteine	1.0	5.585	0.179	50.001	3.162	80.0
C05841	Nicotinate_D-ribonucleoside	0.585	5.585	0.105	49.501	2.374	70.0
C00655	Xanthosine_5'-phosphate	-1.524	3.298	0.292	12.711	-1.894	60.0
C05759	3-Oxotetradecanoyl-[acp]	1.0	4.585	0.218	26.001	2.504	70.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-4.087	0.588	26.995	-3.99	90.0
C16217	3-Hydroxyoctadecanoyl-CoA	-1.0	-5.0	0.063	34.0	-1.087	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-1.0	-3.322	0.2	12.0	-1.263	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	1.0	4.585	0.218	26.001	2.504	70.0
C00365	dUMP	-3.567	-4.692	0.459	37.7	-4.111	90.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-1.0	-3.322	0.2	12.0	-1.263	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	1.0	4.585	0.218	26.001	2.504	70.0
C00008	ADP	-1.415	-6.646	0.027	102.815	-1.453	50.0
C00058	Formate	2.624	10.263	0.256	1234.935	8.303	90.0
C00003	NAD+	-2.663	-1.138	0.347	8.534	-1.568	60.0
C00002	ATP	4.465	-6.267	0.287	99.096	-4.829	90.0
C00369	Starch	2.402	4.807	0.5	33.278	4.056	80.0
C15972	Enzyme_N6-(lipoyl)lysine	1.585	-5.066	0.09	36.498	-1.709	60.0
C16618	6-Thioxanthine_5'-monophosphate	-2.585	4.585	0.25	30.001	-2.907	80.0
C05336	Selenomethionyl-tRNA(Met)	-2.322	-3.459	0.455	15.997	-2.863	80.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	0.585	6.687	0.087	104.536	3.193	80.0
C00259	L-Arabinose	3.17	4.392	0.722	29.996	4.436	90.0
C00645	N-Acetyl-D-mannosamine	-1.0	-4.629	0.081	26.744	-1.112	50.0
C00330	Deoxyguanosine	0.585	5.585	0.105	49.501	2.374	70.0
C01083	alpha,alpha-Trehalose	-1.585	6.508	0.033	94.013	-1.632	60.0
C00559	Deoxyadenosine	-0.322	-4.492	0.056	23.752	-0.4	60.0
C01931	L-Lysyl-tRNA	-2.807	-4.322	0.35	26.999	-3.24	80.0
C00492	Raffinose	-0.222	-5.7	0.022	53.151	-0.254	60.0
C00073	L-Methionine	2.322	-2.087	0.85	9.249	-2.974	80.0
C00886	L-Alanyl-tRNA	-3.585	-3.907	0.8	27.001	-4.433	90.0
C00092	D-Glucose_6-phosphate	-3.075	-6.582	0.088	104.23	-3.197	80.0
C00093	sn-Glycerol_3-phosphate	-1.525	-1.463	0.958	5.635	-2.432	70.0
C00498	ADP-glucose	-3.157	-5.219	0.239	46.165	-3.467	80.0
C00095	D-Fructose	-0.193	4.824	0.04	29.468	-0.25	60.0
C00097	L-Cysteine	1.474	-5.926	0.046	63.578	-1.538	60.0
C14099	2-Naphthaldehyde	-2.954	-7.639	0.039	207.077	-3.009	80.0
C00078	L-Tryptophan	1.0	3.459	0.289	12.997	1.91	70.0
C00079	L-Phenylalanine	0.348	2.883	0.121	8.65	0.062	60.0
C14090	1-Naphthaldehyde	-2.954	-7.639	0.039	207.077	-3.009	80.0
C00071	Aldehyde	-2.459	-6.907	0.046	125.507	-2.524	70.0
C02282	Glutaminyl-tRNA	-2.632	4.03	0.379	22.535	-3.096	80.0
C00074	Phosphoenolpyruvate	-4.699	-8.696	0.063	440.696	-4.787	90.0
C00075	UTP	5.006	3.126	0.624	40.863	4.673	90.0
C00620	alpha-D-Ribose_1-phosphate	3.954	7.788	0.508	236.513	6.908	90.0
C00718	Amylose	-2.585	-4.248	0.316	25.001	-2.981	80.0
C00123	L-Leucine	1.222	-1.222	1.0	4.665	-2.222	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-1.0	-3.459	0.182	12.997	-1.241	50.0
C00085	D-Fructose_6-phosphate	-0.363	-3.471	0.116	12.375	-0.521	50.0
C00084	Acetaldehyde	3.229	-6.66	0.093	110.501	-3.357	80.0
C00083	Malonyl-CoA	-0.562	-3.693	0.114	14.409	-0.718	50.0
C00231	D-Xylulose_5-phosphate	0.3	2.907	0.103	8.732	-0.15	60.0
C03373	Aminoimidazole_ribotide	-2.807	5.459	0.159	50.985	-3.02	80.0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	2.0	-2.322	0.8	9.0	-2.848	80.0
C00407	L-Isoleucine	1.485	-2.202	0.608	7.4	-2.171	70.0
C00089	Sucrose	-0.459	-6.683	0.013	104.125	-0.478	50.0
C04646	6-Thioinosine-5'-monophosphate	2.585	2.585	1.0	12.0	3.585	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-2.83	4.314	0.357	27.001	-3.271	80.0
C00672	2-Deoxy-D-ribose_1-phosphate	2.0	-4.17	0.222	22.001	-2.289	70.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.322	4.426	0.116	23.996	-1.481	50.0
C02988	L-Histidyl-tRNA(His)	-2.807	-3.0	0.875	14.998	-3.714	90.0
C00163	Propanoate	1.0	6.615	0.151	100.02	3.918	80.0
C02984	L-Aspartyl-tRNA(Asp)	-1.585	-4.459	0.136	24.993	-1.769	60.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-4.322	0.2	24.001	-2.263	70.0
C06113	L-Aspartyl-tRNA(Asn)	-1.0	-4.03	0.122	18.336	-1.167	50.0
C06112	L-Glutamyl-tRNA(Gln)	-1.322	4.353	0.122	22.936	-1.489	60.0
C02047	L-Leucyl-tRNA	-3.17	-4.755	0.333	36.003	-3.585	90.0
C06613	trans-3-Chloroallyl_aldehyde	-1.322	-5.7	0.048	54.484	-1.39	50.0
C00106	Uracil	-0.29	-4.878	0.042	30.628	-0.349	60.0
C00068	Thiamin_diphosphate	-0.222	-5.203	0.032	38.001	-0.267	60.0
C00342	Thioredoxin	3.406	-5.532	0.229	56.87	-3.704	90.0
C00343	Thioredoxin_disulfide	-3.17	5.946	0.146	70.649	-3.367	80.0
C03082	4-Phospho-L-aspartate	2.07	5.44	0.381	47.61	4.179	90.0
C00103	D-Glucose_1-phosphate	3.36	6.54	0.514	103.322	5.73	90.0
C04377	5,10-Methylenetetrahydromethanopterin	-2.0	-5.087	0.118	37.989	-2.161	70.0
C04376	5'-Phosphoribosyl-N-formylglycinamide	2.0	2.0	1.0	8.0	3.0	80.0
C00063	CTP	4.847	5.654	0.857	79.133	6.084	90.0
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-2.585	3.147	0.677	14.858	-3.331	80.0
C00064	L-Glutamine	-0.17	-2.58	0.188	7.104	-0.419	60.0
C00109	2-Oxobutanoate	0.963	8.294	0.116	315.814	5.196	90.0
C16633	5-Fluorouridine	2.0	2.585	0.774	10.0	2.952	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	1.322	3.781	0.35	16.247	2.506	80.0
C16634	5-Fluorouridine_monophosphate	-2.0	-2.585	0.667	10.0	-2.737	70.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-0.628	-3.27	0.16	11.192	-0.842	50.0
C01050	UDP-N-acetylmuramate	0.893	-4.692	0.072	27.705	-0.993	50.0
C00279	D-Erythrose_4-phosphate	-0.637	11.531	0.001	2960.773	-0.638	50.0
C01412	Butanal	4.807	6.216	0.773	102.33	6.306	90.0
C00361	dGDP	1.585	7.793	0.203	224.782	5.515	90.0
C00270	N-Acetylneuraminate	1.0	4.907	0.204	32.002	2.705	80.0
C00900	2-Acetolactate	3.459	3.585	0.965	22.997	4.472	90.0
C02686	Galactosylceramide	-0.585	-6.066	0.022	68.496	-0.617	50.0
C00669	gamma-L-Glutamyl-L-cysteine	-3.17	-5.044	0.273	41.991	-3.518	90.0
C00668	alpha-D-Glucose_6-phosphate	4.02	-6.343	0.2	97.4	-4.283	90.0
C03402	L-Asparaginyl-tRNA(Asn)	-2.17	-4.222	0.241	23.162	-2.482	70.0
C00253	Nicotinate	-1.17	-4.931	0.074	32.756	-1.273	50.0
C03406	N-(L-Arginino)succinate	-4.392	2.585	0.286	26.996	-2.948	80.0
C00234	10-Formyltetrahydrofolate	-4.492	-1.565	0.131	25.461	-1.743	60.0
C05512	Deoxyinosine	0.322	4.492	0.072	23.752	0.768	60.0
C00117	D-Ribose_5-phosphate	-2.051	5.661	0.082	54.742	-2.165	70.0
C00116	Glycerol	1.7	-3.719	0.247	16.417	-2.018	70.0
C00111	Glycerone_phosphate	2.357	7.797	0.302	227.521	6.104	90.0
C00112	CDP	-2.322	-1.503	0.567	7.835	-2.151	70.0
C00354	D-Fructose_1,6-bisphosphate	0.181	-9.036	0.002	526.07	-0.184	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-1.237	-6.983	0.019	128.858	-1.264	50.0
C00118	D-Glyceraldehyde_3-phosphate	6.589	-9.982	0.095	1107.572	-6.72	90.0
C00288	HCO3-	0.585	4.196	0.139	19.828	1.467	70.0
C00242	Guanine	-0.485	-4.353	0.068	21.835	-0.581	50.0
C05399	Melibiitol	0.585	6.954	0.084	125.483	3.4	80.0
C00857	Deamino-NAD+	3.17	-1.0	0.222	11.0	-1.289	50.0
C04419	Carboxybiotin-carboxyl-carrier_protein	0.585	4.196	0.139	19.828	1.467	70.0
C00269	CDP-diacylglycerol	0.485	-2.459	0.255	6.898	-0.812	50.0
C16219	3-Oxostearoyl-[acp]	1.0	4.585	0.218	26.001	2.504	70.0
C05756	3-Oxododecanoyl-[acp]	1.0	4.585	0.218	26.001	2.504	70.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-1.0	-3.322	0.2	12.0	-1.263	50.0
C00262	Hypoxanthine	0.174	-4.239	0.06	20.011	-0.258	60.0
C00508	L-Ribulose	-2.663	-4.392	0.302	27.329	-3.043	80.0
C16216	3-Oxostearoyl-CoA	1.0	5.0	0.2	34.0	2.766	80.0
C00169	Carbamoyl_phosphate	-1.354	-3.49	0.228	13.792	-1.65	60.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-1.322	4.0	0.156	18.5	-1.531	60.0
C00460	dUTP	4.358	5.113	0.852	55.114	5.554	90.0
C02909	(2-Naphthyl)methanol	2.954	7.639	0.387	207.077	6.323	90.0
C00159	D-Mannose	-0.585	9.289	0.002	627.058	-0.588	50.0
C00286	dGTP	-3.115	-7.812	0.039	233.386	-3.17	80.0
C00124	D-Galactose	3.195	-6.262	0.119	85.903	-3.358	80.0
C00129	Isopentenyl_diphosphate	-3.524	-1.72	0.286	14.798	-2.083	70.0
C00327	L-Citrulline	4.392	2.722	0.62	27.593	4.096	90.0
C03892	Phosphatidylglycerophosphate	-1.0	-3.585	0.167	14.0	-1.222	50.0
C00680	meso-2,6-Diaminoheptanedioate	0.568	1.485	0.382	4.282	0.712	60.0
C16348	cis-3-Chloroallyl_aldehyde	-1.322	-5.7	0.048	54.484	-1.39	50.0
C02553	L-Seryl-tRNA(Ser)	-3.7	-6.615	0.133	111.016	-3.88	90.0
C05378	beta-D-Fructose_1,6-bisphosphate	-2.515	10.843	0.003	1842.543	-2.519	70.0
C03785	D-Tagatose_1,6-bisphosphate	-3.0	-7.706	0.038	216.803	-3.054	80.0
C16220	3-Hydroxyoctadecanoyl-[acp]	-1.0	-3.322	0.2	12.0	-1.263	50.0
C05746	3-Oxohexanoyl-[acp]	1.0	4.585	0.218	26.001	2.504	70.0
C05744	Acetoacetyl-[acp]	0.678	3.82	0.177	15.723	1.481	70.0
C03150	Nicotinamide-beta-riboside	0.585	5.073	0.115	35.161	2.02	70.0
C00458	dCTP	-3.97	-6.758	0.145	123.904	-4.165	90.0
C00459	dTTP	1.322	-4.392	0.119	23.496	-1.484	60.0
C06055	O-Phospho-4-hydroxy-L-threonine	-0.737	2.17	0.37	6.167	-1.192	50.0
C00199	D-Ribulose_5-phosphate	0.617	-5.339	0.038	42.01	-0.671	50.0
C00052	UDP-alpha-D-galactose	-2.322	-4.708	0.191	31.137	-2.575	70.0
C00217	D-Glutamate	1.0	-0.737	0.833	3.667	-1.611	60.0
C00469	Ethanol	2.954	7.639	0.387	207.077	6.323	90.0
C00212	Adenosine	0.322	4.728	0.068	27.752	0.918	70.0
C00036	Oxaloacetate	3.341	3.326	0.996	20.161	4.327	90.0
C00037	Glycine	0.817	-2.095	0.412	6.034	-1.315	50.0
C00035	GDP	-2.415	-6.066	0.08	72.329	-2.526	70.0
C00033	Acetate	1.441	7.121	0.202	141.914	4.844	90.0
C00031	D-Glucose	-0.222	4.102	0.068	18.339	-0.317	60.0
C00137	myo-Inositol	-0.585	-4.788	0.054	29.127	-0.661	50.0
C00136	Butanoyl-CoA	-4.807	-7.5	0.155	209.012	-5.014	90.0
C00135	L-Histidine	1.0	2.17	0.461	6.5	1.583	70.0
C00131	dATP	-1.926	6.046	0.058	69.874	-2.007	70.0
C00130	IMP	1.437	-4.15	0.153	20.461	-1.642	60.0
C01097	D-Tagatose_6-phosphate	3.0	8.275	0.363	317.758	6.848	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-1.0	-3.322	0.2	12.0	-1.263	50.0
C00299	Uridine	-0.628	4.315	0.078	21.45	-0.736	50.0
C06010	(S)-2-Acetolactate	2.585	1.678	0.649	9.2	2.578	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.0	0.585	0.75	3.5	-1.392	50.0
C01172	beta-D-Glucose_6-phosphate	-2.612	-4.737	0.229	32.781	-2.91	80.0
C00446	alpha-D-Galactose_1-phosphate	-2.322	1.379	0.52	7.601	-1.983	70.0
C01762	Xanthosine	0.585	5.387	0.109	43.346	2.235	70.0
C00631	2-Phospho-D-glycerate	0.202	-5.885	0.019	60.247	-0.23	60.0
C00441	L-Aspartate_4-semialdehyde	3.222	3.611	0.892	21.549	4.265	90.0
C00526	Deoxyuridine	0.415	5.91	0.07	61.463	2.11	70.0
C00527	Glutaryl-CoA	-0.737	-2.585	0.278	7.667	-1.091	50.0
C00448	trans,trans-Farnesyl_diphosphate	0.415	2.807	0.148	8.332	0.301	60.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.0	1.087	0.941	4.124	-1.957	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.0	-3.322	0.2	12.0	-1.263	50.0
C00041	L-Alanine	1.907	4.17	0.457	21.751	3.314	80.0
C00040	Acyl-CoA	0.363	3.478	0.104	12.429	0.375	60.0
C00047	L-Lysine	1.807	-3.392	0.333	13.997	-2.222	70.0
C00046	RNA	-4.104	-4.694	0.664	43.08	-4.839	90.0
C00044	GTP	-4.131	-5.31	0.442	57.191	-4.659	90.0
C00049	L-Aspartate	1.871	1.69	0.903	6.884	2.637	80.0
C00206	dADP	0.848	-6.353	0.022	83.542	-0.879	50.0
