compound_code	compound_name	clostridium_mock_score	mollicute_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	0.243	-2.134	0.27	5.573	-0.587	50.0
C00024	Acetyl-CoA	-3.848	4.951	0.466	45.331	-4.399	90.0
C00026	2-Oxoglutarate	-4.626	1.415	0.108	27.359	-1.563	60.0
C06481	L-Seryl-tRNA(Sec)	-3.7	-3.907	0.866	27.997	-4.6	90.0
C00020	AMP	0.415	3.285	0.126	11.081	0.485	60.0
C00352	D-Glucosamine_6-phosphate	0.585	1.379	0.424	4.101	0.799	60.0
C00022	Pyruvate	-3.526	-3.222	0.81	20.85	-4.078	90.0
C00143	5,10-Methylenetetrahydrofolate	1.461	0.599	0.41	4.268	0.807	60.0
C00029	UDP-glucose	1.766	2.891	0.611	10.819	2.724	80.0
C00147	Adenine	-0.101	-2.17	0.238	5.573	-0.409	60.0
C14089	1-Hydroxymethylnaphthalene	2.954	5.17	0.571	43.751	4.644	90.0
C05400	Epimelibiose	0.585	3.585	0.163	13.5	1.139	60.0
C05401	3-beta-D-Galactosyl-sn-glycerol	0.585	3.585	0.163	13.5	1.139	60.0
C05402	Melibiose	0.222	-4.087	0.069	18.161	-0.318	60.0
C02430	L-Methionyl-tRNA	-2.322	-3.17	0.556	14.001	-2.959	80.0
C00620	alpha-D-Ribose_1-phosphate	3.954	3.858	0.976	29.998	4.871	90.0
C00100	Propanoyl-CoA	-1.7	-1.585	0.923	6.249	-2.529	70.0
C06126	Digalactosylceramide	0.585	3.585	0.163	13.5	1.139	60.0
C00231	D-Xylulose_5-phosphate	0.3	-2.656	0.195	7.534	-0.557	50.0
C01185	Nicotinate_D-ribonucleotide	1.0	-1.222	0.857	4.333	-1.893	60.0
C00235	Dimethylallyl_diphosphate	-3.609	2.585	0.492	18.202	-3.162	80.0
C01613	Stachyose	0.415	4.807	0.086	29.326	1.34	70.0
C01931	L-Lysyl-tRNA	-2.807	-3.907	0.467	21.999	-3.359	80.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	1.585	1.0	6.0	2.585	80.0
C00011	CO2	6.808	6.409	0.941	197.027	7.535	90.0
C00014	Ammonia	1.053	-3.619	0.169	14.361	-1.278	50.0
C00015	UDP	-1.874	-3.17	0.407	12.666	-2.367	70.0
C00065	L-Serine	-0.787	-1.578	0.578	4.711	-1.445	60.0
C00153	Nicotinamide	-0.585	-4.807	0.054	29.493	-0.66	50.0
C00152	L-Asparagine	0.778	-0.415	0.778	3.048	-1.245	50.0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-1.0	3.459	0.182	12.997	-1.241	50.0
C00794	D-Sorbitol	-0.585	-3.585	0.125	13.5	-0.755	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	3.907	1.585	0.406	18.001	2.868	80.0
C02876	Propanoyl_phosphate	-1.0	-3.7	0.154	14.996	-1.207	50.0
C05345	beta-D-Fructose_6-phosphate	-2.4	1.412	0.504	7.939	-2.001	70.0
C00226	Primary_alcohol	2.954	5.17	0.571	43.751	4.644	90.0
C06037	Digalactosyl-diacylglycerol	0.585	3.585	0.163	13.5	1.139	60.0
C03511	L-Phenylalanyl-tRNA(Phe)	-1.322	-3.755	0.185	16.001	-1.567	60.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	0.585	3.585	0.163	13.5	1.139	60.0
C00385	Xanthine	-0.153	2.459	0.202	6.61	-0.419	60.0
C00387	Guanosine	0.485	4.807	0.101	29.393	1.568	70.0
C05841	Nicotinate_D-ribonucleoside	0.585	4.807	0.122	29.493	1.844	70.0
C00655	Xanthosine_5'-phosphate	-1.524	3.115	0.332	11.54	-1.938	70.0
C15996	7-Cyano-7-carbaguanine	3.907	-0.737	0.111	16.668	-0.889	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-3.322	-3.322	1.0	20.001	-4.322	90.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-0.585	-3.585	0.125	13.5	-0.755	50.0
C00364	dTMP	-2.874	1.807	0.477	10.83	-2.37	70.0
C00365	dUMP	-3.567	0.807	0.148	13.601	-1.006	50.0
C00008	ADP	-1.415	3.97	0.17	18.337	-1.642	60.0
C00058	Formate	2.624	-1.17	0.365	8.415	-1.619	60.0
C00003	NAD+	-2.663	0.737	0.263	8.0	-1.074	50.0
C00002	ATP	4.465	-4.36	0.93	42.62	-5.308	90.0
C00369	Starch	2.402	0.874	0.364	7.118	1.373	70.0
C01127	4-Hydroxy-2-oxoglutarate	3.907	5.209	0.75	51.99	5.285	90.0
C00253	Nicotinate	-1.17	-4.807	0.08	30.243	-1.282	50.0
C05336	Selenomethionyl-tRNA(Met)	-2.322	-3.585	0.417	17.001	-2.825	80.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	0.585	-5.044	0.045	34.491	-0.649	50.0
C05335	L-Selenomethionine	2.322	3.585	0.648	17.001	3.461	80.0
C00330	Deoxyguanosine	0.585	4.807	0.122	29.493	1.844	70.0
C01083	alpha,alpha-Trehalose	-1.585	-3.0	0.375	11.0	-2.044	70.0
C00558	D-Tagaturonate	-7.524	-2.807	0.038	191.054	-2.861	80.0
C00492	Raffinose	-0.222	4.087	0.069	18.161	-0.318	60.0
C00073	L-Methionine	2.322	-0.322	0.25	6.25	-0.644	50.0
C00886	L-Alanyl-tRNA	-3.585	-3.459	0.916	22.997	-4.397	90.0
C00092	D-Glucose_6-phosphate	-3.075	-3.655	0.669	21.024	-3.814	90.0
C00093	sn-Glycerol_3-phosphate	-1.525	3.256	0.301	12.431	-1.905	70.0
C00095	D-Fructose	-0.193	-1.0	0.572	3.143	-0.845	50.0
C00097	L-Cysteine	1.474	3.907	0.377	17.779	2.746	80.0
C14099	2-Naphthaldehyde	-2.954	-5.17	0.215	43.751	-3.235	80.0
C00078	L-Tryptophan	1.0	2.585	0.387	8.0	1.63	70.0
C00079	L-Phenylalanine	0.348	2.807	0.124	8.271	0.036	60.0
C14090	1-Naphthaldehyde	-2.954	-5.17	0.215	43.751	-3.235	80.0
C00071	Aldehyde	-2.459	-5.17	0.153	41.5	-2.664	70.0
C00074	Phosphoenolpyruvate	-4.699	-3.874	0.564	40.636	-4.52	90.0
C00075	UTP	5.006	4.061	0.811	48.824	5.308	90.0
C00333	D-Galacturonate	7.524	5.044	0.67	217.047	7.185	90.0
C00718	Amylose	-2.585	-3.209	0.649	15.247	-3.306	80.0
C00123	L-Leucine	1.222	3.585	0.341	14.333	2.289	80.0
C03512	L-Tryptophanyl-tRNA(Trp)	-1.0	-2.585	0.333	8.0	-1.415	60.0
C00085	D-Fructose_6-phosphate	-0.363	3.773	0.094	14.957	-0.493	50.0
C00242	Guanine	-0.485	-2.322	0.28	6.4	-0.841	50.0
C03785	D-Tagatose_1,6-bisphosphate	-3.0	-4.807	0.286	35.993	-3.363	80.0
C00407	L-Isoleucine	1.485	3.322	0.447	12.8	2.516	80.0
C00089	Sucrose	-0.459	5.044	0.042	34.366	-0.518	50.0
C05382	Sedoheptulose_7-phosphate	-0.547	1.078	0.692	3.572	-1.306	50.0
C00672	2-Deoxy-D-ribose_1-phosphate	2.0	-2.0	1.0	8.0	-3.0	80.0
C00673	2-Deoxy-D-ribose_5-phosphate	-1.322	4.248	0.132	21.501	-1.5	60.0
C02988	L-Histidyl-tRNA(His)	-2.807	-3.322	0.7	16.999	-3.572	80.0
C00163	Propanoate	1.0	3.7	0.27	14.996	2.019	70.0
C02984	L-Aspartyl-tRNA(Asp)	-1.585	-3.807	0.214	16.997	-1.865	60.0
C02987	L-Glutamyl-tRNA(Glu)	-2.0	-3.322	0.4	14.0	-2.485	70.0
