compound_code	compound_name	lachnospiraceae_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	1.08	0.243	0.225	3.297	-0.431	60.0
C00024	Acetyl-CoA	-3.764	-3.848	0.0	0.0	0.0	50.0
C00026	2-Oxoglutarate	-0.652	-4.626	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-1.585	-3.7	0.0	0.0	0.0	50.0
C00020	AMP	-0.678	0.415	0.833	2.933	-1.289	80.0
C00352	D-Glucosamine_6-phosphate	1.322	0.585	0.443	4.0	0.824	70.0
C00022	Pyruvate	-2.435	-3.526	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	0.131	1.461	0.09	3.848	-1.535	80.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.907	-2.0	0.0	0.0	0.0	50.0
C02430	L-Methionyl-tRNA	1.0	-2.322	0.4	7.0	-1.485	80.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-0.893	-1.837	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	4.087	3.954	0.967	32.492	4.974	90.0
C03033	beta-D-Glucuronoside	2.0	1.0	0.5	6.0	1.585	70.0
C00100	Propanoyl-CoA	-1.322	-1.7	0.0	0.0	0.0	50.0
C00438	N-Carbamoyl-L-aspartate	-2.0	0.585	0.375	5.5	-1.044	70.0
C00101	Tetrahydrofolate	-1.0	3.933	0.131	17.274	-1.178	70.0
C00231	D-Xylulose_5-phosphate	-3.346	0.3	0.121	11.399	-0.465	60.0
C00234	10-Formyltetrahydrofolate	0.598	-4.492	0.067	24.016	-0.692	60.0
C06006	(S)-2-Aceto-2-hydroxybutanoate	-2.322	3.459	0.455	15.997	-2.863	90.0
C15812	[Enzyme]-S-sulfanylcysteine	1.585	1.585	1.0	6.0	2.585	90.0
C00011	CO2	4.966	6.808	0.729	143.305	6.708	90.0
C00014	Ammonia	-0.459	1.053	0.663	3.449	-1.192	80.0
C00015	UDP	-3.087	-1.874	0.0	0.0	0.0	50.0
C00065	L-Serine	-0.355	-0.787	0.0	0.0	0.0	50.0
C00155	L-Homocysteine	-2.222	-0.322	0.0	0.0	0.0	50.0
C05791	D-Urobilinogen	-2.0	-1.0	0.0	0.0	0.0	50.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-1.0	1.0	1.0	4.0	-2.0	90.0
C00091	Succinyl-CoA	-1.585	5.94	0.049	64.393	-1.654	80.0
C05345	beta-D-Fructose_6-phosphate	3.763	-2.4	0.389	18.854	-2.874	90.0
C16633	5-Fluorouridine	1.585	2.0	0.792	7.0	2.472	90.0
C04900	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide	2.0	1.0	0.5	6.0	1.585	70.0
C02051	Lipoylprotein	-1.585	0.585	0.5	4.5	-1.17	70.0
C00655	Xanthosine_5'-phosphate	0.369	-1.524	0.449	4.167	-0.904	70.0
C05759	3-Oxotetradecanoyl-[acp]	2.0	1.0	0.5	6.0	1.585	70.0
C01172	beta-D-Glucose_6-phosphate	-1.585	-2.612	0.0	0.0	0.0	50.0
