compound_code	compound_name	lachnospiraceae_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	1.08	3.367	0.321	12.431	1.995	60.0
C00024	Acetyl-CoA	-3.764	10.672	0.008	1645.104	-3.776	90.0
C05528	3-Sulfopyruvate	-1.0	-10.382	0.0	0.0	0.0	50.0
C06481	L-Seryl-tRNA(Sec)	-1.585	-9.987	0.0	0.0	0.0	50.0
C00020	AMP	-0.678	-7.908	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	1.322	-8.342	0.008	326.983	-1.333	80.0
C06482	L-Selenocysteinyl-tRNA(Sec)	-1.0	-1.0	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	0.131	-8.635	0.003	398.647	-0.135	70.0
C00140	N-Acetyl-D-glucosamine	-3.0	6.82	0.071	120.986	-3.099	90.0
C00141	3-Methyl-2-oxobutanoic_acid	-0.907	-6.226	0.0	0.0	0.0	50.0
C00144	GMP	-0.893	-8.565	0.0	0.0	0.0	50.0
C11376	SN38_glucuronide	2.0	3.7	0.541	16.996	3.2	70.0
C01103	Orotidine_5'-phosphate	-3.369	5.866	0.177	68.655	-3.604	90.0
C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate	0.341	0.341	1.0	2.533	1.341	60.0
C00944	3-Dehydroquinate	-1.0	-6.459	0.0	0.0	0.0	50.0
C03838	5'-Phosphoribosylglycinamide	-1.0	-6.366	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	2.0	9.263	0.216	618.385	7.061	80.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	2.0	9.263	0.216	618.385	7.061	80.0
C02430	L-Methionyl-tRNA	1.0	-8.071	0.007	270.914	-1.011	80.0
C00623	sn-Glycerol_1-phosphate	-1.0	-2.585	0.0	0.0	0.0	50.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-0.893	-5.931	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-1.322	-9.981	0.0	0.0	0.0	50.0
C03033	beta-D-Glucuronoside	2.0	3.7	0.541	16.996	3.2	70.0
C00100	Propanoyl-CoA	-1.322	-9.295	0.0	0.0	0.0	50.0
C00624	N-Acetyl-L-glutamate	-1.0	8.539	0.005	373.959	-1.008	80.0
C05754	trans-Dec-2-enoyl-[acp]	1.0	7.317	0.137	161.454	4.464	70.0
C00438	N-Carbamoyl-L-aspartate	-2.0	-5.732	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-1.0	2.23	0.426	6.691	-1.512	80.0
C01228	Guanosine_3',5'-bis(diphosphate)	-1.0	-3.0	0.0	0.0	0.0	50.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	2.0	6.229	0.321	79.009	4.665	80.0
C00725	Lipoate	1.0	1.0	1.0	4.0	2.0	70.0
C03688	Apo-[acyl-carrier-protein]	1.0	2.585	0.387	8.0	1.63	60.0
