Compound_code	Metabolite_name	Importance_score	p_value
C00149	(S)-Malate	0.0	n.s.
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	2.322	n.s.
C02430	L-Methionyl-tRNA	-1.0	n.s.
C00828	Menaquinone	0.0	<0.05
C00438	N-Carbamoyl-L-aspartate	-0.585	n.s.
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	0.0	n.s.
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-2.0	n.s.
C01185	Nicotinate_D-ribonucleotide	1.585	n.s.
C15812	[Enzyme]-S-sulfanylcysteine	-1.0	n.s.
C15811	[Enzyme]-cysteine	1.0	n.s.
C03160	2-Succinylbenzoyl-CoA	1.0	n.s.
C16688	Sucrose_6-phosphate	-2.585	<0.05
C00798	Formyl-CoA	0.0	n.s.
C01233	sn-Glycero-3-phosphoethanolamine	0.0	<0.05
C00226	Primary_alcohol	5.109	<0.05
C01236	D-Glucono-1,5-lactone_6-phosphate	-2.0	n.s.
C00221	beta-D-Glucose	-4.392	<0.05
C00385	Xanthine	0.737	n.s.
C00387	Guanosine	-2.322	n.s.
C00229	Acyl-carrier_protein	1.585	n.s.
C01801	Deoxyribose	2.585	n.s.
C00364	dTMP	2.322	n.s.
C00365	dUMP	-1.322	<0.05
C00362	dGMP	1.0	n.s.
C00360	dAMP	-4.087	<0.05
C00008	ADP	-3.517	<0.05
C05831	3-Methoxyanthranilate	-2.0	n.s.
C05830	8-Methoxykynurenate	-2.0	n.s.
C00005	NADPH	1.807	<0.05
C00002	ATP	-4.94	<0.05
C05703	Methaneselenol	-3.0	n.s.
C00376	Retinal	-2.322	n.s.
C16619	6-Thioguanosine_monophosphate	-1.585	n.s.
C16618	6-Thioxanthine_5'-monophosphate	1.0	n.s.
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-1.0	n.s.
C16614	6-Methylmercaptopurine	1.0	n.s.
C00313	Oxalyl-CoA	0.0	n.s.
C00641	1,2-Diacyl-sn-glycerol	0.0	n.s.
C01931	L-Lysyl-tRNA	-2.322	n.s.
C01528	Hydrogen_selenide	-2.503	n.s.
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-1.585	n.s.
C00092	D-Glucose_6-phosphate	-4.524	<0.05
C00093	sn-Glycerol_3-phosphate	2.322	n.s.
C00095	D-Fructose	1.322	n.s.
C00097	L-Cysteine	-2.807	<0.05
C14099	2-Naphthaldehyde	-5.109	<0.05
C06311	Galactitol_1-phosphate	-2.0	n.s.
C15547	1,4-Dihydroxy-2-naphthoyl-CoA	-1.585	n.s.
C14090	1-Naphthaldehyde	-5.109	<0.05
C00189	Ethanolamine	0.0	<0.05
