KO_code	Compound_codes
K17686	C00002
K02314	
K10112	
K02316	
K02313	
K16787	
K06286	
K08483	
K00265	C00064,C00026,C00064,C00026,C00025,C00025,C00026,C00064,C00026,C00025,C00025,C00064,C00025,C00025,C00025,C00025,C00026
K05846	
K04083	
K02437	C00037,C00037,C00037
K01992	
K01990	
K01101	C03360,C03360
K05592	
K07010	
K02825	C00105,C00106
K00867	C00831,C00864,C00864,C04079
K03977	
K01193	C00089,C00089,C00492,C01613,C16688
K02926	
K00215	C20258,C20258,C20258,C03972,C20258,C20258,C20258,C20258,C03972,C20258
K02038	
K02039	
K02030	
K02033	
K02034	
K02035	
K02036	
K02037	
K00600	C00037,C00143,C00037,C00037,C00143,C00143,C00037,C00065,C00101,C00037,C00037,C00143,C00037,C00065,C00065
K01428	C00086,C00086,C00086,C00086,C00086
K01581	C00077,C00077,C00077,C00077
K00609	C00169,C00049,C00438
K03217	
K01421	
K01589	C03373,C03373,C03373
K01424	C00152,C00152,C00152,C00152
K01425	C00064,C00064,C00064,C00064,C00014,C00025,C00819,C00217
K07566	
K07568	
K11050	
K11051	
K03596	
K03590	
K02519	
K03455	
K03451	
K02109	
K01929	C05892,C00993,C05892,C04877,C04877,C00993
K01928	C00680,C00692
K01923	C04751,C04751,C04751
K01921	C00133,C00133,C00133
K01926	
K01738	C00979,C00283,C00979,C00283,C00979,C00283,C00283,C00979,C00283,C00979,C00979,C00979
K01924	C01050,C01050,C01212
K07024	
K07025	
K07027	
K07023	
K07029	
K05340	
K07149	
K03529	
K02428	C00044,C00075,C00105,C00081,C00286,C00460,C00460,C00700,C01345
K06948	
K06949	
K03778	C00256
K02358	
K01810	C00668,C00668,C00668,C00668,C00668,C00668,C00668,C00668,C00668,C05345,C00668,C00668,C00668,C01172,C05345,C01172,C01172
K10254	
K02355	
K02357	
K04047	
K00135	C00232,C00232,C00232,C00042,C00232,C00232,C00232,C00232,C00042,C00232
K00134	C00118,C00236,C00118,C00118,C00118,C00118,C00118
K04043	
K04042	C04501,C00043,C04501,C06156,C04501
K01955	C00064,C00064,C00064
K01952	C04376,C04376,C04376
K01953	C00049,C00152,C00152
K01951	C00655,C00655,C00655,C00655,C16618
K00783	
K07738	
K00425	
K00033	C00345,C00006,C00345,C00345,C00345,C00345
K03294	
K03070	
K03076	
K03075	
K01809	C00275,C00275,C00275,C00275
K01256	C01419,C01419,C05729
K06131	C00344,C00269,C00344,C00269,C00344,C00344
K00554	
K09748	
K03183	C05813,C05813,C05818,C05818,C05818,C13309,C13309,C13309,C13309,C17560,C17560,C17560
K12574	
K12573	
K06023	
K00951	C00044
K03698	
K01552	
K11717	C05688,C05688,C05689
K06187	
K01491	C00143,C00445,C00445,C00143,C00445,C00445,C00234,C00234,C00445,C00234
K02600	
K03551	
K01679	C00149,C00149,C00122,C00149,C00149,C00149
K03555	
K01778	C00666,C00680,C00666,C00666,C00666
K05985	
K01776	C00025,C00025
K01775	C00041,C00041
K07106	C00357
K07456	
K02892	
K02890	
K01785	C00267,C00267,C00267
K01784	C00029,C00029,C00052,C00029
K01783	C00199,C00199,C00231,C00231,C00199,C00199,C00199,C00199
K14155	C00097,C00022,C02291,C02291,C02291,C02291,C00491,C05699
K02770	C00095,C00095
K02074	
K02077	
K02071	
K02779	C00031,C00031
K01788	C04257
K02520	
K03581	
K02529	
K01911	C02730,C02730,C02730
K01914	C00049,C00049,C00152,C00152,C00049
K01915	C00025,C00014,C00025,C00014,C00014,C00025,C00014,C00025
K15152	
K06180	
K00074	C01144,C01144,C00332,C01144,C14145,C14145,C14145,C14145
K00075	C04631,C04631,C04631,C04631,C04631,C04631
K03789	
K00426	
K07173	C03539,C03539
K01358	
K03601	
K07052	
K06173	
K02564	C00352
K06178	
K09903	C00105,C00015
K09710	
K01823	C00129,C00129,C00129
K03734	
K04078	
K04077	
K04074	
K04072	C00084,C00084,C00084,C00084,C00084,C00084,C00226,C00469,C00469,C00469,C00469,C01412,C05576,C05577,C06611,C06613,C06611,C06612,C16348,C06612,C14089,C14089,C14089,C02909,C02909,C02909
K03739	
K00100	C01096,C01412,C01412,C06548,C06548,C13638,C13638,C14762
K00851	C00257,C00257,C00257,C00257,C00257
K00852	C00121,C01801
K00859	C00882,C00882
K03048	C00002,C00002,C00044,C00046,C00063,C00063,C00075,C00075
K03106	
K03043	C00002,C00002,C00044,C00046,C00063,C00063,C00075,C00075
K03040	C00002,C00002,C00044,C00046,C00063,C00063,C00075,C00075
K03046	C00002,C00002,C00044,C00046,C00063,C00063,C00075,C00075
K02931	
K02933	
K01187	C00208,C00089,C00089,C00089
K02939	
K07009	
K01215	
K09787	
K03429	C00641,C04046
K01372	
K10563	
K03424	
K00925	C00033,C00033,C00033,C00033,C00227,C00033,C00033,C00163
K00927	C00197,C00197,C00236,C00197,C00197,C00197,C00197
K00928	C00049,C00049,C00049,C00049,C00049,C00049,C00049,C00049
K00691	C00208,C00208
K03293	
K07652	
K16013	
K16012	
K02982	
K02988	
K07386	
K02111	
K06925	
K02440	
K02114	
K03466	
K11144	
K11145	
K01641	C00024,C00332,C00332,C00024,C00024,C00332,C00332,C00024,C00356,C00356
K07030	
K08659	
K02027	
K02026	
K06950	
K06956	
K07133	
K02029	
K02028	
K03885	
K16785	
K03763	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K01866	C00082
K15581	
K01868	C00188
K01869	C00123
K07090	
K00384	C00343,C00343,C05684,C18902
K00383	C00127,C00005
K07095	
K01890	C00079
K00790	C00043,C00043,C04631
K09015	
K09014	
K03086	
K01265	
K03169	
K03168	
K10039	
K16169	
K02334	
K02775	C01697,C01697
K02760	
K03647	
K00566	
K00567	
K00244	C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042
K00965	C00029,C00446,C00029,C00446,C00446,C00029,C00446
K00806	C00448,C00448
K00805	C00448,C00448
K02948	
K02072	
K06199	
K02838	
K02945	
K02946	
K01689	C00631,C00074,C00631,C00631,C00631,C00631,C00631
K05366	
K01442	C05122,C05122,C05466,C05465,C01921,C01921
K01443	C00357,C00352
K01448	
K02793	C00159,C00159,C00159
K02795	C00159,C00159,C00159
K02794	C00159,C00159,C00159
K02796	C00159,C00159,C00159
K02493	
K06994	
K08161	
K02884	
K02886	
K02881	
K08998	
K07462	
K04567	C00047
K07668	
K08996	
K02240	
K07482	
K01610	C00036,C00036,C00036,C00074,C00036,C00036
K01613	C02737,C00350
K02082	
K00599	C00135,C00632,C00780,C02442,C02470,C11432,C11432,C14519,C14519,C18261,C18261
K09685	
K03546	
K03545	
K03544	
K02835	
K02837	
K00692	C00089,C06215,C00031
K03427	
K03549	
K03758	
K02337	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K02335	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K06147	
K00526	C00008,C00008,C00342,C00015,C00035,C00035,C00112,C00342,C00112
K00527	C00002,C00002,C00044,C00044,C00342,C00063,C00063,C00342,C00342
K01839	C00620,C00620,C00672
K01838	C00663
K01835	C00103,C00103,C00103,C00103,C00103,C00103,C00103,C00620,C00620,C00103,C00103
K01834	C00631,C00631,C00631,C00197,C00631,C00631,C00631,C00631
K16899	
K16898	
K03723	
K04068	
K04066	
K03685	
K03687	
K00841	C05539,C04390,C04390,C05539
K00847	C00095,C00095,C02336,C02336
K02108	
K00849	C00124,C00124,C00446,C00124
K03346	
K01534	
K04485	
K01537	
K03111	
K13953	C00226,C00469,C00469,C00469,C00469,C00473,C00473,C05576,C05577,C06611,C06613,C06611,C06612,C16348,C06612,C14089,C14089,C14089,C02909,C02909,C02909,C06899,C07645,C16586,C16595
K02909	
K02906	
K01881	C00148
K01883	C00097
K01887	C00062
K01889	C00079
K15634	C00631,C00631,C00631,C00197,C00631,C00631,C00631,C00631
K01220	C05396,C05396
K01223	C06188
K01154	
K02759	
K01153	
K11749	
K01409	
K00939	C00020,C00008,C00020,C00360,C00206
K00937	
K00936	
K00627	C15973,C00024,C15973,C00024,C00024,C15973
K00626	C00024,C00024,C00024,C00332,C00332,C00332,C00024,C00024,C00024,C00024,C00332,C00024,C00332,C00024,C00024,C00332,C00024,C00024,C00136,C00024,C00136,C00024,C00024,C00136,C00136
K00625	C00024,C00024,C00024,C00227,C00024,C00024,C00024,C00024,C00100,C02876
K13678	
K07238	
K02621	
K02992	
K02990	
K01126	C00670,C01233
K02994	
K01081	C00020,C00020,C00055,C00105,C00130,C00130,C00144,C00144,C00364,C00239,C00362,C00330,C00360,C00360,C00455,C00655,C00655,C00655,C01185
K11071	
K11072	
K02470	
K05311	
K03570	
K03571	
K01710	C00842,C00842,C00842,C00842,C00842
K13581	
K01714	C00441,C00441,C00441,C00441,C00441
K01652	C00022,C00022,C00068,C00068,C00022,C00068,C00022,C00068,C00022,C00022,C00022,C00022,C06010,C06010,C00022,C00022,C05125,C00109,C00022,C00022,C00109,C00109,C00109,C00109
K02874	
K02876	
K02871	
K03978	
K03979	
K02878	
K02879	
K00651	C00263,C00263,C01118,C00263,C00263
K03501	
K07533	
K03892	
K03710	
K00088	C00130,C00130,C00130,C04646
K01870	C00407
K01873	C00183
K01872	C00041
K01874	C00073,C05335
K01876	C00049
K01879	C00037
K09747	
K03484	
K06024	
K01752	C00065,C00022,C00065,C00065,C00065,C00065
K00158	C00022,C00022
K01972	
K17677	
K13292	
K07056	
K03470	
K17074	
K00016	C00186,C00186,C00022,C00186,C00186,C05984,C00957
K03625	
K06942	
K03621	C00040,C00093,C00093,C00040,C00093
K12555	
K03091	
K13993	
K03629	
K10040	
K10041	
K00648	C00024,C00229,C03939,C00229,C00024,C01209,C03939,C03939,C01209,C01209,C03939
K15772	
K15771	
K15770	
K04094	
K03650	
K03657	
K03655	
K00574	
K00973	C00103,C00103,C00103,C00103
K01119	C02353,C02355,C02354,C06194
K00974	
K01591	C01103,C01103
K07273	
K00873	C00074,C00002,C00074,C00002,C00074,C00008,C00022,C00022,C00074,C00074,C00044,C00035,C00131,C00131,C00361,C00361,C00074,C00074,C00022
K01281	
K04487	C15811,C00097
K06201	
K06207	
K02952	
K02950	
K00882	C01094
K01575	C00900,C06010
K01577	C00313,C00798
K01756	C03794,C03794,C00020,C04823,C04823,C04823
K16323	
K06878	
K02004	
K06973	
K02003	
K07082	
K00759	C00020,C00147,C00242,C00242,C04677
K01595	C00074,C00074,C00011,C00074,C00011,C00074,C00036,C00074,C00011,C00036,C00036,C00074
K00615	C00085,C00118,C00085,C00085,C00118,C00085,C05382,C00118,C05382,C00118,C00231,C00117,C05382,C00118,C05382,C00118,C05382,C00118,C05382,C05382,C05345,C00118,C00118,C05345,C05345,C00118,C00118,C05345,C00118,C05345,C05345,C12214,C12214
K07088	
K08602	
K09815	
K07496	
K07491	
K03442	
K01938	C00101,C00101,C00058,C00101,C00234,C00058,C00101,C00101,C00058
K01939	C00130,C00049,C03794
K01934	C03479,C03479
K01937	C00075,C00075,C00075,C00075
K02601	
K00057	C00093,C00093
K12942	
K02434	C02282,C02282,C03402
K02435	C02282,C02282,C03402
K03438	
K03536	
K02433	C02282,C02282,C03402
K00680	C05338,C07118,C07118,C07118,C06715,C06715,C11948,C00093,C00040,C16273,C16273
K03431	C00352,C06156
K02824	
K07015	
K03436	
K03744	
K03741	
K03740	
K03215	
K03191	
K03218	
K09773	
K06158	
K05837	
K02342	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K00133	C03082,C03082,C03082,C03082,C00441,C00441,C03082,C03082
K02341	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K02346	
K03697	
K03696	
K03693	
K02996	
K01803	C00118,C00118,C00111,C00118,C00111,C00118,C00118,C00118,C00118
K03699	
K01807	C00117,C00117,C00117,C00117,C00117,C00117,C00117
K03325	
K03320	
K03316	
K07335	
K03492	
K01239	C00212,C00212,C03150,C00387,C00294,C01762
K12308	C05796
K15580	
K16786	
K15582	
K00226	C00337,C00295
K01893	C00152
K01892	C00135
K01234	
K02687	
K01142	
K01790	C11907,C11907,C11907,C11907
K02761	
K00036	C01172,C00006,C01172,C01172,C01172,C01172
K00948	C00117,C00117,C00119,C00117,C00117,C00117,C00117
K00820	C00064,C00085,C00085
K06881	
K06885	
K06889	
K08884	
K15986	
K01520	C00460,C00460
K02967	
K02965	
K09698	C00025,C06112,C00025,C00025,C00025,C00025
K11065	
K06901	
K01661	C03160,C03160,C03160
K01662	C00118,C00022,C00118,C00022,C11437,C00022,C00118
K00762	C01103,C00295,C00119
K00763	C01185,C01185
K00760	C00020,C00147,C00130,C00130,C00242,C00242,C00385,C00385,C00655,C02380,C16614,C07648
K01465	C00337,C00337
K01462	
K01258	
K02863	
K02867	
K07447	
K07444	
K16925	
K16924	
K02042	
K02044	
K02810	C00089
K03701	
K03700	
K03703	
K03702	
K03311	
K01963	C00024,C00024,C00024,C00024,C00288,C00024,C00024,C00024,C00024,C04419,C00024,C00024
K16209	
K03495	
K03497	
K03496	
K03816	C00242,C00242,C00385,C00385,C00655
K03797	
K03811	
K02343	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K03799	
K00161	C00022,C00068,C00068,C00022,C00068,C00022,C00068,C00022,C00022,C05125,C15972,C15972,C05125,C05125,C15972
K00162	C00022,C00068,C00068,C00022,C00068,C00022,C00068,C00022,C00022,C05125,C15972,C15972,C05125,C05125,C15972
K07749	
K03531	
K02469	
K00364	C00144
K17675	
K03367	C00133
