Compound_code	Metabolite_name	Importance_score	p_value
C00944	3-Dehydroquinate	2.0	n.s.
C02430	L-Methionyl-tRNA	-3.17	<0.05
C00826	L-Arogenate	2.907	<0.05
C00534	Pyridoxamine	0.0	n.s.
C06126	Digalactosylceramide	3.585	n.s.
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	0.0	n.s.
C01185	Nicotinate_D-ribonucleotide	-1.222	n.s.
C15812	[Enzyme]-S-sulfanylcysteine	1.585	<0.05
C15813	C15813	0.0	n.s.
C15814	C15814	0.0	n.s.
C16688	Sucrose_6-phosphate	5.459	<0.05
C00794	D-Sorbitol	-3.585	n.s.
C00227	Acetyl_phosphate	0.0	n.s.
C00226	Primary_alcohol	5.17	<0.05
C00504	Folate	0.0	n.s.
C00221	beta-D-Glucose	3.459	n.s.
C00385	Xanthine	2.459	n.s.
C00387	Guanosine	4.807	<0.05
C00380	Cytosine	0.0	n.s.
C00229	Acyl-carrier_protein	-3.0	n.s.
C00364	dTMP	1.807	n.s.
C00365	dUMP	0.807	n.s.
C00362	dGMP	1.585	n.s.
C00363	dTDP	-3.322	n.s.
C00360	dAMP	0.0	n.s.
C00008	ADP	3.97	<0.05
C05831	3-Methoxyanthranilate	-2.0	<0.05
C05830	8-Methoxykynurenate	-2.0	<0.05
C00003	NAD+	0.737	n.s.
C00002	ATP	-4.36	<0.05
C00369	Starch	0.874	n.s.
C05703	Methaneselenol	-3.585	n.s.
C00632	3-Hydroxyanthranilate	2.0	<0.05
C00647	Pyridoxamine_phosphate	0.0	n.s.
C00310	D-Xylulose	-3.0	n.s.
C00641	1,2-Diacyl-sn-glycerol	0.0	n.s.
C01931	L-Lysyl-tRNA	-3.907	<0.05
C00314	Pyridoxine	3.807	n.s.
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.807	n.s.
C00092	D-Glucose_6-phosphate	-3.655	n.s.
C00093	sn-Glycerol_3-phosphate	3.256	<0.05
C00095	D-Fructose	-1.0	n.s.
C00097	L-Cysteine	3.907	<0.05
C14099	2-Naphthaldehyde	-5.17	<0.05
C14090	1-Naphthaldehyde	-5.17	<0.05
C00378	Thiamine	0.0	n.s.
C06196	2'-Deoxyinosine_5'-phosphate	-3.459	n.s.
C06194	2',3'-Cyclic_GMP	2.807	n.s.
C06193	Guanosine_3'-phosphate	-2.807	n.s.
C06199	Hordenine	-2.0	<0.05
C00166	Phenylpyruvate	0.0	n.s.
C02988	L-Histidyl-tRNA(His)	-3.322	n.s.
C00163	Propanoate	3.7	n.s.
C02984	L-Aspartyl-tRNA(Asp)	-3.807	n.s.
C02987	L-Glutamyl-tRNA(Glu)	-3.322	n.s.
C19878	D-glycero-alpha-D-manno-Heptose_7-phosphate	-2.585	n.s.
C19879	D-glycero-alpha-D-manno-Heptose_1,7-bisphosphate	-3.907	<0.05
C02047	L-Leucyl-tRNA	-3.585	n.s.
C03082	4-Phospho-L-aspartate	2.536	n.s.
C04377	5,10-Methylenetetrahydromethanopterin	-3.807	n.s.
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	4.342	<0.05
C03089	5-Methylthio-D-ribose	0.0	n.s.
C00860	L-Histidinol	-2.0	<0.05
C02962	D-Allose_6-phosphate	4.644	<0.05
C00864	Pantothenate	2.585	<0.05
C01412	Butanal	5.17	<0.05
C03402	L-Asparaginyl-tRNA(Asn)	-2.322	<0.05
C05512	Deoxyinosine	0.0	n.s.
C02353	2',3'-Cyclic_AMP	2.807	n.s.
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	1.0	n.s.
C00084	Acetaldehyde	0.0	n.s.
C07836	D-glycero-beta-D-manno-Heptose_7-phosphate	0.0	n.s.
C00695	Cholic_acid	-1.0	<0.05
C18096	D-Allulose_6-phosphate	-4.644	<0.05
C00082	L-Tyrosine	3.585	n.s.
C00269	CDP-diacylglycerol	2.293	n.s.
C18259	1-Methoxypyrene	-2.0	<0.05
C00262	Hypoxanthine	-1.766	<0.05
C00267	alpha-D-Glucose	-4.406	<0.05
C00469	Ethanol	5.17	<0.05
C00460	dUTP	3.585	n.s.
C00286	dGTP	-5.227	<0.05
C00283	Hydrogen_sulfide	1.585	<0.05
C01152	N(pi)-Methyl-L-histidine	-2.0	<0.05
C00063	CTP	4.935	<0.05
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-2.322	n.s.
C04051	5-Amino-4-imidazolecarboxyamide	-3.807	n.s.
C04053	5-Dehydro-4-deoxy-D-glucuronate	5.285	<0.05
C00407	L-Isoleucine	3.322	n.s.
C05946	D-4-Hydroxy-2-oxoglutarate	0.0	n.s.
C01921	Glycocholate	1.0	<0.05
C01367	3'-AMP	-2.807	n.s.
C03263	Coproporphyrinogen_III	3.17	n.s.
C00217	D-Glutamate	1.0	<0.05
C00214	Thymidine	-3.273	<0.05
C00212	Adenosine	4.807	<0.05
C01368	3'-UMP	-2.807	n.s.
C00036	Oxaloacetate	0.0	n.s.
C05841	Nicotinate_D-ribonucleoside	4.807	<0.05
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	-3.0	n.s.
C00033	Acetate	3.087	<0.05
C00031	D-Glucose	3.644	<0.05
C00137	myo-Inositol	-3.585	n.s.
C00136	Butanoyl-CoA	-5.17	<0.05
C00135	L-Histidine	2.807	<0.05
C00134	Putrescine	-2.807	n.s.
C00133	D-Alanine	1.585	n.s.
C00131	dATP	2.7	<0.05
C00039	DNA	0.0	n.s.
C00043	UDP-N-acetyl-alpha-D-glucosamine	-0.415	n.s.
C00041	L-Alanine	-2.807	<0.05
C00040	Acyl-CoA	3.503	n.s.
C00047	L-Lysine	2.807	<0.05
C00046	RNA	-2.7	<0.05
C00044	GTP	-3.826	<0.05
C00049	L-Aspartate	2.907	<0.05
C00048	Glyoxylate	0.0	n.s.
C06481	L-Seryl-tRNA(Sec)	-3.907	n.s.
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	1.585	<0.05
C01100	L-Histidinol_phosphate	2.0	<0.05
C05122	Taurocholate	1.0	<0.05
C03684	6-Pyruvoyltetrahydropterin	-1.585	<0.05
C03688	Apo-[acyl-carrier-protein]	3.0	n.s.
C05345	beta-D-Fructose_6-phosphate	1.412	n.s.
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	3.585	n.s.
C00817	D-Altronate	0.0	n.s.
C05840	Iminoaspartate	1.585	n.s.
C05466	Glycochenodeoxycholate	1.0	<0.05
C05465	Taurochenodeoxycholate	1.0	<0.05
C00035	GDP	4.919	<0.05
C00253	Nicotinate	-4.807	<0.05
C00250	Pyridoxal	3.807	n.s.
C00251	Chorismate	0.585	n.s.
C18260	1,6-Dimethoxypyrene	-2.0	<0.05
C00255	Riboflavin	3.0	n.s.
C05336	Selenomethionyl-tRNA(Met)	-3.585	n.s.
C05335	L-Selenomethionine	3.585	n.s.
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	0.0	n.s.
C01083	alpha,alpha-Trehalose	-3.0	n.s.
C00559	Deoxyadenosine	0.0	n.s.
C00558	D-Tagaturonate	-2.807	n.s.
C00492	Raffinose	4.087	<0.05
C00493	Shikimate	1.047	n.s.
C00886	L-Alanyl-tRNA	-3.459	n.s.
C00498	ADP-glucose	0.0	n.s.
C00882	Dephospho-CoA	-3.807	<0.05
C00881	Deoxycytidine	4.0	<0.05
C00078	L-Tryptophan	2.585	<0.05
C00079	L-Phenylalanine	2.807	n.s.
C00073	L-Methionine	-0.322	n.s.
C00071	Aldehyde	-5.17	<0.05
C02282	Glutaminyl-tRNA	0.0	n.s.
C00074	Phosphoenolpyruvate	-3.874	<0.05
C00075	UTP	4.061	<0.05
C00130	IMP	4.087	<0.05
C00085	D-Fructose_6-phosphate	3.773	<0.05
C02352	1,4-beta-D-Xylan	2.0	<0.05
C02355	2',3'-Cyclic_UMP	2.807	n.s.
C02354	2',3'-Cyclic_CMP	2.807	n.s.
C00081	ITP	3.459	n.s.
C00089	Sucrose	5.044	<0.05
C02218	Dehydroalanine	-3.0	n.s.
C00672	2-Deoxy-D-ribose_1-phosphate	-2.0	n.s.
C00673	2-Deoxy-D-ribose_5-phosphate	4.248	<0.05
C00106	Uracil	0.363	n.s.
C00105	UMP	2.405	<0.05
C00103	D-Glucose_1-phosphate	-3.636	<0.05
C00100	Propanoyl-CoA	-1.585	<0.05
C00101	Tetrahydrofolate	-1.215	n.s.
C00109	2-Oxobutanoate	1.585	<0.05
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	-1.0	n.s.
C00009	Orthophosphate	-3.322	n.s.
C03175	Shikimate_3-phosphate	-1.0	n.s.
C00361	dGDP	4.891	<0.05
C00170	5'-Methylthioadenosine	0.0	n.s.
C00006	NADP+	-2.0	<0.05
C02992	L-Threonyl-tRNA(Thr)	-2.585	n.s.
C00179	Agmatine	2.807	n.s.
C00178	Thymine	0.0	n.s.
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	-5.285	<0.05
C20248	7-Carboxy-7-carbaguanine	1.0	n.s.
C01079	Protoporphyrinogen_IX	-3.17	n.s.
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-1.0	n.s.
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.0	n.s.
C11437	1-Deoxy-D-xylulose_5-phosphate	0.379	n.s.
C11432	1-Phenanthrol	2.0	<0.05
C11433	1-Methoxyphenanthrene	-2.0	<0.05
C01179	3-(4-Hydroxyphenyl)pyruvate	0.0	n.s.
