KO_code	Compound_codes
K17686	C00008
K03631	
K03630	
K02025	
K02314	
K10112	
K02316	
K06167	C01151
K02313	
K06283	
K06287	
K08483	
K00262	C00026,C00014,C00014,C00026,C00014,C00025
K00266	C00025,C00025,C00025,C00026,C00064,C00025,C00025,C00025,C00026,C00064,C00025,C00026,C00014,C00014,C00026,C00014,C00025
K03530	
K01992	
K01990	
K11754	C09332,C00415,C00415
K01515	C00117
K01104	
K11753	C00016,C00061,C00061,C00061
K00981	C00269,C00269,C00269
K00868	C00018,C00018,C00627,C00627,C00647,C00534
K07139	
K07240	
K00864	C00093,C00116
K01193	C02336,C00267,C00267,C02336,C05402,C05404,C02336,C00668
K02926	
K03437	
K01198	C00181,C00181,C00181
K14540	
K11991	
K00215	C03972,C03972,C03972,C20258,C03972,C03972,C03972,C03972,C20258,C03972
K04517	C01179,C01179,C00254,C01179,C01179
K00655	C00416,C00416,C00681
K02030	
K02031	
K02032	
K02033	
K04518	C00079,C00166,C00166,C00254,C00166,C00166
K00600	C00065,C00065,C00065,C00101,C00101,C00065,C00143,C00037,C00143,C00065,C00101,C00065,C00065,C04377,C04377
K01586	C00047,C00680,C00047,C00047,C00047
K07095	
K00604	C00101,C00101,C03294
K00919	C11436,C11435,C11436
K07560	
K03215	
K07566	
K07568	
K10979	
K13653	
K07391	
K03595	
K03596	
K06436	
K02519	
K00974	
K02108	
K02109	
K01736	C00251,C01269,C00251,C00251
K01737	C03684,C03684,C20239,C20239
K01929	C04702,C04702,C04882,C04882
K01928	C04877,C04877
K01921	C00993,C00993,C00993
K01925	C00692,C00692,C00692
K01924	C01212,C01212,C01050
K07024	
K07025	
K07027	
K03856	C04691,C04691,C04691,C04691
K00041	C00817,C00817
K00046	
K06416	
K03525	C01134,C03492,C03492,C04352
K06941	
K06942	
K03526	C11811,C11811,C11811
K02428	C00144,C00105,C00075,C00130,C00362,C00365,C00365,C00655,C06196
K06948	
K06949	
K07467	
K03671	
K09761	
K02358	
K01815	C04349
K09762	
K05808	
K01812	C00905,C00191,C00558,C00558
K01810	C01172,C01172,C01172,C01172,C01172,C05345,C05345,C05345,C05345,C00668,C05345,C05345,C05345,C05345,C01172,C05345,C05345
K09769	
K02355	
K02357	
K02356	
K00134	C00236,C00118,C00236,C00236,C00236,C00236,C00236
K00133	C00441,C00441,C00441,C00441,C03082,C03082,C00441,C00441
K01950	C00003,C00003
K00783	
K00789	C00019,C00019,C00073,C00019
K03070	
K01258	
K15532	
K03271	C07836,C05382,C19878
K10026	C20248,C20248
K03177	
K06131	C05980,C05980,C05980,C05980
K00554	
K00557	
K01872	C00886
K12574	
K00558	C00021,C00019
K12573	
K00951	C04494
K00954	C00882,C00882
K08303	
K06180	
K06183	
K11717	C01528,C00041,C01528,C00041,C05703
K06187	
K01493	C00365,C00239
K01491	C00445,C00143,C00143,C00445,C00143,C00234,C00445,C00445,C00234,C00445
K02600	
K01495	C05922,C05922,C04895,C04895,C05923,C05923,C06148,C06148
K03550	
K03551	
K07584	
K03555	
K00773	
K05985	
K01770	C11453,C11436,C11453
K01775	C00133,C00133
K13059	
K02899	
K02895	
K02892	
K02890	
K01784	C00052,C00052,C00029,C00052
K01783	C00231,C00231,C00199,C00199,C00231,C00231,C00231,C00231
K15581	
K07699	
K02520	
K03469	
K02111	
K02528	
K02529	
K06925	
K01914	C00152,C00152,C00049,C00049,C00152
K14645	
K01854	
K01552	
K07770	
K02115	
K03786	C02637,C02637,C02637,C02637
K03789	
K07177	
K07079	
K07075	
K01358	
K03601	
K06173	
K03466	
K06178	
K02601	
K09710	
K03734	
K03737	C00022,C00022,C00024,C00024,C00022,C00022,C00024,C00022,C00022
K03733	
K04075	
K04072	C00024,C00024,C00024,C00024,C00024,C00024,C00071,C00084,C00084,C00084,C00084,C00136,C05577,C05576,C06613,C06611,C06613,C16348,C06612,C16348,C14090,C14090,C14090,C14099,C14099,C14099
K00854	C00231,C00231
K00857	C00364,C00364,C00365,C04242
K00850	C03785,C03785,C03785,C03785,C03785,C03785,C03785,C03785,C05378,C05378,C05378,C05378,C05378,C05378,C05378,C05378
K04759	
K04758	
K00995	C03892,C03892
K00997	C00229,C00054
K00991	C11435,C11434,C11435
K00859	C00010,C00010
K06382	
K03048	C00046,C00046,C00046,C00044,C00046,C00046,C00046,C00046
K07258	
K06386	
K03043	C00046,C00046,C00046,C00044,C00046,C00046,C00046,C00046
K03040	C00046,C00046,C00046,C00044,C00046,C00046,C00046,C00046
K03046	C00046,C00046,C00046,C00044,C00046,C00046,C00046,C00046
K02931	
K02933	
K02935	
K01200	
K02835	
K01000	C04851,C00105,C04851,C00105,C05897
K01507	
K10563	
K03424	
K00638	
K00925	C00227,C00227,C00227,C00227,C00033,C00227,C00227,C02876
K00927	C00236,C00236,C00197,C00236,C00236,C00236,C00236
K00928	C03082,C03082,C03082,C03082,C03082,C03082,C03082,C03082
K14441	
K07650	
K01778	C00680,C00666,C00680,C00680,C00680
K02986	
K02982	
K02988	
K02113	
K02112	
K03581	
K02110	
K06920	C15996,C15996
K02114	
K02563	C05898,C05893,C05893
K03588	
K02564	C00085
K01727	
K11144	
K11145	
K01729	C05392
K06405	
K07031	C19879
K07030	
K00335	
K00334	
K00336	
K00700	C00369,C00718,C00369
K00705	C00208
K02027	
K02026	
K07138	
K06406	
K07133	
K06959	
K03517	C03722,C03722
K06409	
K07137	
K02029	
K02028	
K03884	
K15582	
K03768	
K00099	C11434,C11437,C11437
K03763	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K09457	C16675,C15996
K01866	C02839
K01867	C03512
K01868	C02992
K01869	C02047
K01939	C03794,C03794,C00130
K07456	
K00384	C00342,C00342,C00342,C01528,C05703
K03340	C00680,C03871,C03871,C00680
K07042	
K07043	
K03346	
K00791	C04432,C04432,C04432
K00790	C04631,C04631,C00043
K01269	
K09015	
K09014	
K09013	
K03088	
K03086	
K00891	C03175,C00493,C03175,C03175
K01262	
K01265	
K08974	
K03168	
K08384	
K07507	
K00560	C00364,C00415,C00364
K00564	
K00566	
K00567	
K00243	
K03648	
K04763	
K15780	C00262,C00262,C00144,C00144,C00655,C00655,C00385
K00963	C00029,C00029,C00029,C00029,C00103,C00029
