KO_code	Compound_codes
K00057	C00093,C00093
K03631	
K03630	
K00180	
K03149	C00082,C15809,C15815
K08857	
K06941	
K01362	
K02315	
K02314	
K03387	
K02316	
K06167	C20440
K02313	
K03147	C03373,C03373
K06168	
K00053	C00900,C04272,C04272,C04181,C04272,C06007,C06007,C14463,C06007,C06006,C06006,C06006,C06006,C06010,C06010,C06010,C06010
K06287	
K02113	
K06284	
K03664	
K00262	C00025,C00025,C00025,C00025,C00026
K06518	
K00266	C00064,C00026,C00064,C00026,C00025,C00025,C00026,C00064,C00026,C00025,C00025,C00064,C00025,C00025,C00025,C00025,C00026
K00265	C00064,C00026,C00064,C00026,C00025,C00025,C00026,C00064,C00026,C00025,C00025,C00064,C00025,C00025,C00025,C00025,C00026
K06041	
K03530	
K04083	
K02016	
K01212	C06215
K12343	C00410,C00535,C03205,C00280
K04084	
K01992	
K01993	
K01990	
K01991	
K02015	
K00754	C00096,C00096,C04046,C04046
K11755	C02739,C02739,C02739,C02739,C02741,C02741,C02741,C02741
K11754	C00101,C00921,C00921
K01515	C00301
K00983	C00270,C00270,C00270,C03410,C03410
K11753	C00061,C00016,C00255,C00255
K11752	C01268,C01268,C01304,C01304
K05592	
K00868	C00250,C00250,C00314,C00314,C00534,C00647
K05591	
K04486	C01100,C01100,C01100,C01100
K05595	
K03976	
K05366	
K00865	C00258,C00258,C00258,C00197,C00258
K00864	C00116,C00093
K01297	
K02871	
K01192	
K14623	
K01190	C05796,C00243,C00243,C01290,C01290
K05601	C00192
K02926	
K01197	G13043,G13043,G12336,G12336
K01195	C03033,C03033,C03033,C05787,G13040,G13040,C04900,C11376
K03437	
K15898	C19972
K14540	
K02013	
K07403	
K01200	
K00215	C20258,C20258,C20258,C03972,C20258,C20258,C20258,C20258,C03972,C20258
K01206	
K11996	
K00210	C00254,C00254,C01179,C00254,C00254
K09797	
K01209	C02474,C02474
K04516	C00251,C00254,C00251,C00251
K01745	C00135,C00135
K01744	C00049,C00122
K02030	
K02878	
K04518	C00826,C00254,C00254,C00166,C00254,C00254
K06861	
K07091	
K00600	C00037,C00143,C00037,C00037,C00143,C00143,C00037,C00065,C00101,C00037,C00037,C00143,C00037,C00065,C00065
K01428	C00086,C00086,C00086,C00086,C00086
K00602	C04734,C00130,C00130,C04677,C00234,C00101,C04677,C04677
K07095	
K00604	C00234,C02430,C00234
K00912	C04932,C04932
K00609	C00169,C00049,C00438
K07098	
K00919	C11435,C11436,C11435
K01588	C15667,C15667,C15667
K01424	C00152,C00152,C00152,C00152
K01425	C00064,C00064,C00064,C00064,C00014,C00025,C00819,C00217
K07560	
K03215	
K07567	
K07566	
K07568	
K07282	
K03798	
K11050	
K01322	
K07391	
K14949	
K03595	
K03596	
K03590	
K02519	
K03593	
K02517	C06025,C05223,C06251
K02108	
K02109	
K03453	
K03748	
K01736	C01269,C00251,C01269,C01269
K01737	C04895,C04895,C04895,C04895
K01929	C05892,C00993,C05892,C04877,C04877,C00993
K01928	C00680,C00692
K01733	C01102,C00188,C01102,C01102,C06055
K01639	C00270
K06904	
K01923	C04751,C04751,C04751
K01921	C00133,C00133,C00133
K03665	
K01633	C04874,C04874
K01926	
K01925	C00217,C01212,C01212,C01212
K01924	C01050,C01050,C01212
K07024	
K07025	
K07027	
K03856	C00279,C00074,C00279,C00074,C00279,C00074,C00074,C00279
K00041	C00558,C00558
K05945	
K07029	
K00045	C00392
K00558	C00019,C00021
K03521	
K13043	C00169,C03415
K03522	
K03525	C00831,C00864,C00864,C04079
K02426	
K06942	
K03526	C11453,C11453,C11453
K02852	
K00638	
K05349	C00185,C00185,C00844,C00844,C00760,C00760,C08325,C01798,C05839,C05839,C05143,C08334,C01594
K02428	C00044,C00075,C00105,C00081,C00286,C00460,C00460,C00700,C01345
K02856	
K06949	
K02855	
K03770	
K03771	
K03772	
K03773	
K03775	
K03671	
K02881	
K01703	C02612,C02612,C02612,C02612,C02612,C02226,C06032,C02226,C02226,C02226,C02504,C02504,C02504,C04411,C04411,C02631,C02504,C02504
K03672	
K12373	G13033,G13033
K08998	
K09761	
K02358	
K01815	C04053
K01814	C04896,C04896,C04896,C04896
K01813	C00507
K01812	C00191,C00905,C00333,C00333
K01811	
K02217	C14818
K05807	
K02355	
K02357	
K01818	C01019
K06206	
K00134	C00118,C00236,C00118,C00118,C00118,C00118,C00118
K04043	
K04042	C04501,C00043,C04501,C06156,C04501
K04041	C00354,C00354,C00085,C00354,C00354,C05378,C05378,C05378,C05345,C05345,C05345,C05378
K01956	C00064,C00064,C00064
K01955	C00064,C00064,C00064
K01952	C04376,C04376,C04376
K01046	C00422,C00641,C00641,C00641
K01950	C00857,C00857
K01951	C00655,C00655,C00655,C00655,C16618
K00782	
K12308	C05796
K00784	
K07735	
K07737	
K00788	C04327,C04752,C04327,C04752
K00789	C00073,C00073,C00019,C00073
K17398	C00019,C00021
K00425	
K03296	
K00426	
K03073	
K03072	
K03071	
K03070	
K03077	C01101,C01101,C01101,C01101
K03076	
K03075	
K01809	C00275,C00275,C00275,C00275
K01678	C00149,C00149,C00122,C00149,C00149,C00149
K13979	
K12340	
K09808	
K03694	
K03271	C05382,C07836,C05382
K03270	C04478,C01187
K03273	C11472,C07838,C19879
K07322	
K03177	
K02067	
K06890	
K06131	C00344,C00269,C00344,C00269,C00344,C00344
K06133	C03688,C00010
K03187	
K00554	
K00259	C00022,C00041,C00041
K03183	C05813,C05813,C05818,C05818,C05818,C13309,C13309,C13309,C13309,C17560,C17560,C17560
K12574	
K00257	C16470,C16470
K03189	
K12573	
K01079	C01005,C01005,C01005,C01005,C01005,C01005
K01173	
K01176	C00369,C00369
K14979	
K01179	C00760,C00760
K16053	
K15977	
K00951	C00044
