KO_code	Transcripts
K02112	183.0
K07467	34.0
K04759	9.0
K02400	35.0
K03615	115.0
K02118	486.0
K03169	379.0
K00609	25.0
K01649	1.0
K01938	1404.0
K08384	108.0
K03043	185.0
K06147	80.0
K00839	64.0
K06996	25.0
K00134	269.0
K02018	0.0
K06894	0.0
K08303	18.0
P-type_1	49.0
K01955	31.0
K02881	91.0
K01953	6.0
K00174	1640.0
K09955	0.0
K07814	0.0
K03925	0.0
K00789	711.0
K01990	80.0
K02438	0.0
CTn3-Orf3	74.0
K15726	0.0
K05311	132.0
K03884	271.0
Tn1549-like	12.0
K01751	24.0
K08302	69.0
K02412	66.0
K07586	0.0
CTn1-Orf1	291.0
K01104	539.0
K09384	96.0
K01778	185.0
K07035	3.0
K03088	0.0
K02757	2.0
K01869	107.0
K06333	182.0
K03878	128.0
K04041	0.0
K06334	198.0
K03798	263.0
K01881	392.0
K03521	135.0
K03735	70.0
K03737	2.0
K03406	0.0
K03438	0.0
K02988	0.0
K12997	242.0
