compound_code	compound_name	clostridium_630_score	cd630_streptomycin_score	ratio	magnitude	interaction_score	percentile
C05528	3-Sulfopyruvate	-4.644	-9.347	0.038	676.222	-4.698	70.0
C00944	3-Dehydroquinate	-3.322	-3.17	0.9	19.001	-4.096	70.0
C02430	L-Methionyl-tRNA	-2.807	-4.585	0.292	30.999	-3.176	50.0
C00433	2,5-Dioxopentanoate	3.0	2.807	0.936	14.998	3.811	70.0
C00437	N-Acetylornithine	-0.926	4.0	0.119	17.9	-1.088	60.0
C01181	4-Trimethylammoniobutanoate	-3.0	-2.807	0.875	14.998	-3.714	60.0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	5.248	4.17	0.795	56.003	5.476	80.0
C01185	Nicotinate_D-ribonucleotide	-3.17	6.276	0.116	86.494	-3.329	60.0
C16688	Sucrose_6-phosphate	2.0	-1.0	0.5	6.0	-1.585	50.0
C00794	D-Sorbitol	8.279	8.912	0.929	792.321	9.524	90.0
C01233	sn-Glycero-3-phosphoethanolamine	3.807	3.907	0.974	28.998	4.82	80.0
C00226	Primary_alcohol	4.977	10.223	0.487	1226.664	9.222	90.0
C00385	Xanthine	0.879	-5.14	0.052	37.1	-0.952	60.0
C00229	Acyl-carrier_protein	-4.728	-1.585	0.113	29.502	-1.74	50.0
C00882	Dephospho-CoA	-4.585	3.459	0.458	34.997	-4.003	70.0
C00546	Methylglyoxal	-6.055	-7.028	0.509	196.995	-6.649	90.0
C02291	L-Cystathionine	3.585	5.392	0.665	53.991	5.166	80.0
C00364	dTMP	-3.459	-5.087	0.324	44.986	-3.863	60.0
C00365	dUMP	-4.248	3.7	0.684	31.997	-4.452	70.0
C00009	Orthophosphate	-2.0	-5.728	0.075	57.003	-2.105	50.0
C00008	ADP	2.841	-6.62	0.073	105.525	-2.942	50.0
C00003	NAD+	-3.369	-3.415	0.969	20.998	-4.346	70.0
C00002	ATP	3.769	6.552	0.575	107.464	5.95	80.0
C00369	Starch	-4.893	8.058	0.111	296.214	-5.045	80.0
C05703	Methaneselenol	-8.767	-9.048	0.823	964.964	-9.633	90.0
C00376	Retinal	-4.044	-5.285	0.423	55.485	-4.553	70.0
C16618	6-Thioxanthine_5'-monophosphate	-1.585	2.585	0.5	9.0	-2.17	50.0
C00644	D-Mannitol_1-phosphate	6.966	7.109	0.98	263.064	8.01	90.0
C01931	L-Lysyl-tRNA	-1.0	-7.257	0.013	154.959	-1.019	60.0
C01528	Hydrogen_selenide	-8.183	-10.043	0.275	1345.602	-8.534	90.0
C00091	Succinyl-CoA	5.85	7.38	0.793	224.252	7.474	90.0
