compound_code	compound_name	bacteroides_mock_score	clostridium_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-4.981	0.495	0.045	32.991	-0.558	50.0
C00024	Acetyl-CoA	2.362	-0.382	0.253	6.444	-0.708	50.0
C00026	2-Oxoglutarate	6.324	-5.51	0.569	125.685	-6.16	90.0
C00124	D-Galactose	-10.095	3.514	0.01	1105.123	-3.529	90.0
C00103	D-Glucose_1-phosphate	1.233	-0.515	0.608	3.78	-1.2	70.0
C00022	Pyruvate	-1.817	0.006	0.285	4.528	-0.368	50.0
C00063	CTP	4.207	1.222	0.29	20.801	2.595	70.0
C00141	3-Methyl-2-oxobutanoic_acid	-1.254	-0.547	0.613	3.846	-1.236	70.0
C00002	ATP	5.231	1.126	0.215	39.739	3.097	80.0
C00369	Starch	7.746	0.515	0.066	216.102	3.845	90.0
C00365	dUMP	-2.222	-1.945	0.825	8.516	-2.813	90.0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	1.524	0.7	0.459	4.5	1.048	50.0
C02430	L-Methionyl-tRNA	-4.907	-1.0	0.067	32.002	-1.093	60.0
C04039	2,3-Dihydroxy-3-methylbutanoate	2.0	1.0	0.5	6.0	1.585	60.0
C05336	Selenomethionyl-tRNA(Met)	-4.907	-1.0	0.067	32.002	-1.093	60.0
C05335	L-Selenomethionine	4.907	1.0	0.204	32.002	2.705	70.0
C00558	D-Tagaturonate	-2.0	-9.014	0.008	520.993	-2.011	80.0
C00668	alpha-D-Glucose_6-phosphate	1.714	1.845	0.929	6.873	2.675	70.0
C00091	Succinyl-CoA	-5.9	6.833	0.524	173.723	-6.508	90.0
C00197	3-Phospho-D-glycerate	-1.164	2.184	0.493	6.785	-1.742	80.0
C00191	D-Glucuronate	1.7	8.6	0.198	391.272	6.273	90.0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	1.524	0.7	0.459	4.5	1.048	50.0
C00097	L-Cysteine	0.222	1.585	0.14	4.166	-0.777	50.0
C00036	Oxaloacetate	3.499	1.613	0.461	14.365	2.727	70.0
C00011	CO2	2.385	6.845	0.348	120.184	5.388	90.0
C15972	Enzyme_N6-(lipoyl)lysine	-10.217	1.0	0.002	1192.21	-1.002	50.0
C00073	L-Methionine	3.044	1.0	0.329	10.248	1.751	60.0
C00333	D-Galacturonate	2.0	9.014	0.222	520.993	6.853	90.0
C00118	D-Glyceraldehyde_3-phosphate	5.095	1.369	0.269	36.761	3.304	80.0
C00074	Phosphoenolpyruvate	-3.833	-2.222	0.327	18.916	-2.631	80.0
C00075	UTP	5.518	1.441	0.261	48.538	3.664	80.0
C05345	beta-D-Fructose_6-phosphate	5.103	-0.812	0.051	36.124	-0.884	50.0
C00631	2-Phospho-D-glycerate	-0.445	-0.138	0.808	2.462	-0.993	50.0
C01172	beta-D-Glucose_6-phosphate	-0.429	-0.596	0.891	2.858	-1.348	80.0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-1.415	-0.637	0.583	4.222	-1.3	70.0
C00046	RNA	-5.296	-1.1	0.055	41.431	-1.177	60.0
C00044	GTP	-4.15	-1.027	0.115	19.791	-1.184	70.0
C00460	dUTP	2.433	2.459	0.989	10.899	3.431	80.0
