contig_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
k127_3334661,-6.36923884e+00,-1.22047058e+00,-1.05131915e+00,-2.49520438e-01,1.22402159e+00,2.79670501e-01,-6.42365523e-01,-5.38464583e-01,3.66699985e-01,-3.57076255e-01,3.39345244e-01,2.23641035e-01,-9.60509239e-02,8.02944113e-01,-7.34002455e-03,-6.13365894e-03,2.28401820e-01,-7.27978852e-02,2.29253994e-01,-4.58791619e-01,-8.84712469e-02,6.17915822e-01,4.84757636e-01,-1.96293647e-01,-6.45576400e-01,-1.16827295e+00,3.01930981e-01,-1.11560623e-01,1.58241951e-01,-2.20819471e-01,2.34833086e-01,7.29770303e-01,3.15857839e-01,-1.95888740e-01,2.83632215e-01
k127_2363690,-7.70998004e+00,1.87197047e+00,5.29628044e-01,1.64261485e+00,1.33149727e+00,-8.21539204e-01,-7.36014805e-01,-1.31942455e+00,-7.59354230e-01,4.44658983e-01,-1.34945462e+00,-3.84363157e-01,-7.08366024e-02,-3.63601109e-01,2.29997841e-01,3.67335407e-01,-1.09252767e-01,-3.69418039e-01,-3.62818998e-01,1.05134152e+00,5.33033100e-01,3.02930224e-02,1.70588622e-01,-6.44472138e-01,5.23785027e-01,2.41515917e-02,-9.42999773e-01,3.64983829e-01,-1.87723509e-01,3.80944351e-02,-4.08370591e-02,5.84007501e-01,7.37915723e-01,-2.44284542e-01,2.64417455e-01
k127_3582166,7.20740558e+00,2.58688641e+00,-3.48423179e-02,7.70255338e-01,-9.85803743e-01,-3.81476511e-01,-5.02373580e-01,3.69101723e-01,-7.93727644e-01,-4.21562763e-01,-6.36516715e-01,2.32760826e-01,-6.09728198e-02,-1.01822612e+00,-4.28010676e-01,4.73416365e-02,5.66118137e-01,-4.32666719e-01,-4.63793928e-01,-4.26895975e-01,-9.33790622e-01,-7.29305230e-01,-5.87639929e-02,5.11760225e-01,7.91609659e-02,2.57422718e-01,1.44605322e-01,6.65065167e-02,-2.70302893e-01,-1.71318101e-01,2.30832380e-04,-8.22332200e-02,-1.36096365e-01,-1.22093563e-02,3.32403969e-02
k127_3288211,-9.45254492e+00,2.52566579e+00,-2.76445469e-01,6.03371060e-01,1.15487037e+00,5.02252305e-02,6.65142167e-01,-2.36428378e-01,2.83656457e-01,-1.97639281e-01,-6.35536891e-01,8.06571505e-01,3.28197725e-01,5.37811809e-02,-3.62198603e-02,3.09179891e-01,7.86932943e-02,-1.82588445e-01,1.85733629e-01,9.59333478e-03,-6.87295812e-03,2.64511439e-01,-4.86621619e-02,-1.89502836e-02,2.77301522e-02,-3.09487077e-01,-3.73739203e-03,-1.00513575e-01,8.52208801e-02,-8.48442049e-02,3.65247217e-01,1.16799151e-01,-1.68398710e-01,-3.25211022e-01,1.21190369e-01
k127_3375535,-8.48419216e+00,6.17129437e-01,3.38216290e-01,-2.39503774e+00,1.19544310e+00,-1.21940362e+00,-9.08801454e-01,8.84868775e-01,-9.64416437e-01,1.25324925e+00,6.09289580e-01,1.62273949e-01,4.40913701e-02,-4.59778034e-01,-5.05451378e-01,4.29554551e-02,-1.07500615e-01,3.69957497e-01,-1.28701145e+00,3.75857541e-01,1.21898670e+00,-6.54022618e-01,-7.10679186e-01,-8.70858371e-01,-3.99499832e-01,-3.10265796e-01,-1.40360783e-01,3.23978172e-01,-6.91849161e-01,-5.03647429e-01,-2.57544068e-01,1.14466398e-01,4.11682175e-01,3.50104607e-01,-4.05011853e-01
k127_2621795,-2.22047463e+00,-1.62471949e+00,-1.81829546e+00,2.56766213e-01,-3.70410547e-01,4.05067592e-01,-2.18354980e-01,1.64274265e-01,-3.57910218e-01,-2.48486781e-01,7.32638112e-01,-4.79711005e-01,3.50894195e-01,1.47412321e-01,-2.81096034e-01,5.86179718e-01,4.04420348e-01,-4.33271416e-01,-6.25763201e-02,-4.25221344e-01,-1.18682192e-01,2.92787605e-01,1.99817220e-02,-4.15647330e-01,3.20003980e-01,-8.89096615e-01,-8.94296803e-02,1.34481234e-02,5.82071982e-01,-8.55047551e-01,-1.68627655e-01,-3.74696331e-01,1.92383144e-01,2.19152412e-01,5.65779908e-01
k127_4471722,-2.20701030e+00,-1.81960902e+00,-2.89018285e+00,-3.42853012e-03,-3.18686447e-01,1.25211775e+00,-9.91312677e-02,-6.75301290e-01,-1.94529433e-01,2.41473445e-01,-3.40311079e-02,-1.14471093e-01,3.25741234e-01,6.91184643e-01,8.32687843e-01,-1.56978886e-01,-2.19354727e-01,5.75278758e-01,8.46518960e-02,9.72361509e-04,-2.95093740e-01,7.82456103e-02,1.96374319e-01,5.31459679e-02,3.61574668e-01,9.89296093e-02,8.21445570e-02,-2.81119828e-01,2.24148527e-01,2.20006071e-01,1.73255997e-01,-9.09930651e-02,4.18143280e-01,1.65413927e-01,2.44332457e-01
k127_1065265,7.23500497e+00,2.64082448e+00,-8.88073115e-01,1.01467832e+00,7.19834511e-02,8.56389021e-01,-8.29968786e-01,1.20757411e+00,-1.28008373e-01,-3.87053171e-01,1.63483050e-01,4.35406975e-01,3.95194695e-01,2.99916482e-01,-2.95256145e-01,1.48873337e-01,-9.17919453e-02,7.48598473e-01,4.23179720e-01,-7.63657750e-01,1.17580032e-01,3.25475897e-01,1.75441148e-01,1.56187140e-01,2.41972195e-02,6.86879904e-01,3.51545016e-01,2.40172458e-01,-1.64208025e-01,-3.05310158e-01,3.11606237e-01,1.56747318e-01,2.47345438e-01,-4.86382200e-01,-3.02431601e-01
k127_285170,-1.07647019e+01,4.14275057e+00,9.69104840e-01,6.26188271e-02,2.15482434e+00,1.04640320e-01,3.05905905e-01,-5.40100216e-01,5.54133350e-01,-1.13011383e-03,2.12698467e-01,3.35384587e-01,-1.17625619e-01,-5.06188572e-01,3.11751933e-01,1.52278357e+00,-9.63950758e-01,3.88318381e-01,1.10515894e-01,-1.61774759e+00,7.70642063e-01,3.42548621e-01,-2.35750832e-01,-3.45589487e-01,1.62768139e-01,-4.24436389e-01,-6.47721315e-01,4.36956575e-01,2.14738629e-01,3.62955407e-01,3.24899045e-01,-1.13115017e+00,3.23357348e-01,6.11431036e-01,-2.36222260e-01
k127_1151492,-7.41621614e+00,6.43715070e-02,3.39732844e-01,-2.08585572e+00,1.08888245e+00,-1.42434517e+00,-7.47067216e-01,7.37463084e-01,9.53535884e-02,-4.93692596e-01,8.78254855e-01,-7.46435813e-01,-2.56632789e-01,-1.15148581e+00,6.49556868e-01,-1.09229307e+00,5.12023326e-01,-2.83340657e-01,1.54918398e+00,-6.57809229e-01,-4.77104281e-01,-2.49180913e-01,-1.11108107e+00,-4.77561017e-01,7.99267881e-01,4.41587741e-01,-3.78517090e-01,2.27786883e-01,1.35047083e-02,-9.77030495e-02,5.94519970e-02,-5.21929740e-01,5.22993150e-02,-8.79599175e-01,2.48952891e-03
