KO_code	Compound_codes
K03635	C18239,C18239
K11104	
K03637	C00044,C00044
K17686	C00002
K03147	C03373,C03373
K03630	
K03632	
K03149	C00082,C15809,C15815
K03638	
K10110	
K06163	C20423
K03387	
K02316	
K06167	C20440
K03631	
K07791	
K06287	
K01488	C00212,C00212,C00559,C00559
K11102	
K00265	C00064,C00026,C00064,C00026,C00025,C00025,C00026,C00064,C00026,C00025,C00025,C00064,C00025,C00025,C00025,C00025,C00026
K00688	C00369,C00369,C00369
K11904	
K11906	
K06041	
K05845	
K05846	
K04083	
K04082	
K06901	
K01999	
K04084	
K01992	
K01990	
K04088	
K01996	
K01997	
K01995	
K03972	
K10984	C02262
K00989	
K11755	C02739,C02739,C02739,C02739,C02741,C02741,C02741,C02741
K11754	C00101,C00921,C00921
K01515	C00301
K00982	
K01104	
K11753	C00061,C00016,C00255,C00255
K00981	C00416,C00416,C00416
K05592	
K00868	C00250,C00250,C00314,C00314,C00534,C00647
K05590	
K13628	
K02407	
K07245	
K02406	
K00865	C00258,C00258,C00258,C00197,C00258
K00864	C00116,C00093
K00867	C00831,C00864,C00864,C04079
K07243	
K06162	C20422
K01190	C05796,C00243,C00243,C01290,C01290
K02824	
K02926	
K01194	C01083,C01083
K02314	
K00684	
K00216	C04171,C04171
K11891	
K11991	
K03923	
K02044	
K16136	
K02038	
K01000	C04702,C17556,C04702,C04882,C17556
K11473	C00160,C00048,C00160,C00007,C00160
K01744	C00049,C00122
K06867	
K06866	
K01749	C00931,C00931,C00931
K02033	
K02034	
K02035	
K06861	
K02037	
K01585	C00062,C00062
K01584	C00062,C00062
K03669	
K07095	
K00604	C00234,C02430,C00234
K00606	C00141,C00141,C00141
K01589	C03373,C03373,C03373
K01424	C00152,C00152,C00152,C00152
K01425	C00064,C00064,C00064,C00064,C00014,C00025,C00819,C00217
K07560	
K11065	
K10974	
K10975	
K09781	
K09925	
K01687	C04039,C04272,C04272,C04272,C04272,C04272,C06007,C06007,C06007,C06007,C06007
K13650	
K07648	
K11738	
K03435	
K07640	
K07393	
K07390	
K07391	
K07646	
K07647	
K02456	
K02457	
K02106	
K02455	
K03459	
K03591	
K03592	
K03593	
K03455	
K00640	C00065,C00065,C00979,C00065,C00065,C00065
K02483	
K08138	
K03451	
K02511	
K02510	C06201,C00232,C00022
K08137	
K01929	C05892,C00993,C05892,C04877,C04877,C00993
K01928	C00680,C00692
K01639	C00270
K01638	C00024,C00149,C00149,C00149,C00149
K01923	C04751,C04751,C04751
K02496	C01051,C01051,C01051
K01921	C00133,C00133,C00133
K11179	
K01925	C00217,C01212,C01212,C01212
K01924	C01050,C01050,C01212
K07024	
K07025	
K07027	
K07789	
K07788	
K00042	C00258,C00258,C00258,C00258
K00041	C00558,C00558
K00040	C00514,C00905
K12974	
K00046	
K07783	
K07782	
K14054	
K02421	
K02420	
K14051	
K02426	
K14053	
K14052	
K02852	
K07146	
K02429	
K10805	
K13014	
K14058	
K02854	
K00925	C00033,C00033,C00033,C00033,C00227,C00033,C00033,C00163
K03770	
K03771	
K03772	
K03775	
K03776	
K03777	C00256
K03671	
K03670	
K09136	
K12372	
K02616	
K03676	
K09760	
K01813	C00507
K05809	
K01811	
K05805	
K06726	
K05801	
K02357	
K05803	
K00137	C00555,C00555
K04046	
K00979	C01187,C04121
K04044	
K04042	C04501,C00043,C04501,C06156,C04501
K02000	
K01952	C04376,C04376,C04376
K01953	C00049,C00152,C00152
K00138	
K00970	
K07286	
K00782	
K01070	C01031,C01031
K00036	C01172,C00006,C01172,C01172,C01172,C01172
K03292	
K03291	
K03290	
K03296	
K00427	
K03294	
K03072	
K03071	
K03070	
K03077	C01101,C01101,C01101,C01101
K03076	
K03074	
K07637	
K13979	
K01256	C01419,C01419,C05729
K01250	
K01252	C00885,C00885
K00373	C00088,C00244,C00244,C00088
K03274	C06397,C06397
K12288	
K12289	
K09996	
K03270	C04478,C01187
K03273	C11472,C07838,C19879
K03272	C07838,C06397,C07836,C11472
K07322	
K07320	
K03177	
K11732	
K06445	C00136,C00877,C00136,C00154,C00154,C05272,C00154,C00154,C01944,C05276,C01944,C01832,C03221,C01832,C02593,C05273,C02593,C05270,C05271,C05270,C05274,C05275,C05274
K02508	
K01873	C00183
K06132	C00344,C00269,C00344,C00269,C00344,C00344
K01247	
K03183	C05813,C05813,C05818,C05818,C05818,C13309,C13309,C13309,C13309,C17560,C17560,C17560
K03181	C00156,C00251,C00156
K08369	
K10708	
K02057	
K13889	
K12573	
K01175	
K01176	C00369,C00369
K03757	
K14977	C02091,C02091
K16850	C00817,C00204
K16053	
K01077	C03360,C03360,C04895,C04895
K01805	C00267,C00267,C00181,C00181
K07214	
K00817	C00166,C00166,C00079,C00079,C00079,C00166,C00166,C00082,C00082,C00082,C00082,C00082,C00082,C00082,C01179,C01179,C01100,C01267,C01100,C01267
K15586	
K04653	
K08304	
K08305	
K08306	
K08307	
K08301	
K08303	
K07356	
K07689	
K07354	
K07355	
K02986	
K07350	
K07351	
K11737	
K02040	
K06183	
K05790	
K06186	
K06187	
K06188	
K01690	C00345,C00345,C00345,C00345
K06223	
K06222	
K05798	
K05799	
K01495	C00044,C00044,C06148,C06148,C05922,C05922,C05923,C05923
K03289	
K01673	C00011
K03559	
K02418	
K02419	
K14682	C00025,C00025,C00025,C00025,C00025
K07588	
K02412	
K01512	C00227,C06206,C06206
K01679	C00149,C00149,C00122,C00149,C00149,C00149
K07406	C05402,C00492,C05401,C01235,C05400,C05399,C01613,C06126,C06037,C05404,G00093
K03554	
K03555	
K06911	
K10441	
K11139	
K00432	C00051,C05356,C05966
K01778	C00666,C00680,C00666,C00666,C00666
K01772	C14818,C02191,C02191,C02191
K02783	C00794
K15583	
K01776	C00025,C00025
K16264	
K01775	C00041,C00041
K08984	
K07454	
K07458	
K07109	
K02895	
K00674	C03972,C04462,C03972,C03972
K13629	
K02890	
K00677	C00043,C00043
K10439	
K09894	
K01782	C01144,C01144,C01144,C01144,C01144,C00332,C01144,C01144,C01144,C01144,C00877,C00877,C00877,C00877,C00877,C00877,C01144,C01144,C00877,C01144,C05668,C00894,C05668,C05668,C05668,C05668,C01144,C01144,C05998,C05262,C05262,C05262,C05262,C04405,C04405,C04405,C03345,C04405,C04405,C03460,C03460,C05259,C05258,C05259,C05258,C05258,C05258,C05258,C05258,C05261,C05260,C05261,C05260,C05260,C05260,C05260,C05260,C05263,C05262,C05263,C05262,C05264,C05264,C05264,C05264,C05267,C05266,C05267,C05266,C05266,C05266,C05266,C05266,C05269,C05268,C05269,C05268,C05268,C05268,C05268,C05268,C06001,C06001,C11946,C11945,C14145,C14145,C14145,C14145,C14144,C14144,C14144,C14144,C16387,C16387,C16468,C16468,C16469,C16469
K02770	C00095,C00095
K10538	
K10539	
K16291	
K02071	
K02072	
K02073	
K02526	
K02527	C04121,C04919,C04919,C04121,C04121,C06024,C04121,C06024
K06908	
K11751	C00020,C00020,C00055,C00105,C00130,C00130,C00144,C00144,C00364,C00239,C00362,C00330,C00360,C00360,C00455,C00655,C00655,C00655,C01185
K02399	
K02523	C00448,C00448
K02520	
K02521	
K03305	
K03304	
K02397	
K02396	
K02390	
K02393	
K02529	
K01912	C07086,C07086
K01910	
K03580	
