compound_code	compound_name	bacteroides_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C00106	Uracil	1.379	8.928	0.154	489.676	6.241	80.0
C00122	Fumarate	0.489	-7.606	0.007	196.224	-0.499	70.0
C00105	UMP	0.04	-3.0	0.129	9.028	-0.214	50.0
C00103	D-Glucose_1-phosphate	0.926	-4.799	0.068	29.738	-1.021	70.0
C04377	5,10-Methylenetetrahydromethanopterin	-1.0	-10.845	0.0	0.0	0.0	50.0
C00101	Tetrahydrofolate	-0.091	6.848	0.009	116.265	-0.104	50.0
C00006	NADP+	4.273	10.408	0.411	1378.023	9.144	90.0
C00005	NADPH	-4.273	-10.778	0.0	0.0	0.0	50.0
C00065	L-Serine	-0.412	-9.647	0.0	0.0	0.0	50.0
C00002	ATP	1.898	-10.079	0.003	1085.363	-1.903	80.0
C00149	(S)-Malate	-0.077	6.304	0.013	80.067	-0.096	50.0
C00345	6-Phospho-D-gluconate	5.807	-3.7	0.232	68.982	-4.001	90.0
C00620	alpha-D-Ribose_1-phosphate	1.585	11.119	0.143	2227.091	8.31	90.0
C00199	D-Ribulose_5-phosphate	-3.817	-9.145	0.0	0.0	0.0	50.0
C06040	Diglucosyl-diacylglycerol	7.864	-10.718	0.138	1917.348	-8.051	90.0
C00143	5,10-Methylenetetrahydrofolate	0.179	-5.41	0.027	43.65	-0.217	60.0
C00092	D-Glucose_6-phosphate	-0.585	-11.272	0.0	0.0	0.0	50.0
C00063	CTP	2.115	9.475	0.223	715.97	7.32	90.0
C00036	Oxaloacetate	0.435	-6.246	0.018	77.25	-0.46	70.0
C00037	Glycine	0.385	9.957	0.039	995.236	5.266	80.0
C00117	D-Ribose_5-phosphate	-0.447	10.259	0.001	1226.732	-0.449	60.0
C00152	L-Asparagine	0.531	-8.233	0.005	302.316	-0.538	70.0
C00111	Glycerone_phosphate	0.25	11.259	0.022	2451.926	5.767	80.0
C00031	D-Glucose	4.912	-9.418	0.044	714.176	-4.974	90.0
C00668	alpha-D-Glucose_6-phosphate	-3.488	7.255	0.073	163.967	-3.59	90.0
C00118	D-Glyceraldehyde_3-phosphate	1.234	-12.322	0.0	5122.607	-1.235	80.0
C00074	Phosphoenolpyruvate	-1.722	-9.758	0.0	0.0	0.0	50.0
C00075	UTP	1.807	9.618	0.188	789.289	7.212	90.0
C00085	D-Fructose_6-phosphate	0.363	7.965	0.046	251.15	3.517	70.0
C00631	2-Phospho-D-glycerate	-0.354	-8.336	0.0	0.0	0.0	50.0
C00064	L-Glutamine	0.064	3.412	0.019	11.69	-2.189	80.0
C00046	RNA	-1.948	-9.788	0.0	0.0	0.0	50.0
C00044	GTP	-1.17	-10.228	0.0	0.0	0.0	50.0
C00049	L-Aspartate	-0.363	5.742	0.024	54.806	-0.397	60.0
C00352	D-Glucosamine_6-phosphate	-0.515	-7.863	0.0	0.0	0.0	50.0
