Compound_code	Metabolite_name	Indegree	Outdegree
C16471	5-Methyl-3-oxo-4-hexenoyl-CoA	4	0
C05335	L-Selenomethionine	2	0
C16477	5-Fluoromuconolactone	0	2
C16476	4-Fluoromuconolactone	0	3
C05332	Phenethylamine	0	1
C13309	2-Phytyl-1,4-naphthoquinone	3	5
C00027	Hydrogen_peroxide	1	0
C00942	3',5'-Cyclic_GMP	1	0
C00026	2-Oxoglutarate	4	8
C05356	5(S)-HPETE	0	1
C02430	L-Methionyl-tRNA	0	1
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	2	0
C14818	Fe2+	0	1
C00430	5-Aminolevulinate	1	2
C07838	D-glycero-beta-D-manno-Heptose_1-phosphate	2	2
C00828	Menaquinone	3	0
C01451	Salicin	0	1
C01024	Hydroxymethylbilane	3	3
C00530	Hydroquinone	2	0
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	2	3
C06126	Digalactosylceramide	0	1
C00469	Ethanol	0	12
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	2	2
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	2	0
C01185	Nicotinate_D-ribonucleotide	0	5
C06790	Trichloroethene	0	1
C01187	3-Deoxy-D-manno-octulosonate	2	2
C14857	1,1-Dichloroethylene_epoxide	0	1
C15812	[Enzyme]-S-sulfanylcysteine	0	1
C15813	C15813	1	1
C15814	C15814	1	1
C15815	C15815	0	1
C00029	UDP-glucose	1	8
C05796	Galactan	0	1
C00493	Shikimate	1	3
C05752	Octanoyl-[acp]	0	3
C00015	UDP	4	4
C00555	4-Aminobutyraldehyde	2	2
C00794	D-Sorbitol	1	1
C03921	2-Dehydro-3-deoxy-D-glucarate	1	0
C00144	GMP	7	10
C00791	Creatinine	0	2
C16219	3-Oxostearoyl-[acp]	3	3
C14865	2-(S-Glutathionyl)acetyl_chloride	1	1
