compound_code	compound_name	bacteroides_mock_score	lachnospiraceae_mock_score	ratio	magnitude	interaction_score	percentile
C00025	L-Glutamate	-2.32	1.08	0.423	7.107	-1.589	80.0
C00024	Acetyl-CoA	2.917	-3.764	0.556	21.138	-3.555	90.0
C00026	2-Oxoglutarate	3.322	-0.652	0.157	11.572	-0.863	70.0
C06481	L-Seryl-tRNA(Sec)	-4.585	-1.585	0.0	0.0	0.0	50.0
C00020	AMP	-3.459	-0.678	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	4.524	1.322	0.292	25.507	2.898	80.0
C00022	Pyruvate	-3.676	-2.435	0.0	0.0	0.0	50.0
C00143	5,10-Methylenetetrahydrofolate	-1.008	0.131	0.544	3.106	-0.758	60.0
C00140	N-Acetyl-D-glucosamine	4.248	-3.0	0.421	27.001	-3.507	90.0
C00141	3-Methyl-2-oxobutanoic_acid	-3.491	-0.907	0.0	0.0	0.0	50.0
C00144	GMP	-4.087	-0.893	0.0	0.0	0.0	50.0
C01103	Orotidine_5'-phosphate	-3.7	-3.369	0.0	0.0	0.0	50.0
C05528	3-Sulfopyruvate	-5.044	-1.0	0.0	0.0	0.0	50.0
C00944	3-Dehydroquinate	1.0	-1.0	1.0	4.0	-2.0	80.0
C03838	5'-Phosphoribosylglycinamide	-1.322	-1.0	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	-4.585	2.0	0.167	28.001	-2.222	90.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-4.585	2.0	0.167	28.001	-2.222	90.0
C02430	L-Methionyl-tRNA	-5.248	1.0	0.053	40.002	-1.074	70.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.259	-0.893	0.0	0.0	0.0	50.0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-4.402	-1.322	0.0	0.0	0.0	50.0
C00627	Pyridoxine_phosphate	-2.0	-1.0	0.0	0.0	0.0	50.0
C00100	Propanoyl-CoA	-3.585	-1.322	0.0	0.0	0.0	50.0
C00624	N-Acetyl-L-glutamate	3.0	-1.0	0.25	10.0	-1.322	70.0
C05754	trans-Dec-2-enoyl-[acp]	-3.0	1.0	0.25	10.0	-1.322	70.0
C00438	N-Carbamoyl-L-aspartate	2.459	-2.0	0.727	9.498	-2.789	90.0
C00101	Tetrahydrofolate	-1.026	-1.0	0.0	0.0	0.0	50.0
C01228	Guanosine_3',5'-bis(diphosphate)	-1.0	-1.0	0.0	0.0	0.0	50.0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-2.322	2.0	0.8	9.0	-2.848	90.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-4.615	-1.585	0.0	0.0	0.0	50.0
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	-7.14	-3.322	0.0	0.0	0.0	50.0
C00234	10-Formyltetrahydrofolate	-0.339	0.598	0.836	2.778	-1.215	70.0
