KO_code	Compound_codes
K03631	
K17680	
permease_component	
K02315	
K02314	
K02316	
K02313	
K06287	
K03630	
K08483	
K00262	C00026,C00014,C00014,C00026,C00014,C00025
K00266	C00025,C00025,C00025,C00026,C00064,C00025,C00025,C00025,C00026,C00064,C00025,C00026,C00014,C00014,C00026,C00014,C00025
K04083	
K03531	
K01992	
K03929	
K01990	
K04088	
tartrate/fumarate_subfamily	
K11755	C02741,C02741,C02741,C02741,C04896,C04896,C04896,C04896
K01515	C00117
K00983	C00128,C00128,C00128,C03691,C03691
K11753	C00016,C00061,C00061,C00061
K01299	
K00868	C00018,C00018,C00627,C00627,C00647,C00534
contain_C-terminal_PDZ_domain_(EC:1.3.1.74_3.4.21.-)	
K05366	
K07240	
K00864	C00093,C00116
K02871	
K01190	C00124,C00124,C00267,C00267,C00124,C01190,C01190
K02926	
K01195	C00191,C00191,C00191,C05791,G09660,G09660,C12632,C11173
K02438	C01083,C01083,C01083
K01198	C00181,C00181,C00181
K14540	
K11991	
K00215	C03972,C03972,C03972,C20258,C03972,C03972,C03972,C03972,C20258,C03972
K01207	C00140,C00140,G00093,G00108,G00109,G08421,G08421,G08421,G08421
C-terminal_domain	
K01209	C00259,C00259
K04517	C01179,C01179,C00254,C01179,C01179
K01740	C00155,C00155,C00097
K02030	
K02031	
K02033	
K02034	
K02035	
K02036	
K07090	
K00602	C00130,C04734,C04734,C04734,C00101,C00234,C04734,C04734
K07095	
K00604	C00101,C00101,C03294
K00609	C00438,C00438,C00169
K01421	
K00919	C11436,C11435,C11436
K01588	C04751,C04751,C04751
K07568	
K13653	
K11050	
K07391	
K06306	
K03595	
K03596	
K03590	
K03592	
K11175	C04376,C00101,C00234,C04376,C04376,C00101,C00445
K01929	C04702,C04702,C04882,C04882
K01928	C04877,C04877
K01733	C00188,C01102,C00188,C00188,C06056
core_region	
K01923	C04823,C04823,C04823
K01921	C00993,C00993,C00993
K01925	C00692,C00692,C00692
K01924	C01212,C01212,C01050
K07024	
K07027	
C-terminal_domain_(EC:6.3.4.-)	
K03856	C04691,C04691,C04691,C04691
K07029	
K02422	
K03525	C01134,C03492,C03492,C04352
K06941	
K06942	
K03526	C11811,C11811,C11811
K03529	
K05349	C00221,C00221,C00561,C00561,C00221,C00221,C00844,C00267,C05838,C05838,C03742,C18796,C02659
K02428	C00144,C00105,C00075,C00130,C00362,C00365,C00365,C00655,C06196
K06949	
K03671	
K07460	
K12373	G08421,G08421
K09761	
K02358	
K01814	C04916,C04916,C04916,C04916
homotetrameric_(EC:1.4.1.13)	
K02355	
K02357	
K02356	
K04045	
K00134	C00236,C00118,C00236,C00236,C00236,C00236,C00236
K04043	
K04042	C00043,C04501,C00043,C04501,C06156
K04041	C00085,C00085,C00354,C00085,C00085,C05345,C05345,C05345,C05378,C05378,C05378,C05345
K01956	C00169,C00169,C00169
K01955	C00169,C00169,C00169
K01952	C04640,C04640,C04640
K01953	C00152,C00049,C00049
K01951	C00144,C00144,C00144,C00144,C16619
K00783	
hypothetical_protein	
K07738	
K00789	C00019,C00019,C00073,C00019
K00031	C00005,C00311,C00311,C00026,C00026,C00026,C00026,C00026,C05379,C00026,C00026,C00026,C05379,C05379,C05379,C05379,C05379
K01808	C00199,C00199,C00199,C00199,C00199,C00199,C00199,C18096,C18096
K03070	
K01258	
K09002	
K03177	
K06131	C05980,C05980,C05980,C05980
K00554	
K12574	
K07502	
K12573	
K01179	C00185,C00760,C00185
K00817	C00079,C00079,C00166,C00166,C00166,C00079,C00079,C01179,C01179,C01179,C01179,C01179,C01179,C01179,C00082,C00082,C01267,C01100,C01267,C01100
K00951	C04494
K00954	C00882,C00882
K08303	
K01552	
K06182	
K06187	
K06223	
K02600	
K01673	C00288
K02412	
K03551	
K01678	C00122,C00122,C00149,C00122,C00122,C00122
K02416	
K03555	
K02414	
K00773	
K01779	C00402
K05989	
K01776	C00217,C00217
K01775	C00133,C00133
K07456	
K02895	
K00674	C04462,C03972,C04462,C04462
K02890	
K05570	
K05571	
K01785	C00221,C00221,C00221
K01784	C00052,C00052,C00029,C00052
K01783	C00231,C00231,C00199,C00199,C00231,C00231,C00231,C00231
