KO_code	Transcripts
NADH-dependent_(EC:1.3.1.9)	1134.0
K10110	386.0
xepin-CoA-forming_(EC:4.2.1.17)	72.0
amyloid_curli_fibers	133.0
K05844	381.0
K05845	100.0
K05846	178.0
K04083	351.0
NAD(P)-dependent_(EC:2.7.7.18)	226.0
K04084	163.0
K04088	794.0
K00989	227.0
K00982	240.0
K01104	316.0
K00981	553.0
K05592	689.0
K02967	4140.0
K05590	348.0
K02926	4079.0
K00216	129.0
UPF0757_family	151.0
K12529	1133.0
K02038	387.0
K02039	379.0
K03979	891.0
K01744	25361.0
K02031	79.0
K01749	612.0
K02033	86.0
K02034	134.0
K02035	127.0
multicopy_suppressor_of_htrA(degP)	446.0
K02037	299.0
K01585	389.0
K01584	390.0
K01589	311.0
K13650	158.0
low_affinity	483.0
GlpM_family	164.0
K03435	1067.0
K02456	139.0
K02457	179.0
K02106	239.0
K02455	268.0
K02452	79.0
K02453	61.0
K02450	81.0
K03455	352.0
K03451	99.0
K03981	295.0
K02459	190.0
MukE_localization_factor	382.0
K08137	240.0
sigma_32_(sigma_H)_factor	1742.0
K01639	629.0
K01638	1399.0
K01630	1344.0
K14054	542.0
K02858	905.0
K14056	129.0
K14051	251.0
K14053	94.0
K14052	109.0
K02852	197.0
K02853	287.0
K02851	444.0
K13014	134.0
K14058	231.0
K02854	382.0
K03671	2054.0
K03670	1396.0
K03675	418.0
beta-barrel_component	542.0
K03676	520.0
K09760	236.0
involved_in_phospholipid_metabolism	448.0
K15548	190.0
K04082	209.0
UPF0174_family	81.0
K03299	213.0
K03293	369.0
K03292	353.0
K03291	209.0
K03290	319.0
K03296	1238.0
K03294	860.0
K03072	482.0
K03071	990.0
K03070	441.0
K03077	596.0
K03076	5608.0
K03074	716.0
K03274	655.0
K03271	496.0
K03270	419.0
K03273	255.0
K03272	251.0
K10805	232.0
FMNH(2)-dependent_(EC:1.14.14.5)	77.0
K06132	151.0
K03183	366.0
NAD(P)H-binding	252.0
K03181	415.0
NAD(P)-binding	329.0
delta_prime_subunit_(EC:2.7.7.7)	221.0
K16012	360.0
K07356	99.0
K07354	237.0
K07355	75.0
K07350	205.0
K07351	227.0
formate-dependent	1678.0
K06223	552.0
K06222	97.0
K06917	177.0
beta_prime_subunit_(EC:2.7.7.6)	3898.0
K06911	829.0
threonine	195.0
K08984	266.0
ATP-dependent_zinc-metallo_(EC:3.4.24.-)	1938.0
subunit_(EC:1.-.-.-)	143.0
DNA-binding_protein	168.0
K10439	2357.0
hemimethylated_oriC_DNA-binding_protein	2211.0
membrane_protein	133.0
K01912	96.0
K01910	169.0
K01914	451.0
K01915	1069.0
K01918	550.0
K01919	479.0
K07773	1642.0
K05939	162.0
citryl-ACP_lyase_(beta)_subunit_(EC:4.1.3.34_4.1.3.6)	119.0
K07173	1081.0
K07170	380.0
subunit_2	430.0
K00371	99.0
K00373	121.0
K01358	1247.0
subunit_A	108.0
subunit_B	117.0
K01354	185.0
subunit_E	127.0
K01356	980.0
cytoplasmic_STAS_component	481.0
K10109	513.0
K10108	373.0
component_of_RuvABC_resolvasome_(EC:3.1.22.4)	529.0
K15555	181.0
K15554	134.0
K15553	117.0
K15552	124.0
K15551	105.0
K01825	263.0
K04079	1070.0
L-arginine-binding	803.0
K04075	146.0
K04072	5937.0
K00517	153.0
K00995	639.0
K00990	740.0
K03151	205.0
K02931	7632.0
K02933	5434.0
K02935	5433.0
delta_subunit_(EC:3.6.3.14)	2388.0
chaperone_activity	2468.0
K01000	651.0
RpoE_activator	966.0
K06726	752.0
K01007	2753.0
K01008	483.0
uter_membrane_subunit	284.0
has_an_inactive_PPIase_domain_(EC:5.2.1.8)	632.0
K08194	342.0
K13641	201.0
NAD-binding_(EC:1.1.1.264)	134.0
K14682	236.0
